batsmanName,runs,balls,minutes,4s,6s,SR,player_link,match_id
Martin Guptill,19,18,30,2,1,105.55,https://www.espncricinfo.com/cricketers/martin-guptill-226492,scorecard
Henry Nicholls,55,77,123,4,0,71.42,https://www.espncricinfo.com/cricketers/henry-nicholls-539511,scorecard
Kane Williamson (c),30,53,77,2,0,56.60,https://www.espncricinfo.com/cricketers/kane-williamson-277906,scorecard
Ross Taylor,15,31,47,0,0,48.38,https://www.espncricinfo.com/cricketers/ross-taylor-38699,scorecard
Tom Latham †,47,56,104,2,1,83.92,https://www.espncricinfo.com/cricketers/tom-latham-388802,scorecard
James Neesham,19,25,28,3,0,76.00,https://www.espncricinfo.com/cricketers/james-neesham-355269,scorecard
Colin de Grandhomme,16,28,38,0,0,57.14,https://www.espncricinfo.com/cricketers/colin-de-grandhomme-55395,scorecard
Mitchell Santner,5,9,19,0,0,55.55,https://www.espncricinfo.com/cricketers/mitchell-santner-502714,scorecard
Matt Henry,4,2,7,1,0,200.00,https://www.espncricinfo.com/cricketers/matt-henry-506612,scorecard
Trent Boult,1,2,3,0,0,50.00,https://www.espncricinfo.com/cricketers/trent-boult-277912,scorecard
Jason Roy,17,20,24,3,0,85.00,https://www.espncricinfo.com/cricketers/jason-roy-298438,scorecard
Jonny Bairstow,36,55,79,7,0,65.45,https://www.espncricinfo.com/cricketers/jonny-bairstow-297433,scorecard
Joe Root,7,30,40,0,0,23.33,https://www.espncricinfo.com/cricketers/joe-root-303669,scorecard
Eoin Morgan (c),9,22,34,0,0,40.90,https://www.espncricinfo.com/cricketers/eoin-morgan-24598,scorecard
Ben Stokes,84,98,147,5,2,85.71,https://www.espncricinfo.com/cricketers/ben-stokes-311158,scorecard
Jos Buttler †,59,60,94,6,0,98.33,https://www.espncricinfo.com/cricketers/jos-buttler-308967,scorecard
Chris Woakes,2,4,8,0,0,50.00,https://www.espncricinfo.com/cricketers/chris-woakes-247235,scorecard
Liam Plunkett,10,10,13,1,0,100.00,https://www.espncricinfo.com/cricketers/liam-plunkett-19264,scorecard
Jofra Archer,0,1,5,0,0,0.00,https://www.espncricinfo.com/cricketers/jofra-archer-669855,scorecard
Adil Rashid,0,0,7,0,0,-,https://www.espncricinfo.com/cricketers/adil-rashid-244497,scorecard
Mark Wood,0,0,3,0,0,-,https://www.espncricinfo.com/cricketers/mark-wood-351588,scorecard
David Warner,9,11,14,2,0,81.81,https://www.espncricinfo.com/cricketers/david-warner-219889,scorecard
Aaron Finch (c),0,1,6,0,0,0.00,https://www.espncricinfo.com/cricketers/aaron-finch-5334,scorecard
Steven Smith,85,119,201,6,0,71.42,https://www.espncricinfo.com/cricketers/steven-smith-267192,scorecard
