bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,bowler_link,inningbowled,avg_bowling_economy,bowling SR,avg_bowling_strike,bowling_avg,average_bowling_avg,dot_ball_percentage,average_dot_ball_%
Aaron Finch,2.0,0,13,1,6.5,4,1,0,1,0,https://www.espncricinfo.com/cricketers/aaron-finch-5334,2,6.75,12.0,12.0,13.0,13.0,33.33,33.33
Aaron Finch,1.0,0,7,0,7.0,2,1,0,0,0,https://www.espncricinfo.com/cricketers/aaron-finch-5334,2,6.75,0.0,12.0,0.0,13.0,33.33,33.33
Adam Zampa,10.0,0,58,1,5.8,33,8,1,0,0,https://www.espncricinfo.com/cricketers/adam-zampa-379504,4,7.3,60.0,43.33,58.0,48.67,55.0,37.53
Adam Zampa,6.0,0,50,0,8.33,6,4,1,0,0,https://www.espncricinfo.com/cricketers/adam-zampa-379504,4,7.3,0.0,43.33,0.0,48.67,16.67,37.53
Adam Zampa,9.0,0,68,1,7.55,21,5,3,1,0,https://www.espncricinfo.com/cricketers/adam-zampa-379504,4,7.3,54.0,43.33,68.0,48.67,38.89,37.53
Adam Zampa,8.0,0,60,3,7.5,19,5,3,0,0,https://www.espncricinfo.com/cricketers/adam-zampa-379504,4,7.3,16.0,43.33,20.0,48.67,39.58,37.53
Adil Rashid,10.0,0,49,0,4.9,31,5,0,0,0,https://www.espncricinfo.com/cricketers/adil-rashid-244497,11,5.85,0.0,34.67,0.0,31.92,51.67,42.05
Adil Rashid,10.0,0,54,3,5.4,26,3,1,1,0,https://www.espncricinfo.com/cricketers/adil-rashid-244497,11,5.85,20.0,34.67,18.0,31.92,43.33,42.05
Adil Rashid,10.0,0,45,2,4.5,27,3,0,0,0,https://www.espncricinfo.com/cricketers/adil-rashid-244497,11,5.85,30.0,34.67,22.5,31.92,45.0,42.05
Adil Rashid,5.0,0,43,0,8.6,9,3,2,1,0,https://www.espncricinfo.com/cricketers/adil-rashid-244497,11,5.85,0.0,34.67,0.0,31.92,30.0,42.05
Adil Rashid,10.0,0,64,1,6.4,22,5,1,2,0,https://www.espncricinfo.com/cricketers/adil-rashid-244497,11,5.85,60.0,34.67,64.0,31.92,36.67,42.05
Adil Rashid,6.0,0,40,0,6.66,12,5,0,1,0,https://www.espncricinfo.com/cricketers/adil-rashid-244497,11,5.85,0.0,34.67,0.0,31.92,33.33,42.05
Adil Rashid,10.0,0,61,0,6.1,27,2,3,1,0,https://www.espncricinfo.com/cricketers/adil-rashid-244497,11,5.85,0.0,34.67,0.0,31.92,45.0,42.05
Adil Rashid,10.0,0,66,3,6.6,30,3,4,1,0,https://www.espncricinfo.com/cricketers/adil-rashid-244497,11,5.85,20.0,34.67,22.0,31.92,50.0,42.05
Adil Rashid,8.0,0,39,0,4.87,15,1,0,0,0,https://www.espncricinfo.com/cricketers/adil-rashid-244497,11,5.85,0.0,34.67,0.0,31.92,31.25,42.05
Adil Rashid,5.0,0,30,1,6.0,12,3,0,0,0,https://www.espncricinfo.com/cricketers/adil-rashid-244497,11,5.85,30.0,34.67,30.0,31.92,40.0,42.05
Adil Rashid,8.0,0,35,1,4.37,27,4,0,0,0,https://www.espncricinfo.com/cricketers/adil-rashid-244497,11,5.85,48.0,34.67,35.0,31.92,56.25,42.05
Aftab Alam,5.0,1,16,0,3.2,23,2,0,2,0,https://www.espncricinfo.com/cricketers/aftab-alam-440963,3,5.47,0.0,29.1,0.0,34.5,76.67,57.1
Aftab Alam,8.1,0,45,3,5.51,24,6,0,1,0,https://www.espncricinfo.com/cricketers/aftab-alam-440963,3,5.47,16.2,29.1,15.0,34.5,49.38,57.1
