bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,bowler_link,match_id
Chris Woakes,9,0,37,3,4.11,37,3,0,4,1,https://www.espncricinfo.com/cricketers/chris-woakes-247235,scorecard
Jofra Archer,10,0,42,1,4.20,33,1,1,5,0,https://www.espncricinfo.com/cricketers/jofra-archer-669855,scorecard
Liam Plunkett,10,0,42,3,4.20,36,4,0,0,0,https://www.espncricinfo.com/cricketers/liam-plunkett-19264,scorecard
Mark Wood,10,1,49,1,4.90,33,3,1,2,0,https://www.espncricinfo.com/cricketers/mark-wood-351588,scorecard
Adil Rashid,8,0,39,0,4.87,15,1,0,0,0,https://www.espncricinfo.com/cricketers/adil-rashid-244497,scorecard
Ben Stokes,3,0,20,0,6.66,6,2,0,2,0,https://www.espncricinfo.com/cricketers/ben-stokes-311158,scorecard
Trent Boult,10,0,67,0,6.70,31,8,1,2,0,https://www.espncricinfo.com/cricketers/trent-boult-277912,scorecard
Matt Henry,10,2,40,1,4.00,39,5,0,0,0,https://www.espncricinfo.com/cricketers/matt-henry-506612,scorecard
Colin de Grandhomme,10,2,25,1,2.50,41,1,0,1,0,https://www.espncricinfo.com/cricketers/colin-de-grandhomme-55395,scorecard
Lockie Ferguson,10,0,50,3,5.00,35,5,0,3,0,https://www.espncricinfo.com/cricketers/lockie-ferguson-493773,scorecard
James Neesham,7,0,43,3,6.14,19,3,1,1,0,https://www.espncricinfo.com/cricketers/james-neesham-355269,scorecard
Mitchell Santner,3,0,11,0,3.66,8,0,0,1,0,https://www.espncricinfo.com/cricketers/mitchell-santner-502714,scorecard
Chris Woakes,8,0,20,3,2.50,37,3,0,0,0,https://www.espncricinfo.com/cricketers/chris-woakes-247235,scorecard
Jofra Archer,10,0,32,2,3.20,38,1,0,2,0,https://www.espncricinfo.com/cricketers/jofra-archer-669855,scorecard
Ben Stokes,4,0,22,0,5.50,12,2,0,0,0,https://www.espncricinfo.com/cricketers/ben-stokes-311158,scorecard
Mark Wood,9,0,45,1,5.00,27,3,0,4,0,https://www.espncricinfo.com/cricketers/mark-wood-351588,scorecard
Liam Plunkett,8,0,44,0,5.50,25,3,1,3,0,https://www.espncricinfo.com/cricketers/liam-plunkett-19264,scorecard
Adil Rashid,10,0,54,3,5.40,26,3,1,1,0,https://www.espncricinfo.com/cricketers/adil-rashid-244497,scorecard
Jason Behrendorff,8.1,2,38,0,4.65,31,5,0,1,0,https://www.espncricinfo.com/cricketers/jason-behrendorff-272477,scorecard
