batsmanName,inning_batted,Average_SR,Average_Boundary_Percentage,total_runs,batting_average,balls_avg,0
Alex Careyʠ,9.0,114.80555555555556,43.785348211031845,375.0,41.666666666666664,40.0,
Avishka Fernando,4.0,106.32,63.23914181057039,203.0,50.75,48.0,
Imad Wasim,5.0,112.144,42.98631889560677,162.0,32.4,27.4,
Jason Roy,7.0,110.35714285714286,68.23472823472824,443.0,63.285714285714285,54.857142857142854,
Jos Buttlerʠ,9.0,126.35111111111112,36.18261602365601,312.0,34.666666666666664,28.22222222222222,
Kusal Pereraʠ,7.0,105.31142857142858,45.17115068839207,273.0,39.0,35.142857142857146,
Litton Das,5.0,103.928,46.86943907156673,184.0,36.8,33.4,
Shimron Hetmyer,8.0,102.5275,43.485719899513,257.0,32.125,31.625,
