Player Name
Glenn Maxwell
Jean-Paul Duminy
Carlos Brathwaite
Hardik Pandya
Imad Wasim
Alex Careyʠ
Avishka Fernando
Jason Roy
Jos Buttlerʠ
Kusal Pereraʠ
Litton Das
Shimron Hetmyer
