batsmanName,inning_batted,Average_SR,Average_Boundary_Percentage,total_runs,batting_average
Mohammad Wasim,2,96.025,86.60714285714286,23.0,11.5
Mohammed Shami,4,57.5,16.666666666666664,10.0,2.5
Mohammed Siraj,1,112.5,44.44444444444444,9.0,9.0
Mujeeb Ur Rahman,5,115.332,63.857142857142854,51.0,10.2
Mushfiqur Rahim †,9,67.87888888888888,34.53391351224169,202.0,22.444444444444443
Mustafizur Rahman,6,39.99666666666667,23.787878787878793,42.0,7.0
Najibullah Zadran,2,31.73,0.0,7.0,3.5
Najmul Hossain Shanto,7,61.57285714285714,65.97471078827012,169.0,24.142857142857142
Najmul Hossain Shanto (c),2,62.995,26.666666666666668,53.0,26.5
Nasum Ahmed,3,80.46666666666665,40.100250626566414,40.0,13.333333333333334
Naveen-ul-Haq,5,49.166,41.48148148148148,16.0,3.2
Noor Ahmad,1,81.25,61.53846153846154,26.0,26.0
Pat Cummins (c),8,97.8375,52.877910377910375,128.0,16.0
Pathum Nissanka,9,65.19888888888889,51.323920433171146,332.0,36.888888888888886
Paul van Meekeren,8,62.08125,42.857142857142854,26.0,3.25
Quinton de Kock †,10,106.53900000000002,61.91265840622575,594.0,59.4
Rachin Ravindra,10,94.56700000000001,59.42839791779212,578.0,57.8
Rahmanullah Gurbaz,7,86.27142857142857,63.2093462093462,212.0,30.285714285714285
Rahmanullah Gurbaz †,2,75.4,66.26139817629179,68.0,34.0
Rahmat Shah,9,70.74555555555555,33.41045453948679,320.0,35.55555555555556
Rashid Khan,6,99.45833333333333,51.400678628939495,105.0,17.5
Rassie van der Dussen,10,66.114,26.322879849195637,448.0,44.8
Ravindra Jadeja,5,106.04400000000001,27.358848048503223,120.0,24.0
Reece Topley,3,88.09333333333332,40.0,16.0,5.333333333333333
Reeza Hendricks,2,88.24,48.4313725490196,97.0,48.5
Roelof van der Merwe,8,69.97,27.011494252873565,68.0,8.5
Rohit Sharma (c),11,127.89727272727272,79.80576448420571,597.0,54.27272727272727
Ryan Klein,1,53.33,0.0,8.0,8.0
Sadeera Samarawickrama,9,87.26777777777778,41.94342100890351,373.0,41.44444444444444
Salman Agha,1,113.33,58.82352941176471,51.0,51.0
Sam Curran,3,63.49333333333334,12.121212121212123,35.0,11.666666666666666
Saqib Zulfiqar,2,37.775,20.0,13.0,6.5
Saud Shakeel,7,91.82142857142857,44.46519882874002,241.0,34.42857142857143
Scott Edwards (c)†,9,66.91333333333334,30.26185372934599,259.0,28.77777777777778
Shadab Khan,5,83.19,44.91279069767442,121.0,24.2
Shaheen Shah Afridi,6,85.33666666666666,35.58974358974359,55.0,9.166666666666666
Shakib Al Hasan (c),7,59.60857142857144,32.503270167965084,186.0,26.571428571428573
Shariz Ahmad,1,75.0,0.0,6.0,6.0
Shoriful Islam,6,93.45,43.80952380952381,28.0,4.666666666666667
Shreyas Iyer,11,96.6709090909091,52.62400730193785,530.0,48.18181818181818
Shubman Gill,9,103.16222222222223,63.483872698071096,354.0,39.333333333333336
Steven Smith,10,74.745,46.6831322296992,302.0,30.2
Suryakumar Yadav,7,108.42857142857143,32.09941985452189,106.0,15.142857142857142
Sybrand Engelbrecht,8,65.3475,40.94614147699447,300.0,37.5
Tabraiz Shamsi,3,62.22,33.333333333333336,9.0,3.0
Tanzid Hasan,9,83.48666666666666,65.42483660130719,145.0,16.11111111111111
Tanzim Hasan Sakib,1,83.33,80.0,5.0,5.0
Taskin Ahmed,5,45.408,36.73796791443851,49.0,9.8
Teja Nidamanuru,7,87.05285714285715,57.3283188614199,164.0,23.428571428571427
Temba Bavuma (c),8,75.585,67.01896964319324,145.0,18.125
Tim Southee,2,76.815,50.79365079365079,16.0,8.0
Tom Latham (c)†,5,80.126,41.998625865440516,151.0,30.2
Tom Latham †,3,66.66666666666667,0.0,4.0,1.3333333333333333
Towhid Hridoy,6,117.15333333333335,38.24505824505824,164.0,27.333333333333332
Travis Head,6,101.14999999999999,66.06524352272997,329.0,54.833333333333336
Trent Boult,4,72.32,34.81481481481482,21.0,5.25
Usama Mir,1,0.0,,0.0,0.0
Vikramjit Singh,6,52.36666666666667,45.27350427350427,98.0,16.333333333333332
Virat Kohli,11,83.20636363636363,45.10290121834407,765.0,69.54545454545455
Wesley Barresi,4,66.1675,31.67435728411338,83.0,20.75
Will Young,6,68.415,64.01002320119967,206.0,34.333333333333336
