bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,bowler_link,match_id
Shubman Gill,2,0,11,0,5.50,4,1,0,0,0,https://www.espncricinfo.com/cricketers/shubman-gill-1070173,scorecard
Suryakumar Yadav,2,0,17,0,8.50,5,0,2,0,0,https://www.espncricinfo.com/cricketers/suryakumar-yadav-446507,scorecard
Rohit Sharma,0.5,0,7,1,8.40,3,0,1,0,0,https://www.espncricinfo.com/cricketers/rohit-sharma-34102,scorecard
Shaheen Shah Afridi,10,1,72,2,7.20,32,9,3,0,0,https://www.espncricinfo.com/cricketers/shaheen-shah-afridi-1072470,scorecard
Haris Rauf,10,0,64,3,6.40,32,7,0,3,0,https://www.espncricinfo.com/cricketers/haris-rauf-1161606,scorecard
Iftikhar Ahmed,7,0,38,1,5.42,17,4,0,0,0,https://www.espncricinfo.com/cricketers/iftikhar-ahmed-480603,scorecard
Mohammad Wasim,10,0,74,2,7.40,26,7,3,1,0,https://www.espncricinfo.com/cricketers/mohammad-wasim-1185538,scorecard
Shadab Khan,10,0,57,0,5.70,25,5,1,0,0,https://www.espncricinfo.com/cricketers/shadab-khan-922943,scorecard
Salman Agha,3,0,25,0,8.33,7,3,1,0,0,https://www.espncricinfo.com/cricketers/salman-agha-623977,scorecard
David Willey,10,0,56,3,5.60,37,8,1,2,0,https://www.espncricinfo.com/cricketers/david-willey-308251,scorecard
Chris Woakes,5.3,0,27,1,4.90,22,5,0,0,0,https://www.espncricinfo.com/cricketers/chris-woakes-247235,scorecard
Adil Rashid,10,0,55,2,5.50,26,4,1,1,0,https://www.espncricinfo.com/cricketers/adil-rashid-244497,scorecard
Gus Atkinson,8,0,45,2,5.62,29,3,3,2,0,https://www.espncricinfo.com/cricketers/gus-atkinson-1039481,scorecard
Moeen Ali,10,0,60,2,6.00,27,7,1,0,0,https://www.espncricinfo.com/cricketers/moeen-ali-8917,scorecard
Josh Hazlewood,7,1,21,0,3.00,29,2,0,0,0,https://www.espncricinfo.com/cricketers/josh-hazlewood-288284,scorecard
Pat Cummins,8,0,56,0,7.00,22,7,0,4,0,https://www.espncricinfo.com/cricketers/pat-cummins-489889,scorecard
Sean Abbott,10,0,61,2,6.10,29,4,2,0,1,https://www.espncricinfo.com/cricketers/sean-abbott-398666,scorecard
