bowlerName,inningbowled,avg_bowling_economy,avg_bowling_strike,average_bowling_avg,average_dot_ball_%
Adam Zampa,11,5.29,31.28,27.41,45.92
Adil Rashid,9,5.46,30.86,24.07,45.26
Aiden Markram,4,5.48,48.0,23.0,51.14
Andile Phehlukwayo,1,5.14,42.0,36.0,47.62
Angelo Mathews,5,4.92,16.1,13.0,50.93
Aryan Dutt,9,5.57,40.33,35.36,56.95
Azmatullah Omarzai,9,6.87,25.2,30.0,48.66
Bas de Leede,8,7.26,28.36,33.31,46.17
Cameron Green,1,5.5,0.0,0.0,58.33
Chamika Karunaratne,2,5.72,0.0,0.0,48.15
Charith Asalanka,1,10.0,0.0,0.0,16.67
Chris Woakes,8,5.73,27.75,20.1,60.31
Colin Ackermann,9,5.22,33.3,24.88,48.15
Daryl Mitchell,2,6.5,0.0,0.0,63.89
Dasun Shanaka,2,5.8,0.0,0.0,30.56
David Willey,6,5.06,27.2,21.23,61.15
Dhananjaya de Silva,8,7.4,0.0,0.0,39.76
Dilshan Madushanka,9,6.79,21.24,22.99,51.88
Dunith Wellalage,3,6.66,57.6,67.0,45.85
Dushan Hemantha,2,5.88,0.0,0.0,41.67
Dushmantha Chameera,4,6.08,42.0,45.5,55.53
Fazalhaq Farooqi,6,5.91,29.0,25.83,61.12
Gerald Coetzee,8,6.44,21.99,23.5,56.08
Glenn Maxwell,8,5.04,48.36,41.0,47.28
Glenn Phillips,10,5.71,13.67,11.28,39.07
Gus Atkinson,3,6.04,25.5,26.25,56.65
Hardik Pandya,4,9.28,19.0,22.17,52.58
Haris Rauf,9,6.77,28.29,32.76,47.45
Hasan Ali,6,6.2,38.4,38.85,59.76
Hasan Mahmud,2,9.64,33.0,49.25,39.58
Iftikhar Ahmed,8,5.65,42.0,38.25,47.84
Ish Sodhi,1,11.0,0.0,0.0,25.0
James Neesham,3,12.18,21.9,50.5,30.35
Jasprit Bumrah,11,3.87,31.3,22.29,69.67
Joe Root,2,6.26,24.0,19.0,41.53
Josh Hazlewood,11,4.74,33.7,27.96,60.79
Kagiso Rabada,9,5.06,32.94,28.5,62.48
Kasun Rajitha,6,7.24,38.62,42.12,49.32
Keshav Maharaj,10,4.94,38.83,24.56,57.94
Kuldeep Yadav,11,4.08,37.7,28.22,56.22
Lahiru Kumara,2,8.38,14.0,11.67,46.43
Liam Livingstone,6,5.92,38.0,29.33,46.34
Lizaad Williams,1,6.46,25.2,28.0,65.48
Lockie Ferguson,7,6.25,22.0,17.92,56.6
Logan van Beek,8,6.5,32.33,28.75,53.77
Lungi Ngidi,8,5.76,36.64,35.86,63.39
Mahedi Hasan,3,6.27,16.5,18.88,47.96
Maheesh Theekshana,8,5.38,47.64,37.8,49.4
Mahmudullah,3,6.55,0.0,0.0,29.63
Marco Jansen,9,6.51,25.55,30.27,63.73
Marcus Stoinis,6,6.42,23.0,33.0,38.33
Mark Wood,7,6.88,42.75,33.75,45.57
Matheesha Pathirana,2,9.75,57.0,92.5,31.3
Matt Henry,7,5.83,31.3,32.72,57.86
Mehidy Hasan Miraz,9,5.73,36.0,28.97,44.16
Mitchell Marsh,5,6.85,12.0,9.5,39.17
Mitchell Santner,10,4.96,33.83,23.19,49.57
Mitchell Starc,10,6.08,33.44,33.19,56.07
Moeen Ali,6,6.01,23.2,22.0,38.81
Mohammad Nabi,9,4.87,31.65,16.46,55.54
Mohammad Nawaz,5,5.85,48.0,46.5,46.3
Mohammad Wasim,4,5.55,24.05,23.08,53.86
Mohammed Shami,7,5.14,15.11,14.01,63.59
Mohammed Siraj,11,5.42,33.76,31.09,58.19
Mujeeb Ur Rahman,9,5.67,46.0,36.8,52.33
Mustafizur Rahman,8,5.99,44.1,39.5,49.26
Najmul Hossain Shanto,1,5.0,0.0,0.0,66.67
Nasum Ahmed,3,6.74,0.0,0.0,41.81
Naveen-ul-Haq,8,6.61,28.08,29.7,47.4
Noor Ahmad,4,4.77,23.5,15.92,53.56
Pat Cummins,11,5.68,28.71,27.94,51.06
Paul van Meekeren,9,5.97,38.4,40.18,51.55
Rachin Ravindra,9,6.24,43.05,41.62,43.97
Rahmat Shah,1,12.0,0.0,0.0,33.33
Rashid Khan,9,4.55,37.1,29.06,50.91
Ravichandran Ashwin,1,3.4,60.0,34.0,53.33
Ravindra Jadeja,11,4.36,22.96,14.06,62.65
Reece Topley,3,6.71,27.67,30.69,54.08
Roelof van der Merwe,8,5.86,36.0,31.25,40.95
Rohit Sharma,1,8.4,3.0,7.0,100.0
Ryan Klein,1,5.85,0.0,0.0,59.52
Salman Agha,2,9.41,0.0,0.0,31.94
Sam Curran,3,8.58,39.6,47.0,39.81
Saqib Zulfiqar,2,7.92,18.0,25.0,34.72
Sean Abbott,1,6.1,30.0,30.5,48.33
Shadab Khan,5,6.41,48.0,50.0,43.75
Shaheen Shah Afridi,9,5.9,31.75,31.06,56.59
Shakib Al Hasan,7,5.27,46.67,41.75,47.43
Shardul Thakur,3,5.9,45.0,45.0,50.31
Shariz Ahmad,1,6.5,0.0,0.0,41.67
Shoriful Islam,8,6.28,30.1,33.8,55.82
Shubman Gill,1,5.5,0.0,0.0,33.33
Suryakumar Yadav,1,8.5,0.0,0.0,41.67
Tabraiz Shamsi,4,5.56,31.88,31.75,49.17
Tanzim Hasan Sakib,1,8.0,20.0,26.67,45.0
Taskin Ahmed,7,5.63,39.75,38.12,55.85
Tim Southee,4,7.4,32.0,37.71,45.52
Travis Head,5,4.46,15.0,10.5,49.56
Trent Boult,10,5.54,41.38,39.06,58.38
Usama Mir,4,7.05,46.0,56.83,42.96
Vikramjit Singh,3,7.92,0.0,0.0,37.5
Virat Kohli,2,4.16,18.0,13.0,55.56
