bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,bowler_link,inningbowled,avg_bowling_economy,bowling SR,avg_bowling_strike,bowling_avg,average_bowling_avg,dot_ball_percentage,average_dot_ball_%
Aryan Dutt,5.0,1,19,0,3.8,21,3,0,0,0,https://www.espncricinfo.com/cricketers/aryan-dutt-1195672,9,5.57,0.0,40.33,0.0,35.36,70.0,56.95
Aryan Dutt,10.0,0,67,2,6.7,30,5,3,1,1,https://www.espncricinfo.com/cricketers/aryan-dutt-1195672,9,5.57,30.0,40.33,33.5,35.36,50.0,56.95
Aryan Dutt,10.0,0,44,3,4.4,38,3,1,2,0,https://www.espncricinfo.com/cricketers/aryan-dutt-1195672,9,5.57,20.0,40.33,14.67,35.36,63.33,56.95
Aryan Dutt,10.0,3,26,1,2.6,48,3,1,0,0,https://www.espncricinfo.com/cricketers/aryan-dutt-1195672,9,5.57,60.0,40.33,26.0,35.36,80.0,56.95
Aryan Dutt,8.3,0,49,0,5.76,25,6,0,3,0,https://www.espncricinfo.com/cricketers/aryan-dutt-1195672,9,5.57,0.0,40.33,0.0,35.36,50.2,56.95
Aryan Dutt,10.0,0,48,1,4.8,37,7,0,2,0,https://www.espncricinfo.com/cricketers/aryan-dutt-1195672,9,5.57,60.0,40.33,48.0,35.36,61.67,56.95
Azmatullah Omarzai,2.0,0,13,0,6.5,5,2,0,0,0,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429,9,6.87,0.0,25.2,0.0,30.0,41.67,48.66
Azmatullah Omarzai,1.0,0,8,0,8.0,3,0,1,0,0,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429,9,6.87,0.0,25.2,0.0,30.0,50.0,48.66
Azmatullah Omarzai,7.0,1,52,2,7.42,25,7,2,1,0,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429,9,6.87,21.0,25.2,26.0,30.0,59.52,48.66
Azmatullah Omarzai,4.0,0,34,0,8.5,12,5,1,1,0,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429,9,6.87,0.0,25.2,0.0,30.0,50.0,48.66
Azmatullah Omarzai,5.0,0,50,1,10.0,9,4,2,3,0,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429,9,6.87,30.0,25.2,50.0,30.0,30.0,48.66
Azmatullah Omarzai,7.0,0,37,1,5.28,22,5,0,1,0,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429,9,6.87,42.0,25.2,37.0,30.0,52.38,48.66
