batsmanName,runs,balls,minutes,4s,6s,SR,player_link,match_id
Fakhar Zaman,12,15,14,3,0,80.00,https://www.espncricinfo.com/cricketers/fakhar-zaman-512191,scorecard
Imam-ul-Haq,15,19,40,2,0,78.94,https://www.espncricinfo.com/cricketers/imam-ul-haq-568276,scorecard
Babar Azam (c),5,18,20,0,0,27.77,https://www.espncricinfo.com/cricketers/babar-azam-348144,scorecard
Mohammad Rizwan †,68,75,104,8,0,90.66,https://www.espncricinfo.com/cricketers/mohammad-rizwan-323389,scorecard
Saud Shakeel,68,52,84,9,1,130.76,https://www.espncricinfo.com/cricketers/saud-shakeel-652687,scorecard
Iftikhar Ahmed,9,11,22,1,0,81.81,https://www.espncricinfo.com/cricketers/iftikhar-ahmed-480603,scorecard
Mohammad Nawaz,39,43,66,4,0,90.69,https://www.espncricinfo.com/cricketers/mohammad-nawaz-348148,scorecard
Shadab Khan,32,34,42,2,1,94.11,https://www.espncricinfo.com/cricketers/shadab-khan-922943,scorecard
Hasan Ali,0,1,2,0,0,0.00,https://www.espncricinfo.com/cricketers/hasan-ali-681305,scorecard
Shaheen Shah Afridi,13,12,23,2,0,108.33,https://www.espncricinfo.com/cricketers/shaheen-shah-afridi-1072470,scorecard
Haris Rauf,16,14,10,2,1,114.28,https://www.espncricinfo.com/cricketers/haris-rauf-1161606,scorecard
Vikramjit Singh,52,67,97,4,1,77.61,https://www.espncricinfo.com/cricketers/vikramjit-singh-1153767,scorecard
Max O'Dowd,5,12,24,1,0,41.66,https://www.espncricinfo.com/cricketers/max-o-dowd-643197,scorecard
Colin Ackermann,17,21,24,3,0,80.95,https://www.espncricinfo.com/cricketers/colin-ackermann-379774,scorecard
Bas de Leede,67,68,92,6,2,98.52,https://www.espncricinfo.com/cricketers/bas-de-leede-1036191,scorecard
Teja Nidamanuru,5,9,10,1,0,55.55,https://www.espncricinfo.com/cricketers/teja-nidamanuru-1129328,scorecard
Scott Edwards (c)†,0,2,2,0,0,0.00,https://www.espncricinfo.com/cricketers/scott-edwards-1127317,scorecard
Saqib Zulfiqar,10,18,24,1,0,55.55,https://www.espncricinfo.com/cricketers/saqib-zulfiqar-526481,scorecard
Roelof van der Merwe,4,7,18,0,0,57.14,https://www.espncricinfo.com/cricketers/roelof-van-der-merwe-47850,scorecard
Logan van Beek,28,28,36,3,1,100.00,https://www.espncricinfo.com/cricketers/logan-van-beek-440522,scorecard
Aryan Dutt,1,2,6,0,0,50.00,https://www.espncricinfo.com/cricketers/aryan-dutt-1195672,scorecard
Paul van Meekeren,7,12,17,1,0,58.33,https://www.espncricinfo.com/cricketers/paul-van-meekeren-348109,scorecard
Jonny Bairstow,33,35,57,4,1,94.28,https://www.espncricinfo.com/cricketers/jonny-bairstow-297433,scorecard
Dawid Malan,14,24,36,2,0,58.33,https://www.espncricinfo.com/cricketers/dawid-malan-236489,scorecard
Joe Root,77,86,140,4,1,89.53,https://www.espncricinfo.com/cricketers/joe-root-303669,scorecard
Harry Brook,25,16,20,4,1,156.25,https://www.espncricinfo.com/cricketers/harry-brook-911707,scorecard
