batsmanName,inning_batted,Average_SR,Average_Boundary_Percentage,total_runs,batting_average,balls_avg
Aiden Markram,8,166.60625000000002,61.245493238417765,304.0,38.0,31.625
David Miller,10,123.346,63.900067656411736,356.0,35.6,33.0
David Warner,11,119.57454545454544,63.924298599365756,535.0,48.63636363636363,44.90909090909091
Glenn Maxwell,9,112.66777777777777,43.240637732909605,400.0,44.44444444444444,29.555555555555557
Glenn Phillips,9,119.54444444444442,61.34428731539216,285.0,31.666666666666668,28.333333333333332
Harry Brook,6,118.49833333333333,70.21033868092691,169.0,28.166666666666668,25.0
Heinrich Klaasen,10,123.19500000000001,51.179057033323964,373.0,37.3,28.0
Rohit Sharma (c),11,127.89727272727272,79.80576448420571,597.0,54.27272727272727,43.09090909090909
Towhid Hridoy,6,117.15333333333335,38.24505824505824,164.0,27.333333333333332,35.0
