bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,bowler_link,inningbowled,avg_bowling_economy,bowling SR,avg_bowling_strike,bowling_avg,average_bowling_avg,dot_ball_percentage,average_dot_ball_%
Abdul Samad,1.0,0,9,1,9.0,1,1,0,0,0,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,1,9.0,6.0,6.0,9.0,9.0,16.67,16.67
Abhishek Sharma,1.0,0,5,0,5.0,2,0,0,0,0,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,6,6.92,0.0,7.5,0.0,7.0,33.33,40.28
Abhishek Sharma,1.0,0,8,0,8.0,1,1,0,0,0,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,6,6.92,0.0,7.5,0.0,7.0,16.67,40.28
Abhishek Sharma,1.0,0,4,2,4.0,4,0,0,1,0,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,6,6.92,3.0,7.5,2.0,7.0,66.67,40.28
Abhishek Sharma,1.0,0,14,0,14.0,2,3,0,1,0,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,6,6.92,0.0,7.5,0.0,7.0,33.33,40.28
Abhishek Sharma,4.0,0,24,2,6.0,10,0,1,1,0,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,6,6.92,12.0,7.5,12.0,7.0,41.67,40.28
Abhishek Sharma,2.0,0,9,0,4.5,6,1,0,0,0,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,6,6.92,0.0,7.5,0.0,7.0,50.0,40.28
Adam Milne,4.0,0,48,1,12.0,7,6,2,0,1,https://www.espncricinfo.com/cricketers/adam-milne-450860,4,9.48,24.0,18.0,48.0,29.25,29.17,35.76
Adam Milne,3.0,0,33,0,11.0,4,1,3,1,0,https://www.espncricinfo.com/cricketers/adam-milne-450860,4,9.48,0.0,18.0,0.0,29.25,22.22,35.76
Adam Milne,3.0,0,29,0,9.66,6,3,1,1,0,https://www.espncricinfo.com/cricketers/adam-milne-450860,4,9.48,0.0,18.0,0.0,29.25,33.33,35.76
Adam Milne,4.0,0,21,2,5.25,14,2,1,0,0,https://www.espncricinfo.com/cricketers/adam-milne-450860,4,9.48,12.0,18.0,10.5,29.25,58.33,35.76
Adil Rashid,3.0,0,35,0,11.66,6,1,4,0,0,https://www.espncricinfo.com/cricketers/adil-rashid-244497,1,11.66,0.0,0.0,0.0,0.0,33.33,33.33
Aiden Markram,3.0,0,18,0,6.0,5,1,0,1,0,https://www.espncricinfo.com/cricketers/aiden-markram-600498,2,5.5,0.0,0.0,0.0,0.0,27.78,47.22
Aiden Markram,1.0,0,5,0,5.0,4,1,0,0,0,https://www.espncricinfo.com/cricketers/aiden-markram-600498,2,5.5,0.0,0.0,0.0,0.0,66.67,47.22
Akash Singh,4.0,0,39,0,9.75,7,5,1,0,0,https://www.espncricinfo.com/cricketers/akash-singh-1175458,1,9.75,0.0,0.0,0.0,0.0,29.17,29.17
Amit Mishra,4.0,0,31,1,7.75,8,3,0,0,0,https://www.espncricinfo.com/cricketers/amit-mishra-31107,4,7.94,24.0,16.0,31.0,21.33,33.33,28.12
Amit Mishra,3.0,0,27,1,9.0,2,0,2,0,0,https://www.espncricinfo.com/cricketers/amit-mishra-31107,4,7.94,18.0,16.0,27.0,21.33,11.11,28.12
Amit Mishra,3.0,0,27,0,9.0,4,0,2,0,0,https://www.espncricinfo.com/cricketers/amit-mishra-31107,4,7.94,0.0,16.0,0.0,21.33,22.22,28.12
Amit Mishra,4.0,0,24,4,6.0,11,3,0,0,0,https://www.espncricinfo.com/cricketers/amit-mishra-31107,4,7.94,6.0,16.0,6.0,21.33,45.83,28.12
Andre Russell,3.0,0,37,0,12.33,4,3,2,1,0,https://www.espncricinfo.com/cricketers/andre-russell-276298,8,9.66,0.0,11.28,0.0,18.6,22.22,37.15
Andre Russell,2.0,0,27,1,13.5,4,4,1,2,0,https://www.espncricinfo.com/cricketers/andre-russell-276298,8,9.66,12.0,11.28,27.0,18.6,33.33,37.15
Andre Russell,3.0,0,28,1,9.33,3,2,1,1,0,https://www.espncricinfo.com/cricketers/andre-russell-276298,8,9.66,18.0,11.28,28.0,18.6,16.67,37.15
Andre Russell,2.0,0,38,0,19.0,3,5,2,2,0,https://www.espncricinfo.com/cricketers/andre-russell-276298,8,9.66,0.0,11.28,0.0,18.6,25.0,37.15
Andre Russell,3.0,0,9,3,3.0,10,0,0,0,0,https://www.espncricinfo.com/cricketers/andre-russell-276298,8,9.66,6.0,11.28,3.0,18.6,55.56,37.15
