batsmanName,runs,balls,minutes,4s,6s,SR,player_link,match_id
Nitish Rana,23,25,35,1,1,92.00,https://www.espncricinfo.com/cricketers/nitish-rana-604527,scorecard
Sunil Narine,26,15,31,0,3,173.33,https://www.espncricinfo.com/cricketers/sunil-narine-230558,scorecard
Dinesh Karthik †,10,12,20,1,0,83.33,https://www.espncricinfo.com/cricketers/dinesh-karthik-30045,scorecard
Eoin Morgan (c),5,7,16,0,0,71.42,https://www.espncricinfo.com/cricketers/eoin-morgan-24598,scorecard
Shakib Al Hasan,9,6,10,1,0,150.00,https://www.espncricinfo.com/cricketers/shakib-al-hasan-56143,scorecard
Prithvi Shaw,60,34,49,7,3,176.47,https://www.espncricinfo.com/cricketers/prithvi-shaw-1070168,scorecard
Shikhar Dhawan,7,7,17,1,0,100.00,https://www.espncricinfo.com/cricketers/shikhar-dhawan-28235,scorecard
Shreyas Iyer,1,8,12,0,0,12.50,https://www.espncricinfo.com/cricketers/shreyas-iyer-642519,scorecard
Axar Patel,10,11,16,1,0,90.90,https://www.espncricinfo.com/cricketers/axar-patel-554691,scorecard
Rishabh Pant (c)†,51,35,55,3,2,145.71,https://www.espncricinfo.com/cricketers/rishabh-pant-931581,scorecard
Shimron Hetmyer,37,24,44,3,1,154.16,https://www.espncricinfo.com/cricketers/shimron-hetmyer-670025,scorecard
Tom Curran,0,1,7,0,0,0.00,https://www.espncricinfo.com/cricketers/tom-curran-550235,scorecard
Ruturaj Gaikwad,70,50,93,5,2,140.00,https://www.espncricinfo.com/cricketers/ruturaj-gaikwad-1060380,scorecard
Faf du Plessis,1,2,4,0,0,50.00,https://www.espncricinfo.com/cricketers/faf-du-plessis-44828,scorecard
Robin Uthappa,63,44,62,7,2,143.18,https://www.espncricinfo.com/cricketers/robin-uthappa-35582,scorecard
Shardul Thakur,0,1,5,0,0,0.00,https://www.espncricinfo.com/cricketers/shardul-thakur-475281,scorecard
Ambati Rayudu,1,3,5,0,0,33.33,https://www.espncricinfo.com/cricketers/ambati-rayudu-33141,scorecard
Moeen Ali,16,12,27,2,0,133.33,https://www.espncricinfo.com/cricketers/moeen-ali-8917,scorecard
MS Dhoni (c)†,18,6,11,3,1,300.00,https://www.espncricinfo.com/cricketers/ms-dhoni-28081,scorecard
Ravindra Jadeja,0,0,5,0,0,-,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675,scorecard
Prithvi Shaw,48,31,55,4,2,154.83,https://www.espncricinfo.com/cricketers/prithvi-shaw-1070168,scorecard
Shikhar Dhawan,43,35,47,3,2,122.85,https://www.espncricinfo.com/cricketers/shikhar-dhawan-28235,scorecard
Rishabh Pant (c)†,10,8,15,1,0,125.00,https://www.espncricinfo.com/cricketers/rishabh-pant-931581,scorecard
Shreyas Iyer,18,18,33,1,0,100.00,https://www.espncricinfo.com/cricketers/shreyas-iyer-642519,scorecard
Shimron Hetmyer,29,22,41,2,2,131.81,https://www.espncricinfo.com/cricketers/shimron-hetmyer-670025,scorecard
Ripal Patel,7,7,17,1,0,100.00,https://www.espncricinfo.com/cricketers/ripal-patel-1201520,scorecard
Virat Kohli (c),4,8,12,0,0,50.00,https://www.espncricinfo.com/cricketers/virat-kohli-253802,scorecard
Devdutt Padikkal,0,1,4,0,0,0.00,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026,scorecard
Srikar Bharat †,78,52,88,3,4,150.00,https://www.espncricinfo.com/cricketers/srikar-bharat-529436,scorecard
AB de Villiers,26,26,26,2,1,100.00,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,scorecard
Glenn Maxwell,51,33,54,8,0,154.54,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,scorecard
Rohit Sharma (c),18,13,27,3,0,138.46,https://www.espncricinfo.com/cricketers/rohit-sharma-34102,scorecard
Ishan Kishan †,84,32,50,11,4,262.50,https://www.espncricinfo.com/cricketers/ishan-kishan-720471,scorecard
Hardik Pandya,10,8,17,0,1,125.00,https://www.espncricinfo.com/cricketers/hardik-pandya-625371,scorecard
Kieron Pollard,13,12,28,1,0,108.33,https://www.espncricinfo.com/cricketers/kieron-pollard-230559,scorecard
Suryakumar Yadav,82,40,65,13,3,205.00,https://www.espncricinfo.com/cricketers/suryakumar-yadav-446507,scorecard
James Neesham,0,1,2,0,0,0.00,https://www.espncricinfo.com/cricketers/james-neesham-355269,scorecard
Krunal Pandya,9,7,15,1,0,128.57,https://www.espncricinfo.com/cricketers/krunal-pandya-471342,scorecard
Nathan Coulter-Nile,3,3,10,0,0,100.00,https://www.espncricinfo.com/cricketers/nathan-coulter-nile-261354,scorecard
Piyush Chawla,0,2,16,0,0,0.00,https://www.espncricinfo.com/cricketers/piyush-chawla-32966,scorecard
Jasprit Bumrah,5,2,4,1,0,250.00,https://www.espncricinfo.com/cricketers/jasprit-bumrah-625383,scorecard
Trent Boult,0,0,2,0,0,-,https://www.espncricinfo.com/cricketers/trent-boult-277912,scorecard
Jason Roy,34,21,28,6,0,161.90,https://www.espncricinfo.com/cricketers/jason-roy-298438,scorecard
Abhishek Sharma,33,16,38,4,1,206.25,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,scorecard
Manish Pandey (c),69,41,76,7,2,168.29,https://www.espncricinfo.com/cricketers/manish-pandey-290630,scorecard
Mohammad Nabi,3,4,7,0,0,75.00,https://www.espncricinfo.com/cricketers/mohammad-nabi-25913,scorecard
Abdul Samad,2,3,4,0,0,66.66,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,scorecard
Priyam Garg,29,21,30,2,1,138.09,https://www.espncricinfo.com/cricketers/priyam-garg-1070180,scorecard
Jason Holder,1,2,7,0,0,50.00,https://www.espncricinfo.com/cricketers/jason-holder-391485,scorecard
Rashid Khan,9,5,7,2,0,180.00,https://www.espncricinfo.com/cricketers/rashid-khan-793463,scorecard
Wriddhiman Saha †,2,5,8,0,0,40.00,https://www.espncricinfo.com/cricketers/wriddhiman-saha-279810,scorecard
Siddarth Kaul,1,3,7,0,0,33.33,https://www.espncricinfo.com/cricketers/siddarth-kaul-326017,scorecard
Shubman Gill,56,44,79,4,2,127.27,https://www.espncricinfo.com/cricketers/shubman-gill-1070173,scorecard
Venkatesh Iyer,38,35,53,3,2,108.57,https://www.espncricinfo.com/cricketers/venkatesh-iyer-851403,scorecard
Nitish Rana,12,5,7,1,1,240.00,https://www.espncricinfo.com/cricketers/nitish-rana-604527,scorecard
Rahul Tripathi,21,14,31,3,0,150.00,https://www.espncricinfo.com/cricketers/rahul-tripathi-446763,scorecard
Dinesh Karthik †,14,11,24,0,1,127.27,https://www.espncricinfo.com/cricketers/dinesh-karthik-30045,scorecard
Eoin Morgan (c),13,11,16,1,1,118.18,https://www.espncricinfo.com/cricketers/eoin-morgan-24598,scorecard
Yashasvi Jaiswal,0,3,3,0,0,0.00,https://www.espncricinfo.com/cricketers/yashasvi-jaiswal-1151278,scorecard
Liam Livingstone,6,6,18,1,0,100.00,https://www.espncricinfo.com/cricketers/liam-livingstone-403902,scorecard
Sanju Samson (c)†,1,4,5,0,0,25.00,https://www.espncricinfo.com/cricketers/sanju-samson-425943,scorecard
Shivam Dube,18,20,34,0,1,90.00,https://www.espncricinfo.com/cricketers/shivam-dube-714451,scorecard
Anuj Rawat,0,1,4,0,0,0.00,https://www.espncricinfo.com/cricketers/anuj-rawat-1123073,scorecard
Glenn Phillips,8,12,18,0,1,66.66,https://www.espncricinfo.com/cricketers/glenn-phillips-823509,scorecard
Rahul Tewatia,44,36,42,5,2,122.22,https://www.espncricinfo.com/cricketers/rahul-tewatia-423838,scorecard
Chris Morris,0,2,4,0,0,0.00,https://www.espncricinfo.com/cricketers/chris-morris-439952,scorecard
Jaydev Unadkat,6,5,11,1,0,120.00,https://www.espncricinfo.com/cricketers/jaydev-unadkat-390484,scorecard
Chetan Sakariya,1,5,20,0,0,20.00,https://www.espncricinfo.com/cricketers/chetan-sakariya-1131754,scorecard
Mustafizur Rahman,0,3,4,0,0,0.00,https://www.espncricinfo.com/cricketers/mustafizur-rahman-330902,scorecard
Ruturaj Gaikwad,12,14,19,1,0,85.71,https://www.espncricinfo.com/cricketers/ruturaj-gaikwad-1060380,scorecard
Faf du Plessis,76,55,102,8,2,138.18,https://www.espncricinfo.com/cricketers/faf-du-plessis-44828,scorecard
Moeen Ali,0,6,13,0,0,0.00,https://www.espncricinfo.com/cricketers/moeen-ali-8917,scorecard
Robin Uthappa,2,6,7,0,0,33.33,https://www.espncricinfo.com/cricketers/robin-uthappa-35582,scorecard
Ambati Rayudu,4,5,9,0,0,80.00,https://www.espncricinfo.com/cricketers/ambati-rayudu-33141,scorecard
MS Dhoni (c)†,12,15,15,2,0,80.00,https://www.espncricinfo.com/cricketers/ms-dhoni-28081,scorecard
Ravindra Jadeja,15,17,44,1,0,88.23,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675,scorecard
Dwayne Bravo,4,2,3,1,0,200.00,https://www.espncricinfo.com/cricketers/dwayne-bravo-51439,scorecard
KL Rahul (c)†,98,42,70,7,8,233.33,https://www.espncricinfo.com/cricketers/kl-rahul-422108,scorecard
Mayank Agarwal,12,12,26,2,0,100.00,https://www.espncricinfo.com/cricketers/mayank-agarwal-398438,scorecard
Sarfaraz Khan,0,3,3,0,0,0.00,https://www.espncricinfo.com/cricketers/sarfaraz-khan-642525,scorecard
M Shahrukh Khan,8,10,19,0,1,80.00,https://www.espncricinfo.com/cricketers/m-shahrukh-khan-719719,scorecard
Aiden Markram,13,8,18,0,1,162.50,https://www.espncricinfo.com/cricketers/aiden-markram-600498,scorecard
Moises Henriques,3,3,5,0,0,100.00,https://www.espncricinfo.com/cricketers/moises-henriques-5961,scorecard
Jason Roy,44,38,74,5,0,115.78,https://www.espncricinfo.com/cricketers/jason-roy-298438,scorecard
Abhishek Sharma,13,10,11,1,1,130.00,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,scorecard
Kane Williamson (c),31,29,45,4,0,106.89,https://www.espncricinfo.com/cricketers/kane-williamson-277906,scorecard
Priyam Garg,15,11,16,0,1,136.36,https://www.espncricinfo.com/cricketers/priyam-garg-1070180,scorecard
Abdul Samad,1,3,9,0,0,33.33,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,scorecard
Wriddhiman Saha †,10,8,14,1,0,125.00,https://www.espncricinfo.com/cricketers/wriddhiman-saha-279810,scorecard
Jason Holder,16,13,22,2,0,123.07,https://www.espncricinfo.com/cricketers/jason-holder-391485,scorecard
Rashid Khan,7,9,12,1,0,77.77,https://www.espncricinfo.com/cricketers/rashid-khan-793463,scorecard
Virat Kohli (c),5,4,5,1,0,125.00,https://www.espncricinfo.com/cricketers/virat-kohli-253802,scorecard
Devdutt Padikkal,41,52,89,4,0,78.84,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026,scorecard
Dan Christian,1,4,14,0,0,25.00,https://www.espncricinfo.com/cricketers/dan-christian-4864,scorecard
Srikar Bharat †,12,10,17,1,1,120.00,https://www.espncricinfo.com/cricketers/srikar-bharat-529436,scorecard
Glenn Maxwell,40,25,40,3,2,160.00,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,scorecard
AB de Villiers,19,13,31,1,1,146.15,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,scorecard
Shahbaz Ahmed,14,9,11,2,0,155.55,https://www.espncricinfo.com/cricketers/shahbaz-ahmed-1159711,scorecard
George Garton,2,3,8,0,0,66.66,https://www.espncricinfo.com/cricketers/george-garton-643433,scorecard
Evin Lewis,24,19,36,3,1,126.31,https://www.espncricinfo.com/cricketers/evin-lewis-431901,scorecard
Yashasvi Jaiswal,12,9,25,3,0,133.33,https://www.espncricinfo.com/cricketers/yashasvi-jaiswal-1151278,scorecard
Sanju Samson (c)†,3,6,18,0,0,50.00,https://www.espncricinfo.com/cricketers/sanju-samson-425943,scorecard
Shivam Dube,3,8,18,0,0,37.50,https://www.espncricinfo.com/cricketers/shivam-dube-714451,scorecard
Glenn Phillips,4,13,20,0,0,30.76,https://www.espncricinfo.com/cricketers/glenn-phillips-823509,scorecard
David Miller,15,23,39,0,0,65.21,https://www.espncricinfo.com/cricketers/david-miller-321777,scorecard
Rahul Tewatia,12,20,24,0,0,60.00,https://www.espncricinfo.com/cricketers/rahul-tewatia-423838,scorecard
Shreyas Gopal,0,1,5,0,0,0.00,https://www.espncricinfo.com/cricketers/shreyas-gopal-344580,scorecard
Chetan Sakariya,6,11,14,1,0,54.54,https://www.espncricinfo.com/cricketers/chetan-sakariya-1131754,scorecard
Kuldip Yadav,0,4,14,0,0,0.00,https://www.espncricinfo.com/cricketers/kuldip-yadav-1206495,scorecard
Mustafizur Rahman,8,7,6,0,1,114.28,https://www.espncricinfo.com/cricketers/mustafizur-rahman-330902,scorecard
Rohit Sharma (c),22,13,16,1,2,169.23,https://www.espncricinfo.com/cricketers/rohit-sharma-34102,scorecard
Ishan Kishan †,50,25,46,5,3,200.00,https://www.espncricinfo.com/cricketers/ishan-kishan-720471,scorecard
Suryakumar Yadav,13,8,13,3,0,162.50,https://www.espncricinfo.com/cricketers/suryakumar-yadav-446507,scorecard
Hardik Pandya,5,6,17,0,0,83.33,https://www.espncricinfo.com/cricketers/hardik-pandya-625371,scorecard
Ruturaj Gaikwad,13,13,26,2,0,100.00,https://www.espncricinfo.com/cricketers/ruturaj-gaikwad-1060380,scorecard
Faf du Plessis,10,8,16,2,0,125.00,https://www.espncricinfo.com/cricketers/faf-du-plessis-44828,scorecard
Robin Uthappa,19,19,27,1,0,100.00,https://www.espncricinfo.com/cricketers/robin-uthappa-35582,scorecard
Moeen Ali,5,8,13,0,0,62.50,https://www.espncricinfo.com/cricketers/moeen-ali-8917,scorecard
Ambati Rayudu,55,43,54,5,2,127.90,https://www.espncricinfo.com/cricketers/ambati-rayudu-33141,scorecard
MS Dhoni (c)†,18,27,46,0,0,66.66,https://www.espncricinfo.com/cricketers/ms-dhoni-28081,scorecard
Ravindra Jadeja,1,2,5,0,0,50.00,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675,scorecard
Prithvi Shaw,18,12,14,3,0,150.00,https://www.espncricinfo.com/cricketers/prithvi-shaw-1070168,scorecard
Shikhar Dhawan,39,35,73,3,2,111.42,https://www.espncricinfo.com/cricketers/shikhar-dhawan-28235,scorecard
Shreyas Iyer,2,7,17,0,0,28.57,https://www.espncricinfo.com/cricketers/shreyas-iyer-642519,scorecard
Rishabh Pant (c)†,15,12,15,1,1,125.00,https://www.espncricinfo.com/cricketers/rishabh-pant-931581,scorecard
Ripal Patel,18,20,16,2,0,90.00,https://www.espncricinfo.com/cricketers/ripal-patel-1201520,scorecard
Ravichandran Ashwin,2,3,7,0,0,66.66,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421,scorecard
Shimron Hetmyer,28,18,36,2,1,155.55,https://www.espncricinfo.com/cricketers/shimron-hetmyer-670025,scorecard
Axar Patel,5,10,28,0,0,50.00,https://www.espncricinfo.com/cricketers/axar-patel-554691,scorecard
Kagiso Rabada,4,1,2,1,0,400.00,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215,scorecard
Jason Roy,10,13,21,2,0,76.92,https://www.espncricinfo.com/cricketers/jason-roy-298438,scorecard
Wriddhiman Saha †,0,1,4,0,0,0.00,https://www.espncricinfo.com/cricketers/wriddhiman-saha-279810,scorecard
Kane Williamson (c),26,21,34,4,0,123.80,https://www.espncricinfo.com/cricketers/kane-williamson-277906,scorecard
Priyam Garg,21,31,45,0,1,67.74,https://www.espncricinfo.com/cricketers/priyam-garg-1070180,scorecard
Abhishek Sharma,6,10,14,0,0,60.00,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,scorecard
Abdul Samad,25,18,30,0,3,138.88,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,scorecard
Jason Holder,2,9,10,0,0,22.22,https://www.espncricinfo.com/cricketers/jason-holder-391485,scorecard
Rashid Khan,8,6,11,1,0,133.33,https://www.espncricinfo.com/cricketers/rashid-khan-793463,scorecard
Bhuvneshwar Kumar,7,7,13,0,0,100.00,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,scorecard
Siddarth Kaul,7,5,8,1,0,140.00,https://www.espncricinfo.com/cricketers/siddarth-kaul-326017,scorecard
Shubman Gill,57,51,77,10,0,111.76,https://www.espncricinfo.com/cricketers/shubman-gill-1070173,scorecard
Venkatesh Iyer,8,14,24,0,0,57.14,https://www.espncricinfo.com/cricketers/venkatesh-iyer-851403,scorecard
Rahul Tripathi,7,6,10,1,0,116.66,https://www.espncricinfo.com/cricketers/rahul-tripathi-446763,scorecard
Nitish Rana,25,33,55,3,0,75.75,https://www.espncricinfo.com/cricketers/nitish-rana-604527,scorecard
Dinesh Karthik †,18,12,17,3,0,150.00,https://www.espncricinfo.com/cricketers/dinesh-karthik-30045,scorecard
Eoin Morgan (c),2,2,9,0,0,100.00,https://www.espncricinfo.com/cricketers/eoin-morgan-24598,scorecard
Virat Kohli (c),25,24,49,2,1,104.16,https://www.espncricinfo.com/cricketers/virat-kohli-253802,scorecard
Devdutt Padikkal,40,38,58,4,2,105.26,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026,scorecard
Dan Christian,0,1,3,0,0,0.00,https://www.espncricinfo.com/cricketers/dan-christian-4864,scorecard
Glenn Maxwell,57,33,46,3,4,172.72,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,scorecard
AB de Villiers,23,18,30,1,2,127.77,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,scorecard
Shahbaz Ahmed,8,4,10,0,1,200.00,https://www.espncricinfo.com/cricketers/shahbaz-ahmed-1159711,scorecard
Srikar Bharat †,0,0,5,0,0,-,https://www.espncricinfo.com/cricketers/srikar-bharat-529436,scorecard
George Garton,0,1,1,0,0,0.00,https://www.espncricinfo.com/cricketers/george-garton-643433,scorecard
Harshal Patel,1,1,1,0,0,100.00,https://www.espncricinfo.com/cricketers/harshal-patel-390481,scorecard
KL Rahul (c)†,39,35,54,1,2,111.42,https://www.espncricinfo.com/cricketers/kl-rahul-422108,scorecard
Mayank Agarwal,57,42,78,6,2,135.71,https://www.espncricinfo.com/cricketers/mayank-agarwal-398438,scorecard
Nicholas Pooran,3,7,11,0,0,42.85,https://www.espncricinfo.com/cricketers/nicholas-pooran-604302,scorecard
Aiden Markram,20,14,21,2,1,142.85,https://www.espncricinfo.com/cricketers/aiden-markram-600498,scorecard
Sarfaraz Khan,0,1,3,0,0,0.00,https://www.espncricinfo.com/cricketers/sarfaraz-khan-642525,scorecard
M Shahrukh Khan,16,11,21,1,1,145.45,https://www.espncricinfo.com/cricketers/m-shahrukh-khan-719719,scorecard
Moises Henriques,12,9,19,0,1,133.33,https://www.espncricinfo.com/cricketers/moises-henriques-5961,scorecard
Harpreet Brar,3,2,4,0,0,150.00,https://www.espncricinfo.com/cricketers/harpreet-brar-1168641,scorecard
Ruturaj Gaikwad,101,60,113,9,5,168.33,https://www.espncricinfo.com/cricketers/ruturaj-gaikwad-1060380,scorecard
Faf du Plessis,25,19,37,2,1,131.57,https://www.espncricinfo.com/cricketers/faf-du-plessis-44828,scorecard
Suresh Raina,3,5,8,0,0,60.00,https://www.espncricinfo.com/cricketers/suresh-raina-33335,scorecard
Moeen Ali,21,17,31,1,1,123.52,https://www.espncricinfo.com/cricketers/moeen-ali-8917,scorecard
Ambati Rayudu,2,4,18,0,0,50.00,https://www.espncricinfo.com/cricketers/ambati-rayudu-33141,scorecard
Ravindra Jadeja,32,15,21,4,1,213.33,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675,scorecard
Evin Lewis,27,12,28,2,2,225.00,https://www.espncricinfo.com/cricketers/evin-lewis-431901,scorecard
Yashasvi Jaiswal,50,21,33,6,3,238.09,https://www.espncricinfo.com/cricketers/yashasvi-jaiswal-1151278,scorecard
Sanju Samson (c)†,28,24,50,4,0,116.66,https://www.espncricinfo.com/cricketers/sanju-samson-425943,scorecard
Shivam Dube,64,42,60,4,4,152.38,https://www.espncricinfo.com/cricketers/shivam-dube-714451,scorecard
Glenn Phillips,14,8,13,1,1,175.00,https://www.espncricinfo.com/cricketers/glenn-phillips-823509,scorecard
Rohit Sharma (c),7,10,10,1,0,70.00,https://www.espncricinfo.com/cricketers/rohit-sharma-34102,scorecard
Quinton de Kock †,19,18,32,1,1,105.55,https://www.espncricinfo.com/cricketers/quinton-de-kock-379143,scorecard
Suryakumar Yadav,33,26,40,2,2,126.92,https://www.espncricinfo.com/cricketers/suryakumar-yadav-446507,scorecard
Saurabh Tiwary,15,18,29,1,0,83.33,https://www.espncricinfo.com/cricketers/saurabh-tiwary-35390,scorecard
Kieron Pollard,6,9,20,0,0,66.66,https://www.espncricinfo.com/cricketers/kieron-pollard-230559,scorecard
Hardik Pandya,17,18,31,2,0,94.44,https://www.espncricinfo.com/cricketers/hardik-pandya-625371,scorecard
Krunal Pandya,13,15,32,1,1,86.66,https://www.espncricinfo.com/cricketers/krunal-pandya-471342,scorecard
Nathan Coulter-Nile,1,2,4,0,0,50.00,https://www.espncricinfo.com/cricketers/nathan-coulter-nile-261354,scorecard
Jayant Yadav,11,4,5,1,1,275.00,https://www.espncricinfo.com/cricketers/jayant-yadav-447587,scorecard
Jasprit Bumrah,1,1,3,0,0,100.00,https://www.espncricinfo.com/cricketers/jasprit-bumrah-625383,scorecard
Prithvi Shaw,6,7,15,1,0,85.71,https://www.espncricinfo.com/cricketers/prithvi-shaw-1070168,scorecard
Shikhar Dhawan,8,7,11,0,1,114.28,https://www.espncricinfo.com/cricketers/shikhar-dhawan-28235,scorecard
Steven Smith,9,8,14,0,1,112.50,https://www.espncricinfo.com/cricketers/steven-smith-267192,scorecard
Rishabh Pant (c)†,26,22,29,3,1,118.18,https://www.espncricinfo.com/cricketers/rishabh-pant-931581,scorecard
Shreyas Iyer,33,33,79,2,0,100.00,https://www.espncricinfo.com/cricketers/shreyas-iyer-642519,scorecard
Axar Patel,9,9,17,1,0,100.00,https://www.espncricinfo.com/cricketers/axar-patel-554691,scorecard
Shimron Hetmyer,15,8,10,2,0,187.50,https://www.espncricinfo.com/cricketers/shimron-hetmyer-670025,scorecard
Ravichandran Ashwin,20,21,33,0,1,95.23,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421,scorecard
Venkatesh Iyer,67,49,71,9,1,136.73,https://www.espncricinfo.com/cricketers/venkatesh-iyer-851403,scorecard
Shubman Gill,7,7,12,1,0,100.00,https://www.espncricinfo.com/cricketers/shubman-gill-1070173,scorecard
Rahul Tripathi,34,26,43,3,1,130.76,https://www.espncricinfo.com/cricketers/rahul-tripathi-446763,scorecard
