batsmanName,runs,balls,minutes,4s,6s,SR,player_link,match_id
Ruturaj Gaikwad,32,27,41,3,1,118.51,https://www.espncricinfo.com/cricketers/ruturaj-gaikwad-1060380,scorecard
Faf du Plessis,86,59,104,7,3,145.76,https://www.espncricinfo.com/cricketers/faf-du-plessis-44828,scorecard
Robin Uthappa,31,15,26,0,3,206.66,https://www.espncricinfo.com/cricketers/robin-uthappa-35582,scorecard
Moeen Ali,37,20,36,2,3,185.00,https://www.espncricinfo.com/cricketers/moeen-ali-8917,scorecard
Shubman Gill,51,43,74,6,0,118.60,https://www.espncricinfo.com/cricketers/shubman-gill-1070173,scorecard
Venkatesh Iyer,50,32,56,5,3,156.25,https://www.espncricinfo.com/cricketers/venkatesh-iyer-851403,scorecard
Nitish Rana,0,1,3,0,0,0.00,https://www.espncricinfo.com/cricketers/nitish-rana-604527,scorecard
Sunil Narine,2,2,6,0,0,100.00,https://www.espncricinfo.com/cricketers/sunil-narine-230558,scorecard
Eoin Morgan (c),4,8,32,0,0,50.00,https://www.espncricinfo.com/cricketers/eoin-morgan-24598,scorecard
Dinesh Karthik †,9,7,8,0,1,128.57,https://www.espncricinfo.com/cricketers/dinesh-karthik-30045,scorecard
Shakib Al Hasan,0,1,7,0,0,0.00,https://www.espncricinfo.com/cricketers/shakib-al-hasan-56143,scorecard
Rahul Tripathi,2,3,4,0,0,66.66,https://www.espncricinfo.com/cricketers/rahul-tripathi-446763,scorecard
Lockie Ferguson,18,11,27,1,1,163.63,https://www.espncricinfo.com/cricketers/lockie-ferguson-493773,scorecard
Shivam Mavi,20,13,22,1,2,153.84,https://www.espncricinfo.com/cricketers/shivam-mavi-1079848,scorecard
Varun Chakravarthy,0,0,1,0,0,-,https://www.espncricinfo.com/cricketers/varun-chakravarthy-1108375,scorecard
Prithvi Shaw,18,12,17,2,1,150.00,https://www.espncricinfo.com/cricketers/prithvi-shaw-1070168,scorecard
Shikhar Dhawan,36,39,65,1,2,92.30,https://www.espncricinfo.com/cricketers/shikhar-dhawan-28235,scorecard
Marcus Stoinis,18,23,36,1,0,78.26,https://www.espncricinfo.com/cricketers/marcus-stoinis-325012,scorecard
Shreyas Iyer,30,27,48,1,1,111.11,https://www.espncricinfo.com/cricketers/shreyas-iyer-642519,scorecard
Rishabh Pant (c)†,6,6,6,1,0,100.00,https://www.espncricinfo.com/cricketers/rishabh-pant-931581,scorecard
Shimron Hetmyer,17,10,20,0,2,170.00,https://www.espncricinfo.com/cricketers/shimron-hetmyer-670025,scorecard
Axar Patel,4,4,8,0,0,100.00,https://www.espncricinfo.com/cricketers/axar-patel-554691,scorecard
Shubman Gill,46,46,80,1,1,100.00,https://www.espncricinfo.com/cricketers/shubman-gill-1070173,scorecard
Venkatesh Iyer,55,41,58,4,3,134.14,https://www.espncricinfo.com/cricketers/venkatesh-iyer-851403,scorecard
Nitish Rana,13,12,18,0,1,108.33,https://www.espncricinfo.com/cricketers/nitish-rana-604527,scorecard
Rahul Tripathi,12,11,25,0,1,109.09,https://www.espncricinfo.com/cricketers/rahul-tripathi-446763,scorecard
Dinesh Karthik †,0,3,7,0,0,0.00,https://www.espncricinfo.com/cricketers/dinesh-karthik-30045,scorecard
Eoin Morgan (c),0,3,7,0,0,0.00,https://www.espncricinfo.com/cricketers/eoin-morgan-24598,scorecard
Shakib Al Hasan,0,2,5,0,0,0.00,https://www.espncricinfo.com/cricketers/shakib-al-hasan-56143,scorecard
Sunil Narine,0,1,3,0,0,0.00,https://www.espncricinfo.com/cricketers/sunil-narine-230558,scorecard
Lockie Ferguson,0,0,2,0,0,-,https://www.espncricinfo.com/cricketers/lockie-ferguson-493773,scorecard
Devdutt Padikkal,21,18,26,2,0,116.66,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026,scorecard
Virat Kohli (c),39,33,59,5,0,118.18,https://www.espncricinfo.com/cricketers/virat-kohli-253802,scorecard
Srikar Bharat †,9,16,20,0,0,56.25,https://www.espncricinfo.com/cricketers/srikar-bharat-529436,scorecard
Glenn Maxwell,15,18,33,1,0,83.33,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,scorecard
AB de Villiers,11,9,9,1,0,122.22,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,scorecard
Shahbaz Ahmed,13,14,23,1,0,92.85,https://www.espncricinfo.com/cricketers/shahbaz-ahmed-1159711,scorecard
Dan Christian,9,8,18,1,0,112.50,https://www.espncricinfo.com/cricketers/dan-christian-4864,scorecard
Harshal Patel,8,6,9,1,0,133.33,https://www.espncricinfo.com/cricketers/harshal-patel-390481,scorecard
George Garton,0,0,3,0,0,-,https://www.espncricinfo.com/cricketers/george-garton-643433,scorecard
Shubman Gill,29,18,24,4,0,161.11,https://www.espncricinfo.com/cricketers/shubman-gill-1070173,scorecard
Venkatesh Iyer,26,30,51,0,1,86.66,https://www.espncricinfo.com/cricketers/venkatesh-iyer-851403,scorecard
Rahul Tripathi,6,5,10,1,0,120.00,https://www.espncricinfo.com/cricketers/rahul-tripathi-446763,scorecard
