batsmanName,runs,balls,minutes,4s,6s,SR,player_link,inning_batted,Average_SR,boundaries,boundary_runs,boundary_percentage,Average_Boundary_Percentage,total_runs,batting_average
AB de Villiers,0,1,4,0,0,0.0,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,8,148.57,0,0,,64.75938249393627,106,13.25
AB de Villiers,12,11,18,0,1,109.09,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,8,148.57,1,6,50.0,64.75938249393627,106,13.25
AB de Villiers,11,6,20,1,1,183.33,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,8,148.57,2,10,90.9090909090909,64.75938249393627,106,13.25
AB de Villiers,11,9,9,1,0,122.22,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,8,148.57,1,4,36.36363636363637,64.75938249393627,106,13.25
AB de Villiers,19,13,31,1,1,146.15,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,8,148.57,2,10,52.63157894736842,64.75938249393627,106,13.25
AB de Villiers,4,1,7,1,0,400.0,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,8,148.57,1,4,100.0,64.75938249393627,106,13.25
AB de Villiers,26,26,26,2,1,100.0,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,8,148.57,3,14,53.84615384615385,64.75938249393627,106,13.25
AB de Villiers,23,18,30,1,2,127.77,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,8,148.57,3,16,69.56521739130434,64.75938249393627,106,13.25
AB de Villiersʠ,4,9,15,0,0,44.44,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,6,112.93833333333333,0,0,0.0,30.89766081871345,207,34.5
AB de Villiersʠ,75,42,49,3,5,178.57,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,6,112.93833333333333,8,42,56.00000000000001,30.89766081871345,207,34.5
AB de Villiersʠ,76,34,45,9,3,223.52,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,6,112.93833333333333,12,54,71.05263157894737,30.89766081871345,207,34.5
AB de Villiersʠ,1,5,8,0,0,20.0,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,6,112.93833333333333,0,0,0.0,30.89766081871345,207,34.5
AB de Villiersʠ,3,9,9,0,0,33.33,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,6,112.93833333333333,0,0,0.0,30.89766081871345,207,34.5
AB de Villiersʠ,48,27,44,4,2,177.77,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,6,112.93833333333333,6,28,58.333333333333336,30.89766081871345,207,34.5
Abdul Samad,1,2,5,0,0,50.0,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,10,100.077,0,0,0.0,39.761811937250535,111,11.1
Abdul Samad,1,3,9,0,0,33.33,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,10,100.077,0,0,0.0,39.761811937250535,111,11.1
Abdul Samad,7,8,16,1,0,87.5,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,10,100.077,1,4,57.14285714285714,39.761811937250535,111,11.1
Abdul Samad,18,14,23,1,1,128.57,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,10,100.077,2,10,55.55555555555556,39.761811937250535,111,11.1
Abdul Samad,19,8,9,0,2,237.5,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,10,100.077,2,12,63.1578947368421,39.761811937250535,111,11.1
Abdul Samad,0,2,6,0,0,0.0,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,10,100.077,0,0,,39.761811937250535,111,11.1
Abdul Samad,10,8,12,0,1,125.0,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,10,100.077,1,6,60.0,39.761811937250535,111,11.1
Abdul Samad,2,3,4,0,0,66.66,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,10,100.077,0,0,0.0,39.761811937250535,111,11.1
Abdul Samad,25,18,30,0,3,138.88,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,10,100.077,3,18,72.0,39.761811937250535,111,11.1
Abdul Samad,28,21,40,2,1,133.33,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,10,100.077,3,14,50.0,39.761811937250535,111,11.1
Abhishek Sharma,6,10,14,0,0,60.0,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,7,114.1842857142857,0,0,0.0,35.252049537763824,98,14.0
Abhishek Sharma,18,13,27,1,1,138.46,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,7,114.1842857142857,2,10,55.55555555555556,35.252049537763824,98,14.0
Abhishek Sharma,13,10,11,1,1,130.0,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,7,114.1842857142857,2,10,76.92307692307693,35.252049537763824,98,14.0
Abhishek Sharma,5,6,14,0,0,83.33,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,7,114.1842857142857,0,0,0.0,35.252049537763824,98,14.0
Abhishek Sharma,21,16,30,1,1,131.25,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,7,114.1842857142857,2,10,47.61904761904761,35.252049537763824,98,14.0
Abhishek Sharma,2,4,5,0,0,50.0,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,7,114.1842857142857,0,0,0.0,35.252049537763824,98,14.0
Abhishek Sharma,33,16,38,4,1,206.25,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,7,114.1842857142857,5,22,66.66666666666666,35.252049537763824,98,14.0
Adam Milne,0,1,14,0,0,0.0,https://www.espncricinfo.com/cricketers/adam-milne-450860,3,66.66666666666667,0,0,,20.0,16,5.333333333333333
Adam Milne,1,1,3,0,0,100.0,https://www.espncricinfo.com/cricketers/adam-milne-450860,3,66.66666666666667,0,0,0.0,20.0,16,5.333333333333333
Adam Milne,15,15,29,0,1,100.0,https://www.espncricinfo.com/cricketers/adam-milne-450860,3,66.66666666666667,1,6,40.0,20.0,16,5.333333333333333
Aiden Markram,13,8,18,0,1,162.5,https://www.espncricinfo.com/cricketers/aiden-markram-600498,6,129.50666666666666,1,6,46.15384615384615,48.35097001763668,146,24.333333333333332
Aiden Markram,26,20,48,2,1,130.0,https://www.espncricinfo.com/cricketers/aiden-markram-600498,6,129.50666666666666,3,14,53.84615384615385,48.35097001763668,146,24.333333333333332
Aiden Markram,42,29,43,6,0,144.82,https://www.espncricinfo.com/cricketers/aiden-markram-600498,6,129.50666666666666,6,24,57.14285714285714,48.35097001763668,146,24.333333333333332
Aiden Markram,18,16,28,0,1,112.5,https://www.espncricinfo.com/cricketers/aiden-markram-600498,6,129.50666666666666,1,6,33.33333333333333,48.35097001763668,146,24.333333333333332
Aiden Markram,27,32,48,2,0,84.37,https://www.espncricinfo.com/cricketers/aiden-markram-600498,6,129.50666666666666,2,8,29.629629629629626,48.35097001763668,146,24.333333333333332
Aiden Markram,20,14,21,2,1,142.85,https://www.espncricinfo.com/cricketers/aiden-markram-600498,6,129.50666666666666,3,14,70.0,48.35097001763668,146,24.333333333333332
Ajinkya Rahane,8,8,21,1,0,100.0,https://www.espncricinfo.com/cricketers/ajinkya-rahane-277916,1,100.0,1,4,50.0,50.0,8,8.0
Ambati Rayudu,0,1,3,0,0,0.0,https://www.espncricinfo.com/cricketers/ambati-rayudu-33141,13,111.36769230769231,0,0,,45.58830533051644,257,19.76923076923077
Ambati Rayudu,4,5,9,0,0,80.0,https://www.espncricinfo.com/cricketers/ambati-rayudu-33141,13,111.36769230769231,0,0,0.0,45.58830533051644,257,19.76923076923077
Ambati Rayudu,32,22,31,3,1,145.45,https://www.espncricinfo.com/cricketers/ambati-rayudu-33141,13,111.36769230769231,4,18,56.25,45.58830533051644,257,19.76923076923077
Ambati Rayudu,17,13,25,1,1,130.76,https://www.espncricinfo.com/cricketers/ambati-rayudu-33141,13,111.36769230769231,2,10,58.82352941176471,45.58830533051644,257,19.76923076923077
Ambati Rayudu,55,43,54,5,2,127.9,https://www.espncricinfo.com/cricketers/ambati-rayudu-33141,13,111.36769230769231,7,32,58.18181818181818,45.58830533051644,257,19.76923076923077
Ambati Rayudu,72,27,45,4,7,266.66,https://www.espncricinfo.com/cricketers/ambati-rayudu-33141,13,111.36769230769231,11,58,80.55555555555556,45.58830533051644,257,19.76923076923077
Ambati Rayudu,23,16,25,1,2,143.75,https://www.espncricinfo.com/cricketers/ambati-rayudu-33141,13,111.36769230769231,3,16,69.56521739130434,45.58830533051644,257,19.76923076923077
