bowlerName,inningbowled,avg_bowling_economy,avg_bowling_strike,average_bowling_avg,average_dot_ball_%
Abdul Samad,1,9.0,6.0,9.0,16.67
Abhishek Sharma,6,6.92,7.5,7.0,40.28
Adam Milne,4,9.48,18.0,29.25,35.76
Adil Rashid,1,11.66,0.0,0.0,33.33
Aiden Markram,2,5.5,0.0,0.0,47.22
Akash Singh,1,9.75,0.0,0.0,29.17
Amit Mishra,4,7.94,16.0,21.33,28.12
Andre Russell,8,9.66,11.28,18.6,37.15
Anrich Nortje,8,6.18,16.65,18.06,47.59
Arshdeep Singh,12,8.25,13.24,16.91,36.65
Avesh Khan,16,7.33,17.14,22.17,42.71
Axar Patel,12,6.62,16.89,19.5,36.34
Ben Stokes,1,12.0,0.0,0.0,33.33
Bhuvneshwar Kumar,11,7.89,23.0,29.67,40.91
Chetan Sakariya,14,8.22,17.78,24.76,36.41
Chris Jordan,4,8.23,15.0,20.67,37.15
Chris Morris,11,9.24,13.14,17.7,36.36
Chris Woakes,3,7.33,15.0,20.67,50.93
Dan Christian,9,9.67,11.0,15.67,26.63
Daniel Sams,2,6.75,24.0,24.0,39.58
Deepak Chahar,15,8.56,16.29,24.14,40.37
Deepak Hooda,7,9.5,15.0,17.5,27.38
Dhawal Kulkarni,1,12.0,0.0,0.0,29.17
Dwayne Bravo,11,8.45,14.71,18.98,35.77
Fabian Allen,3,8.33,24.0,22.0,28.7
George Garton,5,9.51,18.0,28.67,34.44
Glenn Maxwell,6,8.79,12.0,14.25,25.93
Glenn Phillips,2,10.0,6.0,17.0,33.33
Harbhajan Singh,3,8.67,0.0,0.0,47.22
Harpreet Brar,7,6.57,14.67,14.11,36.71
Harshal Patel,15,8.05,10.23,13.35,36.09
Imran Tahir,1,4.0,12.0,8.0,58.33
Ishan Porel,1,9.75,24.0,39.0,41.67
Ishant Sharma,3,8.08,24.0,26.0,36.11
Jagadeesha Suchith,2,10.12,0.0,0.0,24.31
Jalaj Saxena,1,9.0,0.0,0.0,27.78
James Neesham,3,8.44,8.5,9.0,35.65
Jason Holder,8,7.76,11.0,13.56,39.73
Jasprit Bumrah,14,7.45,16.33,20.03,43.15
Jayant Yadav,5,7.97,24.0,28.0,42.5
Jaydev Unadkat,6,7.83,16.0,15.0,38.89
Jhye Richardson,3,10.33,18.0,37.75,38.43
Josh Hazlewood,9,8.34,15.33,19.67,41.82
KM Asif,1,8.3,12.6,18.0,15.87
Kagiso Rabada,15,8.16,16.44,23.43,40.19
Kamlesh Nagarkoti,1,12.5,0.0,0.0,16.67
Kane Richardson,1,9.66,18.0,29.0,27.78
Kartik Tyagi,4,9.19,20.0,28.83,41.67
Khaleel Ahmed,7,8.08,18.67,21.33,34.33
Kieron Pollard,9,7.86,5.2,6.33,32.83
Krunal Pandya,12,9.1,20.52,22.0,30.16
Kuldip Yadav,1,8.0,0.0,0.0,41.67
Kyle Jamieson,9,10.04,17.5,24.44,39.97
Lalit Yadav,5,7.91,17.0,19.5,23.61
Lockie Ferguson,8,7.31,14.0,15.79,42.71
Lukman Meriwala,1,10.66,18.0,32.0,33.33
Lungi Ngidi,3,10.42,10.0,13.42,34.72
Mahipal Lomror,4,6.46,18.0,22.0,31.25
Marco Jansen,2,7.75,12.0,14.0,39.58
Marcus Stoinis,8,11.19,12.0,13.5,22.73
Mayank Markande,1,8.66,0.0,0.0,22.22
Moeen Ali,10,6.02,13.5,11.83,36.5
Mohammad Nabi,3,13.33,12.0,16.0,23.61
Mohammed Shami,14,7.6,16.4,18.59,45.71
Mohammed Siraj,15,6.72,14.33,17.08,47.96
