Player Name,Country,Role,batsmanName,inning_batted,Average_SR,Average_Boundary_Percentage,total_runs,batting_average,bowlerName,inningbowled,avg_bowling_economy,avg_bowling_strike,average_bowling_avg,average_dot_ball_%
Abhishek Sharma,India,Allrounder,Abhishek Sharma,7,114.1842857142857,35.252049537763824,98,14.0,Abhishek Sharma,6.0,6.92,7.5,7.0,40.28
Lockie Ferguson,New Zealand,Bowler,Lockie Ferguson,3,54.54333333333333,55.55555555555556,18,6.0,Lockie Ferguson,8.0,7.31,14.0,15.79,42.71
Mohammed Siraj,India,Bowler,Mohammed Siraj,4,41.4275,50.0,20,5.0,Mohammed Siraj,15.0,6.72,14.33,17.08,47.96
Moises Henriques,Australia,Allrounder,Moises Henriques,4,95.585,12.5,31,7.75,Moises Henriques,5.0,5.6,7.0,4.5,50.83
Nathan Coulter-Nile,Australia,Bowling Allrounder,Nathan Coulter-Nile,2,75.0,0.0,4,2.0,Nathan Coulter-Nile,5.0,6.35,14.0,14.17,44.17
Ravi Bishnoi,India,Bowler,Ravi Bishnoi,1,25.0,0.0,1,1.0,Ravi Bishnoi,9.0,6.39,13.33,12.58,40.28
Mahipal Lomror,Rajasthan,Allrounder,Mahipal Lomror,4,127.6675,35.120077660068375,94,23.5,Mahipal Lomror,4.0,6.46,18.0,22.0,31.25
Glenn Maxwell,Australia,Batting Allrounder,Glenn Maxwell,14,127.40428571428572,55.06435222799087,513,36.642857142857146,Glenn Maxwell,6.0,8.79,12.0,14.25,25.93
Jonny Bairstow,England,Wicketkeeper Batter,Jonny Bairstow,2,114.9,51.21212121212121,67,33.5,,,,,,
