bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,bowler_link,match_id
Trent Boult,4,0,30,3,7.50,12,6,0,0,0,https://www.espncricinfo.com/cricketers/trent-boult-277912,scorecard
Jasprit Bumrah,4,0,28,0,7.00,8,3,0,0,0,https://www.espncricinfo.com/cricketers/jasprit-bumrah-625383,scorecard
Jayant Yadav,4,0,25,1,6.25,7,1,0,0,0,https://www.espncricinfo.com/cricketers/jayant-yadav-447587,scorecard
Nathan Coulter-Nile,4,0,29,2,7.25,10,3,1,1,0,https://www.espncricinfo.com/cricketers/nathan-coulter-nile-261354,scorecard
Krunal Pandya,3,0,30,0,10.00,3,1,2,1,0,https://www.espncricinfo.com/cricketers/krunal-pandya-471342,scorecard
Kieron Pollard,1,0,13,0,13.00,2,1,1,1,0,https://www.espncricinfo.com/cricketers/kieron-pollard-230559,scorecard
Ravichandran Ashwin,4,0,28,0,7.00,8,2,1,0,0,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421,scorecard
Kagiso Rabada,3,0,32,1,10.66,6,5,1,0,0,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215,scorecard
Anrich Nortje,2.4,0,25,2,9.37,6,3,1,0,0,https://www.espncricinfo.com/cricketers/anrich-nortje-481979,scorecard
Marcus Stoinis,2,0,23,1,11.50,3,1,2,0,0,https://www.espncricinfo.com/cricketers/marcus-stoinis-325012,scorecard
Axar Patel,4,0,16,0,4.00,11,1,0,0,0,https://www.espncricinfo.com/cricketers/axar-patel-554691,scorecard
Praveen Dubey,3,0,29,0,9.66,5,2,2,0,0,https://www.espncricinfo.com/cricketers/praveen-dubey-777515,scorecard
Sandeep Sharma,4,0,30,1,7.50,7,4,0,0,0,https://www.espncricinfo.com/cricketers/sandeep-sharma-438362,scorecard
Jason Holder,4,0,50,1,12.50,6,8,1,0,0,https://www.espncricinfo.com/cricketers/jason-holder-391485,scorecard
Shahbaz Nadeem,4,0,48,0,12.00,4,3,2,0,2,https://www.espncricinfo.com/cricketers/shahbaz-nadeem-31872,scorecard
Rashid Khan,4,0,26,1,6.50,4,0,0,0,0,https://www.espncricinfo.com/cricketers/rashid-khan-793463,scorecard
T Natarajan,4,0,32,0,8.00,6,1,1,3,0,https://www.espncricinfo.com/cricketers/t-natarajan-802575,scorecard
Ravichandran Ashwin,3,0,33,0,11.00,4,2,2,2,0,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421,scorecard
Kagiso Rabada,4,0,29,4,7.25,12,1,2,2,0,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215,scorecard
Anrich Nortje,4,0,36,0,9.00,10,4,2,0,0,https://www.espncricinfo.com/cricketers/anrich-nortje-481979,scorecard
Marcus Stoinis,3,0,26,3,8.66,5,2,1,1,0,https://www.espncricinfo.com/cricketers/marcus-stoinis-325012,scorecard
Axar Patel,4,0,33,1,8.25,6,3,1,0,0,https://www.espncricinfo.com/cricketers/axar-patel-554691,scorecard
Praveen Dubey,2,0,14,0,7.00,3,0,1,0,0,https://www.espncricinfo.com/cricketers/praveen-dubey-777515,scorecard
Sandeep Sharma,4,0,21,0,5.25,9,1,0,0,0,https://www.espncricinfo.com/cricketers/sandeep-sharma-438362,scorecard
Jason Holder,4,0,25,3,6.25,10,2,0,2,0,https://www.espncricinfo.com/cricketers/jason-holder-391485,scorecard
T Natarajan,4,0,33,2,8.25,6,4,0,0,0,https://www.espncricinfo.com/cricketers/t-natarajan-802575,scorecard
Shahbaz Nadeem,4,0,30,1,7.50,4,2,0,1,1,https://www.espncricinfo.com/cricketers/shahbaz-nadeem-31872,scorecard
Rashid Khan,4,0,22,0,5.50,11,1,1,0,0,https://www.espncricinfo.com/cricketers/rashid-khan-793463,scorecard
Mohammed Siraj,4,0,28,2,7.00,14,3,1,3,0,https://www.espncricinfo.com/cricketers/mohammed-siraj-940973,scorecard
Navdeep Saini,3.4,0,31,0,8.45,7,5,0,0,0,https://www.espncricinfo.com/cricketers/navdeep-saini-700167,scorecard
Washington Sundar,2,0,21,0,10.50,4,2,1,0,1,https://www.espncricinfo.com/cricketers/washington-sundar-719715,scorecard
Adam Zampa,4,0,12,1,3.00,14,0,0,1,0,https://www.espncricinfo.com/cricketers/adam-zampa-379504,scorecard
Yuzvendra Chahal,4,0,24,1,6.00,7,0,1,0,0,https://www.espncricinfo.com/cricketers/yuzvendra-chahal-430246,scorecard
