Player Name
Bhuvneshwar Kumar
Chris Morris
Jasprit Bumrah
Pat Cummins
Trent Boult
Vijay Shankar
Ben Stokes
Kieron Pollard
Chris Gayle
Ishan Kishan
Mayank Agarwal
Wriddhiman Sahaʠ
