bowlerName,inningbowled,avg_bowling_economy,avg_bowling_strike,average_bowling_avg,average_dot_ball_%
Abdul Samad,3,17.25,24.0,41.0,18.06
Abhishek Sharma,6,9.58,9.0,15.5,19.44
Adam Zampa,3,8.42,24.0,32.5,29.17
Amit Mishra,3,7.17,12.0,15.75,30.56
Andre Russell,7,9.64,14.4,23.3,35.71
Andrew Tye,1,12.5,24.0,50.0,20.83
Ankit Rajpoot,6,11.25,24.0,39.0,37.27
Anrich Nortje,16,8.47,14.03,20.42,43.99
Arshdeep Singh,8,9.06,12.8,17.33,36.61
Avesh Khan,1,10.5,0.0,0.0,29.17
Axar Patel,15,6.45,20.25,20.62,33.33
Basil Thampi,1,11.5,24.0,46.0,20.83
Ben Stokes,6,10.22,12.0,16.0,27.78
Bhuvneshwar Kumar,4,7.12,15.3,16.25,46.82
Chris Gayle,1,6.0,0.0,0.0,0.0
Chris Green,1,8.47,0.0,0.0,40.0
Chris Jordan,9,9.77,15.63,24.19,31.92
Chris Morris,9,6.98,14.08,18.67,46.65
Dale Steyn,3,11.33,20.4,33.0,35.54
Daniel Sams,3,9.5,0.0,0.0,30.56
David Warner,1,12.0,0.0,0.0,0.0
Deepak Chahar,14,7.59,14.57,15.14,38.0
Deepak Hooda,1,9.0,0.0,0.0,33.33
Dhawal Kulkarni,1,7.33,0.0,0.0,33.33
Dwayne Bravo,6,8.57,11.67,15.94,27.55
Glenn Maxwell,7,8.42,16.0,20.67,29.76
Harpreet Brar,1,10.25,0.0,0.0,25.0
Harshal Patel,5,8.9,18.0,23.0,25.0
Imran Tahir,3,6.94,24.0,24.0,29.17
Ishant Sharma,1,8.66,0.0,0.0,22.22
Isuru Udana,10,9.45,17.0,25.33,29.58
James Neesham,5,9.33,18.0,28.5,31.39
James Pattinson,10,9.17,13.15,16.25,36.33
Jason Holder,7,8.32,14.29,22.12,34.52
Jasprit Bumrah,15,6.73,12.0,13.62,48.61
Jayant Yadav,2,6.12,24.0,25.0,31.25
Jaydev Unadkat,7,9.75,15.0,20.33,26.98
Jofra Archer,14,6.58,17.33,17.03,52.5
Josh Hazlewood,3,6.75,24.0,19.0,52.78
Kagiso Rabada,17,8.39,13.49,18.65,39.6
Kamlesh Nagarkoti,9,8.76,16.5,21.62,30.56
Kane Williamson,1,12.0,0.0,0.0,0.0
Karn Sharma,5,8.82,16.0,22.0,23.33
Kartik Tyagi,10,9.69,21.75,32.5,36.12
Khaleel Ahmed,7,9.37,14.7,24.8,42.01
Kieron Pollard,11,9.24,15.0,21.5,23.99
Krishnappa Gowtham,2,10.5,24.0,45.0,22.92
Krunal Pandya,16,7.83,21.6,26.8,33.14
Kuldeep Yadav,4,7.48,18.0,20.0,27.43
Lockie Ferguson,5,7.47,19.25,21.0,41.07
Lungi Ngidi,4,10.44,13.0,24.67,36.46
Marcus Stoinis,13,9.19,11.18,19.65,28.31
Mitchell Marsh,1,9.0,0.0,0.0,41.67
Mitchell Santner,2,7.88,21.0,26.5,28.47
Moeen Ali,3,7.67,12.0,21.0,30.56
Mohammad Nabi,1,5.75,0.0,0.0,20.83
Mohammed Shami,14,8.57,15.82,21.8,43.62
Mohammed Siraj,9,9.46,12.88,16.78,45.63
Mohit Sharma,1,11.25,24.0,45.0,29.17
Monu Kumar,1,10.0,0.0,0.0,33.33
Mujeeb Ur Rahman,2,10.38,0.0,0.0,25.0
Murugan Ashwin,9,7.72,17.4,23.5,36.8
Nathan Coulter-Nile,7,7.86,18.0,26.12,44.64
Navdeep Saini,13,8.6,16.8,23.9,42.7
Nitish Rana,2,11.5,0.0,0.0,0.0
Pat Cummins,14,7.95,15.33,14.94,45.04
Piyush Chawla,7,9.08,18.0,26.9,25.6
Prasidh Krishna,6,9.71,16.0,25.83,32.66
Praveen Dubey,3,8.77,0.0,0.0,25.0
Rahul Chahar,15,8.93,17.4,22.05,30.93
Rahul Tewatia,14,7.66,15.67,15.78,33.23
Rashid Khan,16,5.38,18.0,17.29,43.75
Ravi Bishnoi,14,7.42,15.71,14.62,39.58
Ravichandran Ashwin,15,7.84,17.89,19.96,33.06
Ravindra Jadeja,13,9.07,18.0,21.8,25.9
Riyan Parag,2,13.5,0.0,0.0,25.0
Sam Curran,13,8.06,17.5,23.29,35.58
Sandeep Sharma,13,7.19,13.14,15.62,38.14
Sandeep Warrier,1,11.33,0.0,0.0,44.44
Shahbaz Ahmed,2,7.75,12.0,13.0,25.0
Shahbaz Nadeem,7,8.18,16.5,20.62,22.02
Shardul Thakur,9,8.43,17.14,23.07,34.85
Sheldon Cottrell,6,9.16,15.75,23.12,48.38
Shivam Dube,5,8.2,9.0,12.0,24.44
Shivam Mavi,8,8.45,15.0,20.58,39.41
Shreyas Gopal,14,8.83,20.25,26.88,28.08
Siddarth Kaul,1,16.0,12.0,32.0,25.0
Sunil Narine,10,8.2,21.0,26.75,28.33
T Natarajan,16,8.03,16.05,20.05,36.35
Tom Curran,5,11.48,24.0,45.0,22.95
Trent Boult,15,7.84,14.71,19.85,46.94
Tushar Deshpande,5,12.23,18.0,28.75,26.67
Umesh Yadav,2,11.83,0.0,0.0,33.33
Varun Aaron,3,11.75,0.0,0.0,41.67
Varun Chakravarthy,13,6.85,18.48,22.75,35.58
Vijay Shankar,5,6.77,14.55,15.0,40.83
Washington Sundar,15,6.23,18.5,14.83,38.61
Yuzvendra Chahal,15,7.19,17.18,20.5,34.53
