batsmanName,inning_batted,Average_SR,Average_Boundary_Percentage,total_runs,batting_average,balls_avg
AB de Villiers †,12,136.71583333333334,52.28878565740334,375,31.25,19.833333333333332
Ben Stokes,8,135.01749999999998,64.0788920481433,285,35.625,25.0
Chris Gayle,7,135.8957142857143,61.54475820019851,288,41.142857142857146,30.0
Eoin Morgan (c),7,148.3842857142857,66.03749191984487,243,34.714285714285715,23.857142857142858
Ishan Kishan,13,132.14923076923077,60.307419466337876,516,39.69230769230769,27.23076923076923
Jos Buttler,5,135.18400000000003,46.87878787878788,160,32.0,23.6
Kieron Pollard,10,174.248,65.61941976915979,258,25.8,13.5
Mayank Agarwal,11,143.5009090909091,52.57599149169292,424,38.54545454545455,24.636363636363637
Sanju Samson †,7,130.12857142857143,54.806890223556884,222,31.714285714285715,18.142857142857142
Wriddhiman Saha †,4,135.2125,54.33244916003537,214,53.5,38.25
