batsmanName,runs,balls,minutes,4s,6s,SR,player_link,inning_batted,Average_SR,boundaries,boundary_runs,boundary_percentage,Average_Boundary_Percentage,total_runs,batting_average
Abhishek Sharma,10,13,-,0,0,76.92,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,7,129.67714285714285,0,0,0.0,40.92056177309634,71,10.142857142857142
Abhishek Sharma,31,24,-,4,1,129.16,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,7,129.67714285714285,5,22,70.96774193548387,40.92056177309634,71,10.142857142857142
Abhishek Sharma,8,5,-,0,1,160.0,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,7,129.67714285714285,1,6,75.0,40.92056177309634,71,10.142857142857142
Abhishek Sharma,2,3,-,0,0,66.66,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,7,129.67714285714285,0,0,0.0,40.92056177309634,71,10.142857142857142
Abhishek Sharma,7,4,-,1,0,175.0,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,7,129.67714285714285,1,4,57.14285714285714,40.92056177309634,71,10.142857142857142
Ajinkya Rahane,60,46,-,5,1,130.43,https://www.espncricinfo.com/cricketers/ajinkya-rahane-277916,8,64.93625,6,26,43.333333333333336,40.427350427350426,113,14.125
Ajinkya Rahane,2,4,-,0,0,50.0,https://www.espncricinfo.com/cricketers/ajinkya-rahane-277916,8,64.93625,0,0,0.0,40.427350427350426,113,14.125
Ajinkya Rahane,0,3,-,0,0,0.0,https://www.espncricinfo.com/cricketers/ajinkya-rahane-277916,8,64.93625,0,0,,40.427350427350426,113,14.125
Ajinkya Rahane,2,9,-,0,0,22.22,https://www.espncricinfo.com/cricketers/ajinkya-rahane-277916,8,64.93625,0,0,0.0,40.427350427350426,113,14.125
Ajinkya Rahane,26,19,-,3,1,136.84,https://www.espncricinfo.com/cricketers/ajinkya-rahane-277916,8,64.93625,4,18,69.23076923076923,40.427350427350426,113,14.125
Ajinkya Rahane,0,1,-,0,0,0.0,https://www.espncricinfo.com/cricketers/ajinkya-rahane-277916,8,64.93625,0,0,,40.427350427350426,113,14.125
Ajinkya Rahane,8,10,-,1,0,80.0,https://www.espncricinfo.com/cricketers/ajinkya-rahane-277916,8,64.93625,1,4,50.0,40.427350427350426,113,14.125
Ajinkya Rahane,15,15,-,3,0,100.0,https://www.espncricinfo.com/cricketers/ajinkya-rahane-277916,8,64.93625,3,12,80.0,40.427350427350426,113,14.125
Alex Carey †,14,9,-,0,0,155.55,https://www.espncricinfo.com/cricketers/alex-carey-326434,3,106.79333333333334,0,0,0.0,14.285714285714285,32,10.666666666666666
Alex Carey †,14,13,-,0,1,107.69,https://www.espncricinfo.com/cricketers/alex-carey-326434,3,106.79333333333334,1,6,42.857142857142854,14.285714285714285,32,10.666666666666666
Alex Carey †,4,7,-,0,0,57.14,https://www.espncricinfo.com/cricketers/alex-carey-326434,3,106.79333333333334,0,0,0.0,14.285714285714285,32,10.666666666666666
Ambati Rayudu,71,48,-,6,3,147.91,https://www.espncricinfo.com/cricketers/ambati-rayudu-33141,11,120.27272727272727,9,42,59.154929577464785,47.83396523963159,359,32.63636363636363
Ambati Rayudu,42,40,-,4,0,105.0,https://www.espncricinfo.com/cricketers/ambati-rayudu-33141,11,120.27272727272727,4,16,38.095238095238095,47.83396523963159,359,32.63636363636363
Ambati Rayudu,38,20,-,5,1,190.0,https://www.espncricinfo.com/cricketers/ambati-rayudu-33141,11,120.27272727272727,6,26,68.42105263157895,47.83396523963159,359,32.63636363636363
Ambati Rayudu,8,9,-,1,0,88.88,https://www.espncricinfo.com/cricketers/ambati-rayudu-33141,11,120.27272727272727,1,4,50.0,47.83396523963159,359,32.63636363636363
Ambati Rayudu,2,3,-,0,0,66.66,https://www.espncricinfo.com/cricketers/ambati-rayudu-33141,11,120.27272727272727,0,0,0.0,47.83396523963159,359,32.63636363636363
Ambati Rayudu,45,25,-,1,4,180.0,https://www.espncricinfo.com/cricketers/ambati-rayudu-33141,11,120.27272727272727,5,28,62.22222222222222,47.83396523963159,359,32.63636363636363
Ambati Rayudu,30,30,-,2,0,100.0,https://www.espncricinfo.com/cricketers/ambati-rayudu-33141,11,120.27272727272727,2,8,26.666666666666668,47.83396523963159,359,32.63636363636363
Ambati Rayudu,39,27,-,3,2,144.44,https://www.espncricinfo.com/cricketers/ambati-rayudu-33141,11,120.27272727272727,5,24,61.53846153846154,47.83396523963159,359,32.63636363636363
Ambati Rayudu,13,19,-,2,0,68.42,https://www.espncricinfo.com/cricketers/ambati-rayudu-33141,11,120.27272727272727,2,8,61.53846153846154,47.83396523963159,359,32.63636363636363
Ambati Rayudu,30,27,-,3,0,111.11,https://www.espncricinfo.com/cricketers/ambati-rayudu-33141,11,120.27272727272727,3,12,40.0,47.83396523963159,359,32.63636363636363
Ambati Rayudu,41,34,-,3,2,120.58,https://www.espncricinfo.com/cricketers/ambati-rayudu-33141,11,120.27272727272727,5,24,58.536585365853654,47.83396523963159,359,32.63636363636363
Andre Russell,24,14,-,0,3,171.42,https://www.espncricinfo.com/cricketers/andre-russell-276298,9,139.2211111111111,3,18,75.0,67.54756971423639,117,13.0
Andre Russell,25,11,-,1,3,227.27,https://www.espncricinfo.com/cricketers/andre-russell-276298,9,139.2211111111111,4,22,88.0,67.54756971423639,117,13.0
Andre Russell,16,10,-,2,1,160.0,https://www.espncricinfo.com/cricketers/andre-russell-276298,9,139.2211111111111,3,14,87.5,67.54756971423639,117,13.0
Andre Russell,2,4,-,0,0,50.0,https://www.espncricinfo.com/cricketers/andre-russell-276298,9,139.2211111111111,0,0,0.0,67.54756971423639,117,13.0
Andre Russell,9,11,-,1,0,81.81,https://www.espncricinfo.com/cricketers/andre-russell-276298,9,139.2211111111111,1,4,44.44444444444444,67.54756971423639,117,13.0
Andre Russell,11,11,-,2,0,100.0,https://www.espncricinfo.com/cricketers/andre-russell-276298,9,139.2211111111111,2,8,72.72727272727273,67.54756971423639,117,13.0
Andre Russell,5,3,-,1,0,166.66,https://www.espncricinfo.com/cricketers/andre-russell-276298,9,139.2211111111111,1,4,80.0,67.54756971423639,117,13.0
Andre Russell,13,8,-,1,1,162.5,https://www.espncricinfo.com/cricketers/andre-russell-276298,9,139.2211111111111,2,10,76.92307692307693,67.54756971423639,117,13.0
Andre Russell,12,9,-,1,1,133.33,https://www.espncricinfo.com/cricketers/andre-russell-276298,9,139.2211111111111,2,10,83.33333333333334,67.54756971423639,117,13.0
Andrew Tye,6,6,-,0,1,100.0,https://www.espncricinfo.com/cricketers/andrew-tye-459508,1,100.0,1,6,100.0,100.0,6,6.0
Ankit Rajpoot,2,5,-,0,0,40.0,https://www.espncricinfo.com/cricketers/ankit-rajpoot-591650,2,90.0,0,0,0.0,42.857142857142854,9,4.5
Ankit Rajpoot,7,5,-,0,1,140.0,https://www.espncricinfo.com/cricketers/ankit-rajpoot-591650,2,90.0,1,6,85.71428571428571,42.857142857142854,9,4.5
Anrich Nortje,3,2,-,0,0,150.0,https://www.espncricinfo.com/cricketers/anrich-nortje-481979,5,96.666,0,0,0.0,0.0,7,1.4
Anrich Nortje,3,1,-,0,0,300.0,https://www.espncricinfo.com/cricketers/anrich-nortje-481979,5,96.666,0,0,0.0,0.0,7,1.4
Anrich Nortje,0,0,-,0,0,0.0,https://www.espncricinfo.com/cricketers/anrich-nortje-481979,5,96.666,0,0,,0.0,7,1.4
Anrich Nortje,1,3,-,0,0,33.33,https://www.espncricinfo.com/cricketers/anrich-nortje-481979,5,96.666,0,0,0.0,0.0,7,1.4
Anrich Nortje,0,0,-,0,0,0.0,https://www.espncricinfo.com/cricketers/anrich-nortje-481979,5,96.666,0,0,,0.0,7,1.4
Arshdeep Singh,0,3,-,0,0,0.0,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976,1,0.0,0,0,,,0,0.0
Axar Patel,6,9,-,0,0,66.66,https://www.espncricinfo.com/cricketers/axar-patel-554691,9,148.70333333333332,0,0,0.0,44.24732856105405,117,13.0
Axar Patel,42,33,-,2,3,127.27,https://www.espncricinfo.com/cricketers/axar-patel-554691,9,148.70333333333332,5,26,61.904761904761905,44.24732856105405,117,13.0
Axar Patel,21,5,-,0,3,420.0,https://www.espncricinfo.com/cricketers/axar-patel-554691,9,148.70333333333332,3,18,85.71428571428571,44.24732856105405,117,13.0
Axar Patel,9,7,-,0,1,128.57,https://www.espncricinfo.com/cricketers/axar-patel-554691,9,148.70333333333332,1,6,66.66666666666666,44.24732856105405,117,13.0
Axar Patel,17,8,-,2,1,212.5,https://www.espncricinfo.com/cricketers/axar-patel-554691,9,148.70333333333332,3,14,82.35294117647058,44.24732856105405,117,13.0
Axar Patel,9,9,-,1,0,100.0,https://www.espncricinfo.com/cricketers/axar-patel-554691,9,148.70333333333332,1,4,44.44444444444444,44.24732856105405,117,13.0
Axar Patel,5,6,-,0,0,83.33,https://www.espncricinfo.com/cricketers/axar-patel-554691,9,148.70333333333332,0,0,0.0,44.24732856105405,117,13.0
Axar Patel,7,4,-,1,0,175.0,https://www.espncricinfo.com/cricketers/axar-patel-554691,9,148.70333333333332,1,4,57.14285714285714,44.24732856105405,117,13.0
Axar Patel,1,4,-,0,0,25.0,https://www.espncricinfo.com/cricketers/axar-patel-554691,9,148.70333333333332,0,0,0.0,44.24732856105405,117,13.0
Ben Stokes,18,11,-,2,1,163.63,https://www.espncricinfo.com/cricketers/ben-stokes-311158,8,135.01749999999998,3,14,77.77777777777779,64.0788920481433,285,35.625
Ben Stokes,107,60,-,14,3,178.33,https://www.espncricinfo.com/cricketers/ben-stokes-311158,8,135.01749999999998,17,74,69.1588785046729,64.0788920481433,285,35.625
Ben Stokes,41,35,-,6,0,117.14,https://www.espncricinfo.com/cricketers/ben-stokes-311158,8,135.01749999999998,6,24,58.536585365853654,64.0788920481433,285,35.625
Ben Stokes,15,19,-,2,0,78.94,https://www.espncricinfo.com/cricketers/ben-stokes-311158,8,135.01749999999998,2,8,53.333333333333336,64.0788920481433,285,35.625
Ben Stokes,19,11,-,3,0,172.72,https://www.espncricinfo.com/cricketers/ben-stokes-311158,8,135.01749999999998,3,12,63.1578947368421,64.0788920481433,285,35.625
Ben Stokes,30,32,-,2,0,93.75,https://www.espncricinfo.com/cricketers/ben-stokes-311158,8,135.01749999999998,2,8,26.666666666666668,64.0788920481433,285,35.625
Ben Stokes,5,6,-,1,0,83.33,https://www.espncricinfo.com/cricketers/ben-stokes-311158,8,135.01749999999998,1,4,80.0,64.0788920481433,285,35.625
Ben Stokes,50,26,-,6,3,192.3,https://www.espncricinfo.com/cricketers/ben-stokes-311158,8,135.01749999999998,9,42,84.0,64.0788920481433,285,35.625
Bhuvneshwar Kumar,0,2,-,0,0,0.0,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,1,0.0,0,0,,,0,0.0
Chris Gayle,99,63,-,6,8,157.14,https://www.espncricinfo.com/cricketers/chris-gayle-51880,7,135.8957142857143,14,72,72.72727272727273,61.54475820019851,288,41.142857142857146
Chris Gayle,29,13,-,3,2,223.07,https://www.espncricinfo.com/cricketers/chris-gayle-51880,7,135.8957142857143,5,24,82.75862068965517,61.54475820019851,288,41.142857142857146
Chris Gayle,12,19,-,0,0,63.15,https://www.espncricinfo.com/cricketers/chris-gayle-51880,7,135.8957142857143,0,0,0.0,61.54475820019851,288,41.142857142857146
Chris Gayle,20,20,-,2,1,100.0,https://www.espncricinfo.com/cricketers/chris-gayle-51880,7,135.8957142857143,3,14,70.0,61.54475820019851,288,41.142857142857146
Chris Gayle,51,29,-,2,5,175.86,https://www.espncricinfo.com/cricketers/chris-gayle-51880,7,135.8957142857143,7,38,74.50980392156863,61.54475820019851,288,41.142857142857146
Chris Gayle,53,45,-,1,5,117.77,https://www.espncricinfo.com/cricketers/chris-gayle-51880,7,135.8957142857143,6,34,64.15094339622641,61.54475820019851,288,41.142857142857146
Chris Gayle,24,21,-,1,2,114.28,https://www.espncricinfo.com/cricketers/chris-gayle-51880,7,135.8957142857143,3,16,66.66666666666666,61.54475820019851,288,41.142857142857146
Chris Jordan,7,12,-,0,0,58.33,https://www.espncricinfo.com/cricketers/chris-jordan-288992,5,76.832,0,0,0.0,15.384615384615385,29,5.8
Chris Jordan,4,5,-,0,0,80.0,https://www.espncricinfo.com/cricketers/chris-jordan-288992,5,76.832,0,0,0.0,15.384615384615385,29,5.8
Chris Jordan,5,6,-,0,0,83.33,https://www.espncricinfo.com/cricketers/chris-jordan-288992,5,76.832,0,0,0.0,15.384615384615385,29,5.8
Chris Jordan,13,8,-,2,0,162.5,https://www.espncricinfo.com/cricketers/chris-jordan-288992,5,76.832,2,8,61.53846153846154,15.384615384615385,29,5.8
Chris Jordan,0,0,-,0,0,0.0,https://www.espncricinfo.com/cricketers/chris-jordan-288992,5,76.832,0,0,,15.384615384615385,29,5.8
Chris Morris,4,2,-,1,0,200.0,https://www.espncricinfo.com/cricketers/chris-morris-439952,5,125.5,1,4,100.0,47.0,34,6.8
Chris Morris,25,8,-,1,3,312.5,https://www.espncricinfo.com/cricketers/chris-morris-439952,5,125.5,4,22,88.0,47.0,34,6.8
Chris Morris,0,2,-,0,0,0.0,https://www.espncricinfo.com/cricketers/chris-morris-439952,5,125.5,0,0,,47.0,34,6.8
Chris Morris,2,5,-,0,0,40.0,https://www.espncricinfo.com/cricketers/chris-morris-439952,5,125.5,0,0,0.0,47.0,34,6.8
Chris Morris,3,4,-,0,0,75.0,https://www.espncricinfo.com/cricketers/chris-morris-439952,5,125.5,0,0,0.0,47.0,34,6.8
Dale Steyn,1,2,-,0,0,50.0,https://www.espncricinfo.com/cricketers/dale-steyn-47492,1,50.0,0,0,0.0,0.0,1,1.0
Daniel Sams,0,2,-,0,0,0.0,https://www.espncricinfo.com/cricketers/daniel-sams-826901,1,0.0,0,0,,,0,0.0
David Miller,0,0,-,0,0,0.0,https://www.espncricinfo.com/cricketers/david-miller-321777,1,0.0,0,0,,,0,0.0
David Warner (c),45,33,-,3,2,136.36,https://www.espncricinfo.com/cricketers/david-warner-219889,16,124.971875,5,24,53.333333333333336,52.0360333849852,548,34.25
