Player Name,Country,Role
Bhuvneshwar Kumar,India,Bowler
Jasprit Bumrah,India,Bowler
Vijay Shankar,India,Allrounder
Ishan Kishan,India,Wicketkeeper Batter
Mayank Agarwal,India,Batter
Wriddhiman Sahaʠ,India,Wicketkeeper Batter
