batsmanName,runs,balls,minutes,4s,6s,SR,player_link,match_id
Marcus Stoinis,0,1,-,0,0,0.00,https://www.espncricinfo.com/cricketers/marcus-stoinis-325012,scorecard
Shikhar Dhawan,15,13,-,3,0,115.38,https://www.espncricinfo.com/cricketers/shikhar-dhawan-28235,scorecard
Ajinkya Rahane,2,4,-,0,0,50.00,https://www.espncricinfo.com/cricketers/ajinkya-rahane-277916,scorecard
Shreyas Iyer (c),65,50,-,6,2,130.00,https://www.espncricinfo.com/cricketers/shreyas-iyer-642519,scorecard
Rishabh Pant †,56,38,-,4,2,147.36,https://www.espncricinfo.com/cricketers/rishabh-pant-931581,scorecard
Shimron Hetmyer,5,5,-,1,0,100.00,https://www.espncricinfo.com/cricketers/shimron-hetmyer-670025,scorecard
Axar Patel,9,9,-,1,0,100.00,https://www.espncricinfo.com/cricketers/axar-patel-554691,scorecard
Kagiso Rabada,0,0,-,0,0,-,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215,scorecard
Rohit Sharma (c),68,51,-,5,4,133.33,https://www.espncricinfo.com/cricketers/rohit-sharma-34102,scorecard
Quinton de Kock †,20,12,-,3,1,166.66,https://www.espncricinfo.com/cricketers/quinton-de-kock-379143,scorecard
Suryakumar Yadav,19,20,-,1,1,95.00,https://www.espncricinfo.com/cricketers/suryakumar-yadav-446507,scorecard
Ishan Kishan,33,19,-,3,1,173.68,https://www.espncricinfo.com/cricketers/ishan-kishan-720471,scorecard
Kieron Pollard,9,4,-,2,0,225.00,https://www.espncricinfo.com/cricketers/kieron-pollard-230559,scorecard
Hardik Pandya,3,5,-,0,0,60.00,https://www.espncricinfo.com/cricketers/hardik-pandya-625371,scorecard
Krunal Pandya,1,1,-,0,0,100.00,https://www.espncricinfo.com/cricketers/krunal-pandya-471342,scorecard
Marcus Stoinis,38,27,-,5,1,140.74,https://www.espncricinfo.com/cricketers/marcus-stoinis-325012,scorecard
Shikhar Dhawan,78,50,-,6,2,156.00,https://www.espncricinfo.com/cricketers/shikhar-dhawan-28235,scorecard
Shreyas Iyer (c),21,20,-,1,0,105.00,https://www.espncricinfo.com/cricketers/shreyas-iyer-642519,scorecard
Shimron Hetmyer,42,22,-,4,1,190.90,https://www.espncricinfo.com/cricketers/shimron-hetmyer-670025,scorecard
Rishabh Pant †,2,3,-,0,0,66.66,https://www.espncricinfo.com/cricketers/rishabh-pant-931581,scorecard
Priyam Garg,17,12,-,0,2,141.66,https://www.espncricinfo.com/cricketers/priyam-garg-1070180,scorecard
David Warner (c),2,3,-,0,0,66.66,https://www.espncricinfo.com/cricketers/david-warner-219889,scorecard
