Player Name,Country,Role
Bhuvneshwar Kumar,India,Bowler
Chris Morris,South Africa,Bowling Allrounder
Jasprit Bumrah,India,Bowler
Pat Cummins,Australia,Bowler
Trent Boult,New Zealand,Bowler
Vijay Shankar,India,Allrounder
Ben Stokes,England,Allrounder
Kieron Pollard,West Indies,Batting Allrounder
Chris Gayle,West Indies,Allrounder
Ishan Kishan,India,Wicketkeeper Batter
Mayank Agarwal,India,Batter
Wriddhiman Saha,India,Wicketkeeper Batter
