batsmanName,inning_batted,Average_SR,Average_Boundary_Percentage,total_runs,batting_average
Ravi Bishnoi,3,35.236666666666665,33.33333333333333,7,2.3333333333333335
Ravichandran Ashwin,6,74.61333333333333,41.07142857142857,37,6.166666666666667
Ravindra Jadeja,11,174.93727272727273,59.240532683347936,232,21.09090909090909
Rinku Singh,1,100.0,36.36363636363637,11,11.0
Rishabh Pant †,14,106.38928571428572,40.32958931697714,343,24.5
Riyan Parag,8,79.21625,34.88095238095238,86,10.75
Robin Uthappa,12,129.205,49.64222423962948,196,16.333333333333332
Rohit Sharma (c),12,103.1425,61.387403446226976,332,27.666666666666668
Ruturaj Gaikwad,6,73.30333333333334,37.673697270471465,204,34.0
Sam Curran,11,138.81454545454545,58.81326114090187,186,16.90909090909091
Sandeep Sharma,5,50.0,14.814814814814815,12,2.4
Sanju Samson,7,103.28857142857143,52.06485671191553,153,21.857142857142858
Sanju Samson †,7,130.12857142857143,54.806890223556884,222,31.714285714285715
Sarfaraz Khan,3,114.35000000000001,60.31746031746031,33,11.0
Saurabh Tiwary,5,105.768,31.036414565826327,103,20.6
Shahbaz Ahmed,1,100.0,0.0,1,1.0
Shahbaz Nadeem,2,83.33,40.0,7,3.5
Shane Watson,11,116.37272727272726,69.74239342256867,299,27.181818181818183
Shardul Thakur,2,77.5,0.0,12,6.0
Sheldon Cottrell,1,0.0,,0,0.0
Shikhar Dhawan,17,105.73294117647059,58.49706725459095,618,36.35294117647059
Shimron Hetmyer,11,143.52,63.076872622327166,185,16.818181818181817
Shivam Dube,9,119.63888888888889,42.6877948759165,129,14.333333333333334
Shivam Mavi,3,41.11,22.22222222222222,10,3.3333333333333335
Shreevats Goswami †,2,0.0,,0,0.0
Shreyas Gopal,5,87.616,20.289855072463766,37,7.4
Shreyas Iyer (c),17,115.15058823529411,42.743433118901855,519,30.529411764705884
Shubman Gill,14,109.87928571428571,50.46225210053115,440,31.428571428571427
Steven Smith (c),14,111.71428571428571,51.70730766489975,311,22.214285714285715
Sunil Narine,9,99.55777777777777,63.743497398959576,121,13.444444444444445
Suryakumar Yadav,15,120.04266666666668,60.599521064306025,480,32.0
T Natarajan,3,25.0,0.0,3,1.0
Tom Banton,2,95.83,50.0,18,9.0
