Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
DC,MI,MI,5 wickets,Dubai (DICS),"Nov 10, 2020",Twenty20
DC,SRH,DC,17 runs,Abu Dhabi,"Nov 8, 2020",Twenty20
RCB,SRH,SRH,6 wickets,Abu Dhabi,"Nov 6, 2020",Twenty20
DC,MI,MI,57 runs,Dubai (DICS),"Nov 5, 2020",Twenty20
SRH,MI,SRH,10 wickets,Sharjah,"Nov 3, 2020",Twenty20
DC,RCB,DC,6 wickets,Abu Dhabi,"Nov 2, 2020",Twenty20
KKR,RR,KKR,60 runs,Dubai (DICS),"Nov 1, 2020",Twenty20
CSK,Kings XI,CSK,9 wickets,Abu Dhabi,"Nov 1, 2020",Twenty20
RCB,SRH,SRH,5 wickets,Sharjah,"Oct 31, 2020",Twenty20
DC,MI,MI,9 wickets,Dubai (DICS),"Oct 31, 2020",Twenty20
Kings XI,RR,RR,7 wickets,Abu Dhabi,"Oct 30, 2020",Twenty20
CSK,KKR,CSK,6 wickets,Dubai (DICS),"Oct 29, 2020",Twenty20
MI,RCB,MI,5 wickets,Abu Dhabi,"Oct 28, 2020",Twenty20
SRH,DC,SRH,88 runs,Dubai (DICS),"Oct 27, 2020",Twenty20
KKR,Kings XI,Kings XI,8 wickets,Sharjah,"Oct 26, 2020",Twenty20
RR,MI,RR,8 wickets,Abu Dhabi,"Oct 25, 2020",Twenty20
RCB,CSK,CSK,8 wickets,Dubai (DICS),"Oct 25, 2020",Twenty20
Kings XI,SRH,Kings XI,12 runs,Dubai (DICS),"Oct 24, 2020",Twenty20
KKR,DC,KKR,59 runs,Abu Dhabi,"Oct 24, 2020",Twenty20
CSK,MI,MI,10 wickets,Sharjah,"Oct 23, 2020",Twenty20
RR,SRH,SRH,8 wickets,Dubai (DICS),"Oct 22, 2020",Twenty20
KKR,RCB,RCB,8 wickets,Abu Dhabi,"Oct 21, 2020",Twenty20
Kings XI,DC,Kings XI,5 wickets,Dubai (DICS),"Oct 20, 2020",Twenty20
CSK,RR,RR,7 wickets,Abu Dhabi,"Oct 19, 2020",Twenty20
MI,Kings XI,tied,-,Dubai (DICS),"Oct 18, 2020",Twenty20
SRH,KKR,tied,-,Abu Dhabi,"Oct 18, 2020",Twenty20
DC,CSK,DC,5 wickets,Sharjah,"Oct 17, 2020",Twenty20
RR,RCB,RCB,7 wickets,Dubai (DICS),"Oct 17, 2020",Twenty20
MI,KKR,MI,8 wickets,Abu Dhabi,"Oct 16, 2020",Twenty20
RCB,Kings XI,Kings XI,8 wickets,Sharjah,"Oct 15, 2020",Twenty20
DC,RR,DC,13 runs,Dubai (DICS),"Oct 14, 2020",Twenty20
SRH,CSK,CSK,20 runs,Dubai (DICS),"Oct 13, 2020",Twenty20
RCB,KKR,RCB,82 runs,Sharjah,"Oct 12, 2020",Twenty20
MI,DC,MI,5 wickets,Abu Dhabi,"Oct 11, 2020",Twenty20
SRH,RR,RR,5 wickets,Dubai (DICS),"Oct 11, 2020",Twenty20
CSK,RCB,RCB,37 runs,Dubai (DICS),"Oct 10, 2020",Twenty20
Kings XI,KKR,KKR,2 runs,Abu Dhabi,"Oct 10, 2020",Twenty20
RR,DC,DC,46 runs,Sharjah,"Oct 9, 2020",Twenty20
SRH,Kings XI,SRH,69 runs,Dubai (DICS),"Oct 8, 2020",Twenty20
KKR,CSK,KKR,10 runs,Abu Dhabi,"Oct 7, 2020",Twenty20
MI,RR,MI,57 runs,Abu Dhabi,"Oct 6, 2020",Twenty20
RCB,DC,DC,59 runs,Dubai (DICS),"Oct 5, 2020",Twenty20
Kings XI,CSK,CSK,10 wickets,Dubai (DICS),"Oct 4, 2020",Twenty20
MI,SRH,MI,34 runs,Sharjah,"Oct 4, 2020",Twenty20
DC,KKR,DC,18 runs,Sharjah,"Oct 3, 2020",Twenty20
RCB,RR,RCB,8 wickets,Abu Dhabi,"Oct 3, 2020",Twenty20
CSK,SRH,SRH,7 runs,Dubai (DICS),"Oct 2, 2020",Twenty20
Kings XI,MI,MI,48 runs,Abu Dhabi,"Oct 1, 2020",Twenty20
RR,KKR,KKR,37 runs,Dubai (DICS),"Sep 30, 2020",Twenty20
DC,SRH,SRH,15 runs,Abu Dhabi,"Sep 29, 2020",Twenty20
RCB,MI,tied,-,Dubai (DICS),"Sep 28, 2020",Twenty20
RR,Kings XI,RR,4 wickets,Sharjah,"Sep 27, 2020",Twenty20
KKR,SRH,KKR,7 wickets,Abu Dhabi,"Sep 26, 2020",Twenty20
CSK,DC,DC,44 runs,Dubai (DICS),"Sep 25, 2020",Twenty20
Kings XI,RCB,Kings XI,97 runs,Dubai (DICS),"Sep 24, 2020",Twenty20
KKR,MI,MI,49 runs,Abu Dhabi,"Sep 23, 2020",Twenty20
RR,CSK,RR,16 runs,Sharjah,"Sep 22, 2020",Twenty20
SRH,RCB,RCB,10 runs,Dubai (DICS),"Sep 21, 2020",Twenty20
DC,Kings XI,tied,-,Dubai (DICS),"Sep 20, 2020",Twenty20
MI,CSK,CSK,5 wickets,Abu Dhabi,"Sep 19, 2020",Twenty20
