batsmanName,runs,balls,minutes,4s,6s,SR,match_id
Martin Guptill,28,35,53,3,0,80.00,scorecard
Daryl Mitchell,11,8,18,0,1,137.50,scorecard
Kane Williamson (c),85,48,69,10,3,177.08,scorecard
Glenn Phillips,18,17,32,1,1,105.88,scorecard
James Neesham,13,7,17,0,1,185.71,scorecard
Tim Seifert †,8,6,15,1,0,133.33,scorecard
David Warner,53,38,57,4,3,139.47,scorecard
Aaron Finch (c),5,7,12,1,0,71.42,scorecard
Mitchell Marsh,77,50,80,6,4,154.00,scorecard
Glenn Maxwell,28,18,33,4,1,155.55,scorecard
Mohammad Rizwan †,67,52,87,3,4,128.84,scorecard
Babar Azam (c),39,34,45,5,0,114.70,scorecard
Fakhar Zaman,55,32,57,3,4,171.87,scorecard
Asif Ali,0,1,7,0,0,0.00,scorecard
Shoaib Malik,1,2,8,0,0,50.00,scorecard
Mohammad Hafeez,1,1,4,0,0,100.00,scorecard
David Warner,49,30,57,3,3,163.33,scorecard
Aaron Finch (c),0,1,2,0,0,0.00,scorecard
Mitchell Marsh,28,22,31,3,1,127.27,scorecard
Steven Smith,5,6,11,1,0,83.33,scorecard
Glenn Maxwell,7,10,22,0,0,70.00,scorecard
Marcus Stoinis,40,31,50,2,2,129.03,scorecard
Matthew Wade †,41,17,39,2,4,241.17,scorecard
Jos Buttler †,29,24,41,4,0,120.83,scorecard
Jonny Bairstow,13,17,27,2,0,76.47,scorecard
Dawid Malan,41,30,48,4,1,136.66,scorecard
Moeen Ali,51,37,59,3,2,137.83,scorecard
Liam Livingstone,17,10,20,1,1,170.00,scorecard
Eoin Morgan (c),4,2,5,0,0,200.00,scorecard
Martin Guptill,4,3,3,1,0,133.33,scorecard
Daryl Mitchell,72,47,102,4,4,153.19,scorecard
Kane Williamson (c),5,11,12,0,0,45.45,scorecard
Devon Conway †,46,38,53,5,1,121.05,scorecard
Glenn Phillips,2,4,11,0,0,50.00,scorecard
James Neesham,27,11,18,1,3,245.45,scorecard
Mitchell Santner,1,1,7,0,0,100.00,scorecard
Stephan Baard,21,21,34,1,1,100.00,scorecard
Michael van Lingen,14,15,22,2,0,93.33,scorecard
Craig Williams,0,4,5,0,0,0.00,scorecard
Gerhard Erasmus (c),12,20,29,1,0,60.00,scorecard
Jan Nicol Loftie-Eaton,5,5,6,0,0,100.00,scorecard
David Wiese,26,25,39,2,0,104.00,scorecard
JJ Smit,9,9,10,1,0,100.00,scorecard
Zane Green †,0,1,3,0,0,0.00,scorecard
Jan Frylinck,15,15,22,0,0,100.00,scorecard
Ruben Trumpelmann,13,6,6,1,1,216.66,scorecard
KL Rahul,54,36,72,4,2,150.00,scorecard
Rohit Sharma,56,37,46,7,2,151.35,scorecard
Suryakumar Yadav,25,19,27,4,0,131.57,scorecard
Mohammad Rizwan †,15,19,30,0,1,78.94,scorecard
Babar Azam (c),66,47,82,5,3,140.42,scorecard
Fakhar Zaman,8,13,16,0,0,61.53,scorecard
Mohammad Hafeez,31,19,23,4,1,163.15,scorecard
Shoaib Malik,54,18,25,1,6,300.00,scorecard
Asif Ali,5,4,14,0,0,125.00,scorecard
George Munsey,17,31,45,2,0,54.83,scorecard
Kyle Coetzer (c),9,16,27,1,0,56.25,scorecard
Matthew Cross †,5,8,10,0,0,62.50,scorecard
Richie Berrington,54,37,58,4,1,145.94,scorecard
Dylan Budge,0,2,3,0,0,0.00,scorecard
Michael Leask,14,14,25,2,0,100.00,scorecard
Chris Greaves,4,12,21,0,0,33.33,scorecard
Mark Watt,2,3,3,0,0,66.66,scorecard
Hazratullah Zazai,2,4,16,0,0,50.00,scorecard
Mohammad Shahzad †,4,11,12,1,0,36.36,scorecard
Rahmanullah Gurbaz,6,9,15,1,0,66.66,scorecard
Gulbadin Naib,15,18,31,1,0,83.33,scorecard
Najibullah Zadran,73,48,61,6,3,152.08,scorecard
Mohammad Nabi (c),14,20,35,0,0,70.00,scorecard
Karim Janat,2,2,5,0,0,100.00,scorecard
Rashid Khan,3,7,10,0,0,42.85,scorecard
Mujeeb Ur Rahman,0,1,8,0,0,0.00,scorecard
Martin Guptill,28,23,34,4,0,121.73,scorecard
Daryl Mitchell,17,12,13,3,0,141.66,scorecard
Kane Williamson (c),40,42,63,3,0,95.23,scorecard
Devon Conway †,36,32,42,4,0,112.50,scorecard
Reeza Hendricks,2,8,12,0,0,25.00,scorecard
Quinton de Kock †,34,27,56,4,0,125.92,scorecard
Rassie van der Dussen,94,60,93,5,6,156.66,scorecard
Aiden Markram,52,25,48,2,4,208.00,scorecard
Jason Roy,20,15,16,4,0,133.33,scorecard
Jos Buttler †,26,15,30,3,1,173.33,scorecard
Moeen Ali,37,27,43,3,2,137.03,scorecard
Jonny Bairstow,1,3,7,0,0,33.33,scorecard
Dawid Malan,33,26,50,3,1,126.92,scorecard
Liam Livingstone,28,17,33,1,3,164.70,scorecard
Eoin Morgan (c),17,12,20,3,0,141.66,scorecard
Chris Woakes,7,3,8,0,1,233.33,scorecard
Chris Jordan,0,1,3,0,0,0.00,scorecard
Adil Rashid,2,2,4,0,0,100.00,scorecard
Mark Wood,1,1,2,0,0,100.00,scorecard
Chris Gayle,15,9,14,0,2,166.66,scorecard
Evin Lewis,29,26,49,5,0,111.53,scorecard
Nicholas Pooran †,4,4,6,1,0,100.00,scorecard
Roston Chase,0,2,3,0,0,0.00,scorecard
Shimron Hetmyer,27,28,47,2,0,96.42,scorecard
Kieron Pollard (c),44,31,51,4,1,141.93,scorecard
Dwayne Bravo,10,12,26,0,1,83.33,scorecard
Andre Russell,18,7,14,1,2,257.14,scorecard
Jason Holder,1,1,4,0,0,100.00,scorecard
David Warner,89,56,89,9,4,158.92,scorecard
Aaron Finch (c),9,11,18,1,0,81.81,scorecard
Mitchell Marsh,53,32,69,5,2,165.62,scorecard
Glenn Maxwell,0,0,3,0,0,-,scorecard
George Munsey,24,19,24,4,1,126.31,scorecard
Kyle Coetzer (c),1,7,12,0,0,14.28,scorecard
Matthew Cross †,2,9,24,0,0,22.22,scorecard
Richie Berrington,0,5,7,0,0,0.00,scorecard
Calum MacLeod,16,28,46,0,0,57.14,scorecard
Michael Leask,21,12,20,2,1,175.00,scorecard
Chris Greaves,1,7,11,0,0,14.28,scorecard
Mark Watt,14,13,21,2,0,107.69,scorecard
Safyaan Sharif,0,1,2,0,0,0.00,scorecard
Alasdair Evans,0,1,2,0,0,0.00,scorecard
Brad Wheal,2,4,6,0,0,50.00,scorecard
KL Rahul,50,19,34,6,3,263.15,scorecard
Rohit Sharma,30,16,29,5,1,187.50,scorecard
Virat Kohli (c),2,2,7,0,0,100.00,scorecard
Suryakumar Yadav,6,2,3,0,1,300.00,scorecard
Martin Guptill,18,18,20,1,1,100.00,scorecard
Daryl Mitchell,19,15,29,2,0,126.66,scorecard
Kane Williamson (c),28,25,38,2,1,112.00,scorecard
Devon Conway †,17,18,36,1,0,94.44,scorecard
Glenn Phillips,39,21,41,1,3,185.71,scorecard
James Neesham,35,23,33,1,2,152.17,scorecard
Stephan Baard,21,22,37,2,0,95.45,scorecard
Michael van Lingen,25,25,32,2,1,100.00,scorecard
Gerhard Erasmus (c),3,4,11,0,0,75.00,scorecard
Zane Green †,23,27,44,1,1,85.18,scorecard
David Wiese,16,17,22,1,1,94.11,scorecard
JJ Smit,9,17,27,1,0,52.94,scorecard
Jan Nicol Loftie-Eaton,0,2,4,0,0,0.00,scorecard
Craig Williams,0,2,3,0,0,0.00,scorecard
Ruben Trumpelmann,6,4,6,1,0,150.00,scorecard
Pathum Nissanka,51,41,79,5,0,124.39,scorecard
Kusal Perera †,29,21,26,2,1,138.09,scorecard
Charith Asalanka,68,41,75,8,1,165.85,scorecard
Dasun Shanaka (c),25,14,27,2,1,178.57,scorecard
Chamika Karunaratne,3,3,6,0,0,100.00,scorecard
Chris Gayle,1,5,7,0,0,20.00,scorecard
Evin Lewis,8,6,12,2,0,133.33,scorecard
Nicholas Pooran †,46,34,56,6,1,135.29,scorecard
Roston Chase,9,8,19,2,0,112.50,scorecard
Shimron Hetmyer,81,54,96,8,4,150.00,scorecard
Andre Russell,2,4,11,0,0,50.00,scorecard
Kieron Pollard (c),0,1,8,0,0,0.00,scorecard
Jason Holder,8,5,7,0,1,160.00,scorecard
Dwayne Bravo,2,3,7,0,0,66.66,scorecard
Akeal Hosein,1,1,6,0,0,100.00,scorecard
Mohammad Naim,17,16,30,3,0,106.25,scorecard
Litton Das †,0,1,5,0,0,0.00,scorecard
Soumya Sarkar,5,8,9,1,0,62.50,scorecard
Mushfiqur Rahim,1,2,4,0,0,50.00,scorecard
Mahmudullah (c),16,18,50,2,0,88.88,scorecard
Afif Hossain,0,4,6,0,0,0.00,scorecard
Shamim Hossain,19,18,24,1,1,105.55,scorecard
Mahedi Hasan,0,1,3,0,0,0.00,scorecard
Taskin Ahmed,6,11,18,0,0,54.54,scorecard
Mustafizur Rahman,4,9,11,0,0,44.44,scorecard
Shoriful Islam,0,2,3,0,0,0.00,scorecard
David Warner,18,14,33,3,0,128.57,scorecard
Aaron Finch (c),40,20,27,2,4,200.00,scorecard
Mitchell Marsh,16,5,9,2,1,320.00,scorecard
Glenn Maxwell,0,0,3,0,0,-,scorecard
KL Rahul,69,48,88,6,2,143.75,scorecard
Rohit Sharma,74,47,78,8,3,157.44,scorecard
Rishabh Pant †,27,13,29,1,3,207.69,scorecard
Hardik Pandya,35,13,19,4,2,269.23,scorecard
Hazratullah Zazai,13,15,17,1,1,86.66,scorecard
Mohammad Shahzad †,0,4,15,0,0,0.00,scorecard
Rahmanullah Gurbaz,19,10,21,1,2,190.00,scorecard
Gulbadin Naib,18,20,28,3,0,90.00,scorecard
Najibullah Zadran,11,13,24,0,1,84.61,scorecard
Mohammad Nabi (c),35,32,42,2,1,109.37,scorecard
Karim Janat,42,22,41,3,2,190.90,scorecard
Rashid Khan,0,1,5,0,0,0.00,scorecard
Sharafuddin Ashraf,2,3,7,0,0,66.66,scorecard
Martin Guptill,93,56,92,6,7,166.07,scorecard
