bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,match_id
Mitchell Starc,4,0,60,0,15.00,5,9,1,1,1,scorecard
Josh Hazlewood,4,0,16,3,4.00,18,3,0,0,0,scorecard
Glenn Maxwell,3,0,28,0,9.33,5,0,3,0,0,scorecard
Pat Cummins,4,0,27,0,6.75,7,0,1,2,0,scorecard
Adam Zampa,4,0,26,1,6.50,7,1,1,0,0,scorecard
Mitchell Marsh,1,0,11,0,11.00,1,2,0,0,0,scorecard
Trent Boult,4,0,18,2,4.50,14,2,0,1,0,scorecard
Tim Southee,3.5,0,43,0,11.21,6,5,2,1,0,scorecard
Adam Milne,4,0,30,0,7.50,12,4,1,1,0,scorecard
Ish Sodhi,3,0,40,0,13.33,3,3,2,3,0,scorecard
Mitchell Santner,3,0,23,0,7.66,4,1,1,0,0,scorecard
James Neesham,1,0,15,0,15.00,1,0,2,0,0,scorecard
Mitchell Starc,4,0,38,2,9.50,10,2,3,1,0,scorecard
Josh Hazlewood,4,0,49,0,12.25,8,3,4,1,1,scorecard
Glenn Maxwell,3,0,20,0,6.66,5,2,0,0,0,scorecard
Pat Cummins,4,0,30,1,7.50,9,3,0,1,1,scorecard
Adam Zampa,4,0,22,1,5.50,9,0,1,1,0,scorecard
Mitchell Marsh,1,0,11,0,11.00,1,1,0,1,0,scorecard
Shaheen Shah Afridi,4,0,35,1,8.75,12,1,3,1,1,scorecard
Imad Wasim,3,0,25,0,8.33,6,2,1,0,0,scorecard
Haris Rauf,3,0,32,0,10.66,6,3,2,0,0,scorecard
Hasan Ali,4,0,44,0,11.00,3,4,1,0,1,scorecard
Shadab Khan,4,0,26,4,6.50,11,1,2,0,0,scorecard
Mohammad Hafeez,1,0,13,0,13.00,2,0,1,1,1,scorecard
Tim Southee,4,0,24,1,6.00,11,2,1,0,0,scorecard
Trent Boult,4,0,40,0,10.00,8,5,0,1,0,scorecard
Adam Milne,4,0,31,1,7.75,7,0,2,1,0,scorecard
Ish Sodhi,4,0,32,1,8.00,6,2,1,2,0,scorecard
Mitchell Santner,1,0,8,0,8.00,2,1,0,0,0,scorecard
James Neesham,2,0,18,1,9.00,3,2,0,1,0,scorecard
Glenn Phillips,1,0,11,0,11.00,1,2,0,0,0,scorecard
Chris Woakes,4,1,36,2,9.00,11,3,2,0,0,scorecard
Chris Jordan,3,0,31,0,10.33,9,2,2,3,0,scorecard
Adil Rashid,4,0,39,1,9.75,7,2,3,0,0,scorecard
Mark Wood,4,0,34,0,8.50,5,2,1,0,1,scorecard
Liam Livingstone,4,0,22,2,5.50,12,2,0,1,0,scorecard
Mohammed Shami,4,0,39,0,9.75,9,1,2,2,0,scorecard
Jasprit Bumrah,4,0,19,2,4.75,14,2,0,1,0,scorecard
Ravichandran Ashwin,4,0,20,3,5.00,13,0,0,1,0,scorecard
Ravindra Jadeja,4,0,16,3,4.00,13,1,0,0,0,scorecard
Rahul Chahar,4,0,30,0,7.50,9,4,0,0,1,scorecard
Ruben Trumpelmann,3,0,26,0,8.66,6,4,0,0,0,scorecard
David Wiese,2,0,18,0,9.00,7,1,2,0,0,scorecard
Bernard Scholtz,1,0,11,0,11.00,3,1,1,0,0,scorecard
JJ Smit,2,0,17,0,8.50,2,2,0,0,0,scorecard
Jan Frylinck,2,0,19,1,9.50,1,1,1,0,0,scorecard
Jan Nicol Loftie-Eaton,4,0,31,0,7.75,7,4,0,0,0,scorecard
Michael van Lingen,1.2,0,13,0,9.75,2,2,0,0,0,scorecard
Hamza Tahir,4,0,24,1,6.00,10,1,1,0,0,scorecard
Brad Wheal,2,0,20,0,10.00,2,1,1,0,0,scorecard
Safyaan Sharif,4,0,41,1,10.25,8,3,3,0,0,scorecard
Mark Watt,4,0,41,0,10.25,8,2,3,4,0,scorecard
Richie Berrington,2,0,17,0,8.50,2,1,0,2,0,scorecard
Chris Greaves,4,0,43,2,10.75,8,2,3,1,0,scorecard
Shaheen Shah Afridi,4,0,24,1,6.00,14,3,0,3,2,scorecard
Imad Wasim,4,0,17,0,4.25,12,1,0,2,0,scorecard
Haris Rauf,4,0,27,1,6.75,7,2,0,1,0,scorecard
Hasan Ali,4,1,33,1,8.25,11,2,1,1,1,scorecard
Shadab Khan,4,0,14,2,3.50,14,1,0,0,0,scorecard
