bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,match_id,inningbowled,avg_bowling_economy,bowling SR,avg_bowling_strike,bowling_avg,average_bowling_avg,dot_ball_percentage,average_dot_ball_%
Assad Vala,1.0,0,11,0,11.0,0,0,1,0,0,scorecard,2,9.83,0.0,9.0,0.0,13.0,0.0,13.89
Assad Vala,3.0,0,26,2,8.66,5,0,2,0,0,scorecard,2,9.83,9.0,9.0,13.0,13.0,27.78,13.89
Bas de Leede,1.0,0,15,0,15.0,1,3,0,0,0,scorecard,1,15.0,0.0,0.0,0.0,0.0,16.67,16.67
Ben Shikongo,2.0,0,19,0,9.5,1,2,0,0,0,scorecard,1,9.5,0.0,0.0,0.0,0.0,8.33,8.33
Ben White,3.0,0,27,0,9.0,3,3,0,1,0,scorecard,1,9.0,0.0,0.0,0.0,0.0,16.67,16.67
Bernard Scholtz,3.0,0,16,1,5.33,9,0,1,1,0,scorecard,7,7.63,18.0,18.0,16.0,18.67,50.0,32.34
Bernard Scholtz,4.0,0,31,0,7.75,5,3,0,1,0,scorecard,7,7.63,0.0,18.0,0.0,18.67,20.83,32.34
Bernard Scholtz,3.0,0,25,1,8.33,5,4,0,0,0,scorecard,7,7.63,18.0,18.0,25.0,18.67,27.78,32.34
Bernard Scholtz,2.0,0,16,0,8.0,2,1,0,0,0,scorecard,7,7.63,0.0,18.0,0.0,18.67,16.67,32.34
Bernard Scholtz,3.0,0,15,1,5.0,8,0,1,0,0,scorecard,7,7.63,18.0,18.0,15.0,18.67,44.44,32.34
Bernard Scholtz,1.0,0,8,0,8.0,1,1,0,0,0,scorecard,7,7.63,0.0,18.0,0.0,18.67,16.67,32.34
Bernard Scholtz,1.0,0,11,0,11.0,3,1,1,0,0,scorecard,7,7.63,0.0,18.0,0.0,18.67,50.0,32.34
Bhuvneshwar Kumar,3.0,0,25,0,8.33,7,1,1,3,0,scorecard,1,8.33,0.0,0.0,0.0,0.0,38.89,38.89
Bilal Khan,4.0,1,16,2,4.0,15,2,0,0,0,scorecard,3,4.5,12.0,10.0,8.0,7.0,62.5,62.04
Bilal Khan,3.0,0,15,0,5.0,11,2,0,2,0,scorecard,3,4.5,0.0,10.0,0.0,7.0,61.11,62.04
Bilal Khan,4.0,0,18,3,4.5,15,0,1,2,0,scorecard,3,4.5,8.0,10.0,6.0,7.0,62.5,62.04
Binura Fernando,2.0,0,24,2,12.0,6,4,1,0,1,scorecard,2,10.5,6.0,12.0,12.0,19.5,50.0,41.67
Binura Fernando,3.0,0,27,1,9.0,6,3,1,0,0,scorecard,2,10.5,18.0,12.0,27.0,19.5,33.33,41.67
Brad Wheal,2.0,0,20,0,10.0,2,1,1,0,0,scorecard,8,9.28,0.0,16.0,0.0,23.0,16.67,35.24
Brad Wheal,3.0,0,24,0,8.0,8,1,2,0,0,scorecard,8,9.28,0.0,16.0,0.0,23.0,44.44,35.24
Brad Wheal,4.0,0,41,1,10.25,7,2,3,0,0,scorecard,8,9.28,24.0,16.0,41.0,23.0,29.17,35.24
Brad Wheal,4.0,0,40,2,10.0,8,3,1,2,0,scorecard,8,9.28,12.0,16.0,20.0,23.0,33.33,35.24
Brad Wheal,4.0,0,42,0,10.5,8,3,3,1,0,scorecard,8,9.28,0.0,16.0,0.0,23.0,33.33,35.24
Brad Wheal,2.0,0,32,1,16.0,2,5,1,1,0,scorecard,8,9.28,12.0,16.0,32.0,23.0,16.67,35.24
Brad Wheal,4.0,0,14,1,3.5,14,1,0,0,0,scorecard,8,9.28,24.0,16.0,14.0,23.0,58.33,35.24
Brad Wheal,4.0,0,24,3,6.0,12,2,1,0,0,scorecard,8,9.28,8.0,16.0,8.0,23.0,50.0,35.24
Brandon Glover,3.0,0,21,1,7.0,8,2,1,0,0,scorecard,2,5.5,18.0,18.0,21.0,16.5,44.44,55.56
Brandon Glover,3.0,0,12,1,4.0,12,1,0,2,0,scorecard,2,5.5,18.0,18.0,12.0,16.5,66.67,55.56
Chad Soper,4.0,0,53,0,13.25,6,2,5,0,2,scorecard,2,9.62,0.0,8.0,0.0,8.0,25.0,35.42
Chad Soper,4.0,0,24,3,6.0,11,1,1,0,0,scorecard,2,9.62,8.0,8.0,8.0,8.0,45.83,35.42
Chamika Karunaratne,4.0,0,17,1,4.25,12,0,0,1,0,scorecard,8,7.42,24.0,15.98,17.0,16.0,50.0,42.72
Chamika Karunaratne,2.0,0,17,0,8.5,4,1,1,0,0,scorecard,8,7.42,0.0,15.98,0.0,16.0,33.33,42.72
Chamika Karunaratne,3.0,0,23,0,7.66,5,1,0,1,0,scorecard,8,7.42,0.0,15.98,0.0,16.0,27.78,42.72
