Player,Bowler Link,Span,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
PW Hasaranga,https://www.espncricinfo.com/cricketers/wanindu-hasaranga-784379,2021-2021,8,8,180,-,156,16,3/9,9.75,5.20,11.2,-,-,3,-
CN Ackermann,https://www.espncricinfo.com/cricketers/colin-ackermann-379774,2021-2021,3,1,18,-,32,1,1/32,32.00,10.66,18.0,-,-,-,-
MR Adair,https://www.espncricinfo.com/cricketers/mark-adair-526441,2021-2021,3,3,58,-,56,5,3/9,11.20,5.79,11.6,-,-,-,-
Afif Hossain,https://www.espncricinfo.com/cricketers/afif-hossain-935995,2021-2021,8,2,12,-,25,-,-,0.00,12.50,-,-,-,1,-
AC Agar,https://www.espncricinfo.com/cricketers/ashton-agar-505120,2021-2021,1,1,16,-,15,1,1/15,15.00,5.62,16.0,-,-,-,-
MM Ali,https://www.espncricinfo.com/cricketers/moeen-ali-8917,2021-2021,6,4,84,1,77,7,2/15,11.00,5.50,12.0,-,-,3,-
CJA Amini,https://www.espncricinfo.com/cricketers/charles-amini-332980,2021-2021,3,3,52,-,81,-,-,0.00,9.34,-,-,-,3,-
Aqib Ilyas,https://www.espncricinfo.com/cricketers/aqib-ilyas-940593,2021-2021,3,3,48,-,58,-,-,0.00,7.25,-,-,-,-,-
KIC Asalanka,https://www.espncricinfo.com/cricketers/charith-asalanka-784367,2021-2021,6,1,6,-,14,-,-,0.00,14.00,-,-,-,-,-
Asghar Afghan,https://www.espncricinfo.com/cricketers/asghar-afghan-320652,2021-2021,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-
R Ashwin,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421,2021-2021,3,3,72,-,63,6,3/20,10.50,5.25,12.0,-,-,1,-
Asif Ali,https://www.espncricinfo.com/cricketers/asif-ali-494230,2021-2021,6,-,0,-,-,-,-,0.00,-,-,-,-,1,-
SK Atai,https://www.espncricinfo.com/cricketers/simon-atai-1115033,2021-2021,3,3,30,-,35,2,1/6,17.50,7.00,15.0,-,-,-,-
Ayaan Khan,https://www.espncricinfo.com/cricketers/ayaan-khan-956319,2021-2021,2,-,0,-,-,-,-,0.00,-,-,-,-,2,-
SJ Baard,https://www.espncricinfo.com/cricketers/stephan-baard-437927,2021-2021,5,-,0,-,-,-,-,0.00,-,-,-,-,1,-
Babar Azam,https://www.espncricinfo.com/cricketers/babar-azam-348144,2021-2021,6,-,0,-,-,-,-,0.00,-,-,-,-,4,-
JM Bairstow,https://www.espncricinfo.com/cricketers/jonny-bairstow-297433,2021-2021,6,-,0,-,-,-,-,0.00,-,-,-,-,3,-
A Balbirnie,https://www.espncricinfo.com/cricketers/andy-balbirnie-303423,2021-2021,3,-,0,-,-,-,-,0.00,-,-,-,-,1,-
S Bau,https://www.espncricinfo.com/cricketers/sese-bau-420427,2021-2021,3,1,12,-,20,-,-,0.00,10.00,-,-,-,3,-
T Bavuma,https://www.espncricinfo.com/cricketers/temba-bavuma-372116,2021-2021,5,-,0,-,-,-,-,0.00,-,-,-,-,1,-
RD Berrington,https://www.espncricinfo.com/cricketers/richie-berrington-25490,2021-2021,8,1,12,-,17,-,-,0.00,8.50,-,-,-,3,-
Bilal Khan,https://www.espncricinfo.com/cricketers/bilal-khan-937953,2021-2021,3,3,66,1,49,5,3/18,9.80,4.45,13.2,-,-,-,-
SW Billings,https://www.espncricinfo.com/cricketers/sam-billings-297628,2021-2021,1,-,0,-,-,-,-,0.00,-,-,-,-,1,-
K Birkenstock,https://www.espncricinfo.com/cricketers/karl-birkenstock-1057456,2021-2021,1,1,12,-,9,-,-,0.00,4.50,-,-,-,-,-
TA Boult,https://www.espncricinfo.com/cricketers/trent-boult-277912,2021-2021,7,7,166,-,173,13,3/17,13.30,6.25,12.7,-,-,2,-
DJ Bravo,https://www.espncricinfo.com/cricketers/dwayne-bravo-51439,2021-2021,5,4,96,-,137,2,1/36,68.50,8.56,48.0,-,-,-,-
DE Budge,https://www.espncricinfo.com/cricketers/dylan-budge-764321,2021-2021,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-
JJ Bumrah,https://www.espncricinfo.com/cricketers/jasprit-bumrah-625383,2021-2021,5,5,112,1,95,7,2/10,13.57,5.08,16.0,-,-,-,-
JC Buttler,https://www.espncricinfo.com/cricketers/jos-buttler-308967,2021-2021,6,-,0,-,-,-,-,0.00,-,-,-,-,4,1
C Campher,https://www.espncricinfo.com/cricketers/curtis-campher-595921,2021-2021,3,3,66,-,78,6,4/26,13.00,7.09,11.0,-,-,1,-
RD Chahar,https://www.espncricinfo.com/cricketers/rahul-chahar-1064812,2021-2021,1,1,24,-,30,-,-,0.00,7.50,-,-,-,-,-
PVD Chameera,https://www.espncricinfo.com/cricketers/dushmantha-chameera-552152,2021-2021,8,8,168,-,233,7,2/27,33.28,8.32,24.0,-,-,1,-
LD Chandimal,https://www.espncricinfo.com/cricketers/dinesh-chandimal-300628,2021-2021,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-
RL Chase,https://www.espncricinfo.com/cricketers/roston-chase-391832,2021-2021,3,2,14,-,23,-,-,0.00,9.85,-,-,-,-,-
KJ Coetzer,https://www.espncricinfo.com/cricketers/kyle-coetzer-25446,2021-2021,7,-,0,-,-,-,-,0.00,-,-,-,-,1,-
DP Conway,https://www.espncricinfo.com/cricketers/devon-conway-379140,2021-2021,6,-,0,-,-,-,-,0.00,-,-,-,-,5,-
BN Cooper,https://www.espncricinfo.com/cricketers/ben-cooper-470699,2021-2021,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-
MH Cross,https://www.espncricinfo.com/cricketers/matthew-cross-417268,2021-2021,8,-,0,-,-,-,-,0.00,-,-,-,-,6,2
PJ Cummins,https://www.espncricinfo.com/cricketers/pat-cummins-489889,2021-2021,7,7,144,-,177,5,2/34,35.40,7.37,28.8,-,-,1,-
JH Davey,https://www.espncricinfo.com/cricketers/josh-davey-407265,2021-2021,5,5,105,-,123,9,4/18,13.66,7.02,11.6,-,-,1,-
Q de Kock,https://www.espncricinfo.com/cricketers/quinton-de-kock-379143,2021-2021,4,-,0,-,-,-,-,0.00,-,-,-,-,-,-
GJ Delany,https://www.espncricinfo.com/cricketers/gareth-delany-1099379,2021-2021,3,-,0,-,-,-,-,0.00,-,-,-,-,1,-
BFW de Leede,https://www.espncricinfo.com/cricketers/bas-de-leede-1036191,2021-2021,3,1,6,-,15,-,-,0.00,15.00,-,-,-,-,-
K Doriga,https://www.espncricinfo.com/cricketers/kiplin-doriga-646173,2021-2021,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-
SA Edwards,https://www.espncricinfo.com/cricketers/scott-edwards-1127317,2021-2021,3,-,0,-,-,-,-,0.00,-,-,-,-,1,-
MG Erasmus,https://www.espncricinfo.com/cricketers/gerhard-erasmus-519070,2021-2021,8,3,36,-,34,1,1/22,34.00,5.66,36.0,-,-,2,-
AC Evans,https://www.espncricinfo.com/cricketers/alasdair-evans-399259,2021-2021,3,3,48,-,86,1,1/22,86.00,10.75,48.0,-,-,-,-
Fakhar Zaman,https://www.espncricinfo.com/cricketers/fakhar-zaman-512191,2021-2021,6,-,0,-,-,-,-,0.00,-,-,-,-,5,-
Fayyaz Butt,https://www.espncricinfo.com/cricketers/fayyaz-butt-436749,2021-2021,2,2,42,-,56,4,3/30,14.00,8.00,10.5,-,-,1,-
B Fernando,https://www.espncricinfo.com/cricketers/binura-fernando-629080,2021-2021,2,2,30,-,51,3,2/24,17.00,10.20,10.0,-,-,1,-
WIA Fernando,https://www.espncricinfo.com/cricketers/avishka-fernando-784369,2021-2021,8,-,0,-,-,-,-,0.00,-,-,-,-,2,-
AJ Finch,https://www.espncricinfo.com/cricketers/aaron-finch-5334,2021-2021,7,-,0,-,-,-,-,0.00,-,-,-,-,3,-
JN Frylinck,https://www.espncricinfo.com/cricketers/jan-frylinck-482478,2021-2021,7,7,135,-,168,9,3/21,18.66,7.46,15.0,-,-,1,-
CH Gayle,https://www.espncricinfo.com/cricketers/chris-gayle-51880,2021-2021,5,1,6,-,7,1,1/7,7.00,7.00,6.0,-,-,2,-
BD Glover,https://www.espncricinfo.com/cricketers/brandon-glover-595419,2021-2021,2,2,36,-,33,2,1/12,16.50,5.50,18.0,-,-,-,-
CN Greaves,https://www.espncricinfo.com/cricketers/chris-greaves-873199,2021-2021,8,8,135,-,187,6,2/19,31.16,8.31,22.5,-,-,4,-
ZE Green,https://www.espncricinfo.com/cricketers/zane-green-596664,2021-2021,8,-,0,-,-,-,-,0.00,-,-,-,-,5,-
