Player,Bowler Link,Span,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
Gulbadin Naib,https://www.espncricinfo.com/cricketers/gulbadin-naib-352048,2021-2021,5,3,55,1,67,3,2/19,22.33,7.30,18.3,-,-,2,-
MJ Guptill,https://www.espncricinfo.com/cricketers/martin-guptill-226492,2021-2021,7,-,0,-,-,-,-,0.00,-,-,-,-,4,-
Hamid Hassan,https://www.espncricinfo.com/cricketers/hamid-hassan-311427,2021-2021,3,3,66,-,57,3,3/9,19.00,5.18,22.0,-,-,1,-
Hamza Tahir,https://www.espncricinfo.com/cricketers/hamza-tahir-751151,2021-2021,1,1,24,-,24,1,1/24,24.00,6.00,24.0,-,-,-,-
Haris Rauf,https://www.espncricinfo.com/cricketers/haris-rauf-1161606,2021-2021,6,6,138,-,168,8,4/22,21.00,7.30,17.2,-,-,4,-
Hasan Ali,https://www.espncricinfo.com/cricketers/hasan-ali-681305,2021-2021,6,6,138,2,207,5,2/44,41.40,9.00,27.6,-,-,2,-
JR Hazlewood,https://www.espncricinfo.com/cricketers/josh-hazlewood-288284,2021-2021,7,7,144,1,175,11,4/39,15.90,7.29,13.0,-,-,-,-
Hazratullah Zazai,https://www.espncricinfo.com/cricketers/hazratullah-zazai-793457,2021-2021,5,-,0,-,-,-,-,0.00,-,-,-,-,-,-
RR Hendricks,https://www.espncricinfo.com/cricketers/reeza-hendricks-269280,2021-2021,4,-,0,-,-,-,-,0.00,-,-,-,-,3,-
SO Hetmyer,https://www.espncricinfo.com/cricketers/shimron-hetmyer-670025,2021-2021,5,-,0,-,-,-,-,0.00,-,-,-,-,3,-
H Hiri,https://www.espncricinfo.com/cricketers/hiri-hiri-646175,2021-2021,1,-,0,-,-,-,-,0.00,-,-,-,-,1,-
JO Holder,https://www.espncricinfo.com/cricketers/jason-holder-391485,2021-2021,3,3,60,-,85,1,1/22,85.00,8.50,60.0,-,-,3,-
AJ Hosein,https://www.espncricinfo.com/cricketers/akeal-hosein-530812,2021-2021,5,5,108,-,126,5,2/24,25.20,7.00,21.6,-,-,2,-
Imad Wasim,https://www.espncricinfo.com/cricketers/imad-wasim-227758,2021-2021,6,6,120,-,114,4,2/25,28.50,5.70,30.0,-,-,-,-
Ishan Kishan,https://www.espncricinfo.com/cricketers/ishan-kishan-720471,2021-2021,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-
RA Jadeja,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675,2021-2021,5,5,102,-,101,7,3/15,14.42,5.94,14.5,-,-,1,-
Jatinder Singh,https://www.espncricinfo.com/cricketers/jatinder-singh-307756,2021-2021,3,-,0,-,-,-,-,0.00,-,-,-,-,5,-
CJ Jordan,https://www.espncricinfo.com/cricketers/chris-jordan-288992,2021-2021,6,6,114,-,130,6,3/17,21.66,6.84,19.0,-,-,1,-
Kaleemullah,https://www.espncricinfo.com/cricketers/kaleemullah-1077307,2021-2021,2,2,42,-,49,4,2/19,12.25,7.00,10.5,-,-,-,-
Karim Janat,https://www.espncricinfo.com/cricketers/karim-janat-793467,2021-2021,5,4,48,-,72,1,1/7,72.00,9.00,48.0,-,-,-,-
C Karunaratne,https://www.espncricinfo.com/cricketers/chamika-karunaratne-623695,2021-2021,8,8,135,-,165,6,2/27,27.50,7.33,22.5,-,-,2,-
Khawar Ali,https://www.espncricinfo.com/cricketers/khawar-ali-585081,2021-2021,2,2,36,-,44,1,1/27,44.00,7.33,36.0,-,-,-,-
H Klaasen,https://www.espncricinfo.com/cricketers/heinrich-klaasen-436757,2021-2021,2,-,0,-,-,-,-,0.00,-,-,-,-,2,-
FJ Klaassen,https://www.espncricinfo.com/cricketers/fred-klaassen-1104703,2021-2021,3,3,55,-,44,2,1/14,22.00,4.80,27.5,-,-,1,-
V Kohli,https://www.espncricinfo.com/cricketers/virat-kohli-253802,2021-2021,5,-,0,-,-,-,-,0.00,-,-,-,-,-,-
B Kumar,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,2021-2021,1,1,18,-,25,-,-,0.00,8.33,-,-,-,-,-
CBRLS Kumara,https://www.espncricinfo.com/cricketers/lahiru-kumara-784375,2021-2021,7,7,152,1,194,8,3/7,24.25,7.65,19.0,-,-,1,-
MA Leask,https://www.espncricinfo.com/cricketers/michael-leask-414966,2021-2021,8,6,66,-,86,4,2/12,21.50,7.81,16.5,-,-,1,-
E Lewis,https://www.espncricinfo.com/cricketers/evin-lewis-431901,2021-2021,5,-,0,-,-,-,-,0.00,-,-,-,-,-,-
Litton Das,https://www.espncricinfo.com/cricketers/litton-das-536936,2021-2021,8,-,0,-,-,-,-,0.00,-,-,-,-,2,-
JB Little,https://www.espncricinfo.com/cricketers/josh-little-928067,2021-2021,3,3,72,-,59,5,4/23,11.80,4.91,14.4,-,-,-,-
LS Livingstone,https://www.espncricinfo.com/cricketers/liam-livingstone-403902,2021-2021,6,4,90,-,86,6,2/15,14.33,5.73,15.0,-,-,3,-
JN Loftie-Eaton,https://www.espncricinfo.com/cricketers/jan-nicol-loftie-eaton-1071473,2021-2021,8,5,78,-,103,2,2/21,51.50,7.92,39.0,-,-,1,-
OC McCoy,https://www.espncricinfo.com/cricketers/obed-mccoy-906783,2021-2021,1,1,12,-,12,-,-,0.00,6.00,-,-,-,-,-
CS MacLeod,https://www.espncricinfo.com/cricketers/calum-macleod-232435,2021-2021,7,-,0,-,-,-,-,0.00,-,-,-,-,8,-
KA Maharaj,https://www.espncricinfo.com/cricketers/keshav-maharaj-267724,2021-2021,5,5,114,-,127,3,2/24,42.33,6.68,38.0,-,-,2,-
Mahedi Hasan,https://www.espncricinfo.com/cricketers/mahedi-hasan-833087,2021-2021,8,7,147,-,150,8,3/19,18.75,6.12,18.3,-,-,1,-
Mahmudullah,https://www.espncricinfo.com/cricketers/mahmudullah-56025,2021-2021,8,1,12,-,21,-,-,0.00,10.50,-,-,-,2,-
DJ Malan,https://www.espncricinfo.com/cricketers/dawid-malan-236489,2021-2021,6,-,0,-,-,-,-,0.00,-,-,-,-,2,-
AK Markram,https://www.espncricinfo.com/cricketers/aiden-markram-600498,2021-2021,5,3,42,1,48,-,-,0.00,6.85,-,-,-,3,-
MR Marsh,https://www.espncricinfo.com/cricketers/mitchell-marsh-272450,2021-2021,6,3,30,-,38,-,-,0.00,7.60,-,-,-,1,-
GJ Maxwell,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,2021-2021,7,6,84,-,100,2,1/6,50.00,7.14,42.0,-,-,3,-
DA Miller,https://www.espncricinfo.com/cricketers/david-miller-321777,2021-2021,5,-,0,-,-,-,-,0.00,-,-,-,-,4,-
TS Mills,https://www.espncricinfo.com/cricketers/tymal-mills-459257,2021-2021,4,4,81,-,108,7,3/27,15.42,8.00,11.5,-,-,-,-
AF Milne,https://www.espncricinfo.com/cricketers/adam-milne-450860,2021-2021,6,6,144,1,169,3,1/17,56.33,7.04,48.0,-,-,-,-
DJ Mitchell,https://www.espncricinfo.com/cricketers/daryl-mitchell-381743,2021-2021,7,-,0,-,-,-,-,0.00,-,-,-,-,3,-
Mohammad Hafeez,https://www.espncricinfo.com/cricketers/mohammad-hafeez-41434,2021-2021,6,4,36,-,52,1,1/16,52.00,8.66,36.0,-,-,1,-
Mohammad Nabi,https://www.espncricinfo.com/cricketers/mohammad-nabi-25913,2021-2021,5,5,72,-,97,1,1/36,97.00,8.08,72.0,-,-,2,-
Mohammad Nadeem,https://www.espncricinfo.com/cricketers/mohammad-nadeem-41984,2021-2021,3,3,54,-,80,-,-,0.00,8.88,-,-,-,1,-
Mohammad Naim,https://www.espncricinfo.com/cricketers/mohammad-naim-990081,2021-2021,7,-,0,-,-,-,-,0.00,-,-,-,-,6,-
Mohammad Rizwan,https://www.espncricinfo.com/cricketers/mohammad-rizwan-323389,2021-2021,6,-,0,-,-,-,-,0.00,-,-,-,-,4,-
Mohammad Saifuddin,https://www.espncricinfo.com/cricketers/mohammad-saifuddin-629070,2021-2021,4,4,90,-,105,5,2/21,21.00,7.00,18.0,-,-,-,-
Mohammad Shahzad,https://www.espncricinfo.com/cricketers/mohammad-shahzad-419873,2021-2021,5,-,0,-,-,-,-,0.00,-,-,-,-,4,-
Mohammed Shami,https://www.espncricinfo.com/cricketers/mohammed-shami-481896,2021-2021,5,5,95,1,140,6,3/15,23.33,8.84,15.8,-,-,1,-
KV Morea,https://www.espncricinfo.com/cricketers/kabua-morea-524255,2021-2021,3,3,60,-,75,6,4/31,12.50,7.50,10.0,-,-,1,-
EJG Morgan,https://www.espncricinfo.com/cricketers/eoin-morgan-24598,2021-2021,6,-,0,-,-,-,-,0.00,-,-,-,-,3,-
Mujeeb Ur Rahman,https://www.espncricinfo.com/cricketers/mujeeb-ur-rahman-974109,2021-2021,3,3,72,-,65,7,5/20,9.28,5.41,10.2,1,-,-,-
HG Munsey,https://www.espncricinfo.com/cricketers/george-munsey-671805,2021-2021,8,-,0,-,-,-,-,0.00,-,-,-,-,6,-
Mushfiqur Rahim,https://www.espncricinfo.com/cricketers/mushfiqur-rahim-56029,2021-2021,8,-,0,-,-,-,-,0.00,-,-,-,-,4,-
Mustafizur Rahman,https://www.espncricinfo.com/cricketers/mustafizur-rahman-330902,2021-2021,7,7,144,1,222,8,4/36,27.75,9.25,18.0,-,-,1,-
SJ Myburgh,https://www.espncricinfo.com/cricketers/stephan-myburgh-233712,2021-2021,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-
Najibullah Zadran,https://www.espncricinfo.com/cricketers/najibullah-zadran-524049,2021-2021,5,-,0,-,-,-,-,0.00,-,-,-,-,-,-
Naseem Khushi,https://www.espncricinfo.com/cricketers/naseem-khushi-1077310,2021-2021,3,-,0,-,-,-,-,0.00,-,-,-,-,1,-
Nasum Ahmed,https://www.espncricinfo.com/cricketers/nasum-ahmed-348049,2021-2021,3,3,47,-,77,4,2/29,19.25,9.82,11.7,-,-,1,-
Naveen-ul-Haq,https://www.espncricinfo.com/cricketers/naveen-ul-haq-793447,2021-2021,5,5,90,-,135,5,3/26,27.00,9.00,18.0,-,-,1,-
JDS Neesham,https://www.espncricinfo.com/cricketers/james-neesham-355269,2021-2021,7,5,66,-,81,3,1/6,27.00,7.36,22.0,-,-,1,-
P Nissanka,https://www.espncricinfo.com/cricketers/pathum-nissanka-1028655,2021-2021,8,-,0,-,-,-,-,0.00,-,-,-,-,1,-
A Nortje,https://www.espncricinfo.com/cricketers/anrich-nortje-481979,2021-2021,5,5,116,-,104,9,3/8,11.55,5.37,12.8,-,-,3,-
Nurul Hasan,https://www.espncricinfo.com/cricketers/nurul-hasan-410765,2021-2021,5,-,0,-,-,-,-,0.00,-,-,-,-,5,-
KJ O'Brien,https://www.espncricinfo.com/cricketers/kevin-o-brien-24605,2021-2021,3,1,14,-,15,-,-,0.00,6.42,-,-,-,2,-
MP O'Dowd,https://www.espncricinfo.com/cricketers/max-o-dowd-643197,2021-2021,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-
HH Pandya,https://www.espncricinfo.com/cricketers/hardik-pandya-625371,2021-2021,5,2,24,-,40,-,-,0.00,10.00,-,-,-,4,-
RR Pant,https://www.espncricinfo.com/cricketers/rishabh-pant-931581,2021-2021,5,-,0,-,-,-,-,0.00,-,-,-,-,1,1
MDKJ Perera,https://www.espncricinfo.com/cricketers/kusal-perera-300631,2021-2021,8,-,0,-,-,-,-,0.00,-,-,-,-,3,1
GD Phillips,https://www.espncricinfo.com/cricketers/glenn-phillips-823509,2021-2021,7,1,6,-,11,-,-,0.00,11.00,-,-,-,1,-
N Pokana,https://www.espncricinfo.com/cricketers/nosaina-pokana-646181,2021-2021,2,2,36,-,52,-,-,0.00,8.66,-,-,-,-,-
KA Pollard,https://www.espncricinfo.com/cricketers/kieron-pollard-230559,2021-2021,5,3,14,-,23,-,-,0.00,9.85,-,-,-,-,-
N Pooran,https://www.espncricinfo.com/cricketers/nicholas-pooran-604302,2021-2021,5,-,0,-,-,-,-,0.00,-,-,-,-,-,-
KH Prajapati,https://www.espncricinfo.com/cricketers/kashyap-prajapati-1276719,2021-2021,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-
D Pretorius,https://www.espncricinfo.com/cricketers/dwaine-pretorius-327830,2021-2021,5,5,88,-,101,9,3/17,11.22,6.88,9.7,-,-,-,-
K Rabada,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215,2021-2021,5,5,114,-,155,8,3/20,19.37,8.15,14.2,-,-,4,-
Rahmanullah Gurbaz,https://www.espncricinfo.com/cricketers/rahmanullah-gurbaz-974087,2021-2021,5,-,0,-,-,-,-,0.00,-,-,-,-,-,-
KL Rahul,https://www.espncricinfo.com/cricketers/kl-rahul-422108,2021-2021,5,-,0,-,-,-,-,0.00,-,-,-,-,1,-
PBB Rajapaksa,https://www.espncricinfo.com/cricketers/bhanuka-rajapaksa-342619,2021-2021,8,-,0,-,-,-,-,0.00,-,-,-,-,3,-
R Rampaul,https://www.espncricinfo.com/cricketers/ravi-rampaul-52912,2021-2021,4,4,78,-,98,2,1/14,49.00,7.53,39.0,-,-,-,-
AU Rashid,https://www.espncricinfo.com/cricketers/adil-rashid-244497,2021-2021,6,6,134,-,146,9,4/2,16.22,6.53,14.8,-,-,2,-
Rashid Khan,https://www.espncricinfo.com/cricketers/rashid-khan-793463,2021-2021,5,5,110,-,112,8,4/9,14.00,6.10,13.7,-,-,-,-
D Ravu,https://www.espncricinfo.com/cricketers/damien-ravu-1122557,2021-2021,2,2,42,-,68,2,2/40,34.00,9.71,21.0,-,-,1,-
NA Rock,https://www.espncricinfo.com/cricketers/neil-rock-1112535,2021-2021,3,-,0,-,-,-,-,0.00,-,-,-,-,2,-
JJ Roy,https://www.espncricinfo.com/cricketers/jason-roy-298438,2021-2021,5,-,0,-,-,-,-,0.00,-,-,-,-,5,-
AD Russell,https://www.espncricinfo.com/cricketers/andre-russell-276298,2021-2021,5,4,80,-,123,3,2/33,41.00,9.22,26.6,-,-,1,-
Sandeep Goud,https://www.espncricinfo.com/cricketers/sandeep-goud-1174024,2021-2021,3,-,0,-,-,-,-,0.00,-,-,-,-,2,-
MJ Santner,https://www.espncricinfo.com/cricketers/mitchell-santner-502714,2021-2021,7,7,132,-,149,2,1/20,74.50,6.77,66.0,-,-,2,-
BM Scholtz,https://www.espncricinfo.com/cricketers/bernard-scholtz-330223,2021-2021,7,7,102,-,122,3,1/15,40.66,7.17,34.0,-,-,2,-
PM Seelaar,https://www.espncricinfo.com/cricketers/pieter-seelaar-208657,2021-2021,3,2,25,1,22,2,1/8,11.00,5.28,12.5,-,-,-,-
TL Seifert,https://www.espncricinfo.com/cricketers/tim-seifert-625964,2021-2021,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-
Shadab Khan,https://www.espncricinfo.com/cricketers/shadab-khan-922943,2021-2021,6,6,138,-,138,9,4/26,15.33,6.00,15.3,-,-,2,-
Shaheen Shah Afridi,https://www.espncricinfo.com/cricketers/shaheen-shah-afridi-1072470,2021-2021,6,6,144,1,169,7,3/31,24.14,7.04,20.5,-,-,-,-
Shamim Hossain,https://www.espncricinfo.com/cricketers/shamim-hossain-1161044,2021-2021,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-
T Shamsi,https://www.espncricinfo.com/cricketers/tabraiz-shamsi-379145,2021-2021,5,5,114,-,121,8,3/17,15.12,6.36,14.2,-,-,2,-
MD Shanaka,https://www.espncricinfo.com/cricketers/dasun-shanaka-437316,2021-2021,8,5,48,-,69,2,1/6,34.50,8.62,24.0,-,-,3,-
Shakib Al Hasan,https://www.espncricinfo.com/cricketers/shakib-al-hasan-56143,2021-2021,6,6,132,-,123,11,4/9,11.18,5.59,12.0,-,-,1,-
Sharafuddin Ashraf,https://www.espncricinfo.com/cricketers/sharafuddin-ashraf-633362,2021-2021,1,1,12,-,25,-,-,0.00,12.50,-,-,-,-,-
SM Sharif,https://www.espncricinfo.com/cricketers/safyaan-sharif-414970,2021-2021,7,7,139,-,188,8,2/25,23.50,8.11,17.3,-,-,-,-
RG Sharma,https://www.espncricinfo.com/cricketers/rohit-sharma-34102,2021-2021,5,-,0,-,-,-,-,0.00,-,-,-,-,3,-
B Shikongo,https://www.espncricinfo.com/cricketers/ben-shikongo-1069820,2021-2021,1,1,12,-,19,-,-,0.00,9.50,-,-,-,-,-
Shoaib Malik,https://www.espncricinfo.com/cricketers/shoaib-malik-42657,2021-2021,6,-,0,-,-,-,-,0.00,-,-,-,-,-,-
Shoriful Islam,https://www.espncricinfo.com/cricketers/shoriful-islam-990039,2021-2021,4,4,73,-,70,4,2/20,17.50,5.75,18.2,-,-,1,-
L Siaka,https://www.espncricinfo.com/cricketers/lega-siaka-440990,2021-2021,3,2,18,-,25,-,-,0.00,8.33,-,-,-,3,-
Simi Singh,https://www.espncricinfo.com/cricketers/simi-singh-1005257,2021-2021,3,3,66,-,96,-,-,0.00,8.72,-,-,-,-,-
LMP Simmons,https://www.espncricinfo.com/cricketers/lendl-simmons-53116,2021-2021,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-
JJ Smit,https://www.espncricinfo.com/cricketers/jj-smit-553821,2021-2021,8,8,144,-,198,4,1/7,49.50,8.25,36.0,-,-,1,-
SPD Smith,https://www.espncricinfo.com/cricketers/steven-smith-267192,2021-2021,7,-,0,-,-,-,-,0.00,-,-,-,-,8,-
IS Sodhi,https://www.espncricinfo.com/cricketers/ish-sodhi-559066,2021-2021,7,7,144,-,194,9,2/17,21.55,8.08,16.0,-,-,1,-
CA Soper,https://www.espncricinfo.com/cricketers/chad-soper-574287,2021-2021,2,2,48,-,77,3,3/24,25.66,9.62,16.0,-,-,1,-
Soumya Sarkar,https://www.espncricinfo.com/cricketers/soumya-sarkar-436677,2021-2021,4,1,6,-,7,-,-,0.00,7.00,-,-,-,3,-
TG Southee,https://www.espncricinfo.com/cricketers/tim-southee-232364,2021-2021,7,7,167,-,181,8,2/15,22.62,6.50,20.8,-,-,3,-
MA Starc,https://www.espncricinfo.com/cricketers/mitchell-starc-311592,2021-2021,7,7,162,-,248,9,2/21,27.55,9.18,18.0,-,-,-,-
PR Stirling,https://www.espncricinfo.com/cricketers/paul-stirling-303427,2021-2021,3,2,12,-,5,1,1/4,5.00,2.50,12.0,-,-,-,-
MP Stoinis,https://www.espncricinfo.com/cricketers/marcus-stoinis-325012,2021-2021,7,1,18,-,35,-,-,0.00,11.66,-,-,-,1,-
Suraj Kumar,https://www.espncricinfo.com/cricketers/suraj-kumar-1156690,2021-2021,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-
Taskin Ahmed,https://www.espncricinfo.com/cricketers/taskin-ahmed-538506,2021-2021,6,6,131,1,142,6,2/12,23.66,6.50,21.8,-,-,-,-
HT Tector,https://www.espncricinfo.com/cricketers/harry-tector-961407,2021-2021,3,-,0,-,-,-,-,0.00,-,-,-,-,2,-
RN ten Doeschate,https://www.espncricinfo.com/cricketers/ryan-ten-doeschate-47660,2021-2021,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-
SN Thakur,https://www.espncricinfo.com/cricketers/shardul-thakur-475281,2021-2021,2,2,27,-,48,-,-,0.00,10.66,-,-,-,2,-
