batsmanName,runs,balls,minutes,4s,6s,SR,inning_batted,Average_SR,boundaries,boundary_runs,boundary_percentage,Average_Boundary_Percentage,total_runs,batting_average
Aaron Finch (c),0,1,2,0,0,0.0,7,86.26857142857145,0,0,,65.45891345891346,135,19.285714285714285
Aaron Finch (c),9,11,18,1,0,81.81,7,86.26857142857145,1,4,44.44444444444444,65.45891345891346,135,19.285714285714285
Aaron Finch (c),44,49,89,4,0,89.79,7,86.26857142857145,4,16,36.36363636363637,65.45891345891346,135,19.285714285714285
Aaron Finch (c),37,23,33,5,2,160.86,7,86.26857142857145,7,32,86.48648648648648,65.45891345891346,135,19.285714285714285
Aaron Finch (c),5,7,12,1,0,71.42,7,86.26857142857145,1,4,80.0,65.45891345891346,135,19.285714285714285
Aaron Finch (c),40,20,27,2,4,200.0,7,86.26857142857145,6,32,80.0,65.45891345891346,135,19.285714285714285
Aaron Finch (c),0,5,22,0,0,0.0,7,86.26857142857145,0,0,,65.45891345891346,135,19.285714285714285
Adam Zampa,1,4,8,0,0,25.0,1,25.0,0,0,0.0,0.0,1,1.0
Adil Rashid,2,2,4,0,0,100.0,1,100.0,0,0,0.0,0.0,2,2.0
Afif Hossain,2,2,7,0,0,100.0,8,77.49875,0,0,0.0,39.78835978835979,54,6.75
Afif Hossain,0,4,6,0,0,0.0,8,77.49875,0,0,,39.78835978835979,54,6.75
Afif Hossain,21,14,32,3,0,150.0,8,77.49875,3,12,57.14285714285714,39.78835978835979,54,6.75
Afif Hossain,7,6,14,1,0,116.66,8,77.49875,1,4,57.14285714285714,39.78835978835979,54,6.75
Afif Hossain,0,1,2,0,0,0.0,8,77.49875,0,0,,39.78835978835979,54,6.75
Afif Hossain,5,6,11,1,0,83.33,8,77.49875,1,4,80.0,39.78835978835979,54,6.75
Afif Hossain,1,5,11,0,0,20.0,8,77.49875,0,0,0.0,39.78835978835979,54,6.75
Afif Hossain,18,12,22,2,0,150.0,8,77.49875,2,8,44.44444444444444,39.78835978835979,54,6.75
Aiden Markram,40,36,74,3,1,111.11,5,122.05199999999999,4,18,45.0,52.84720568389299,162,32.4
Aiden Markram,51,26,48,2,4,196.15,5,122.05199999999999,6,32,62.745098039215684,52.84720568389299,162,32.4
Aiden Markram,0,4,7,0,0,0.0,5,122.05199999999999,0,0,,52.84720568389299,162,32.4
Aiden Markram,52,25,48,2,4,208.0,5,122.05199999999999,6,32,61.53846153846154,52.84720568389299,162,32.4
Aiden Markram,19,20,34,2,0,95.0,5,122.05199999999999,2,8,42.10526315789473,52.84720568389299,162,32.4
Akeal Hosein,6,13,21,0,0,46.15,3,48.71666666666667,0,0,0.0,0.0,7,2.3333333333333335
Akeal Hosein,0,0,2,0,0,0.0,3,48.71666666666667,0,0,,0.0,7,2.3333333333333335
Akeal Hosein,1,1,6,0,0,100.0,3,48.71666666666667,0,0,0.0,0.0,7,2.3333333333333335
Alasdair Evans,0,0,2,0,0,0.0,2,0.0,0,0,,,0,0.0
Alasdair Evans,0,1,2,0,0,0.0,2,0.0,0,0,,,0,0.0
Andre Russell,0,0,2,0,0,0.0,5,86.428,0,0,,56.2962962962963,25,5.0
Andre Russell,5,4,8,1,0,125.0,5,86.428,1,4,80.0,56.2962962962963,25,5.0
Andre Russell,0,2,10,0,0,0.0,5,86.428,0,0,,56.2962962962963,25,5.0
Andre Russell,2,4,11,0,0,50.0,5,86.428,0,0,0.0,56.2962962962963,25,5.0
Andre Russell,18,7,14,1,2,257.14,5,86.428,3,16,88.88888888888889,56.2962962962963,25,5.0
Andy Balbirnie (c),41,39,73,2,2,105.12,3,104.48333333333335,4,20,48.78048780487805,62.29190863337205,70,23.333333333333332
Andy Balbirnie (c),8,6,6,2,0,133.33,3,104.48333333333335,2,8,100.0,62.29190863337205,70,23.333333333333332
Andy Balbirnie (c),21,28,41,2,0,75.0,3,104.48333333333335,2,8,38.095238095238095,62.29190863337205,70,23.333333333333332
Anrich Nortje,2,3,14,0,0,66.66,1,66.66,0,0,0.0,0.0,2,2.0
Aqib Ilyas,37,35,42,3,2,105.71,3,107.32666666666667,5,24,64.86486486486487,61.17717717717718,93,31.0
Aqib Ilyas,6,6,10,1,0,100.0,3,107.32666666666667,1,4,66.66666666666666,61.17717717717718,93,31.0
Aqib Ilyas,50,43,67,5,1,116.27,3,107.32666666666667,6,26,52.0,61.17717717717718,93,31.0
Asghar Afghan,31,23,46,3,1,134.78,2,138.815,4,18,58.06451612903226,79.03225806451613,41,20.5
Asghar Afghan,10,7,11,1,1,142.85,2,138.815,2,10,100.0,79.03225806451613,41,20.5
Ashton Agar,20,20,28,0,2,100.0,1,100.0,2,12,60.0,60.0,20,20.0
Asif Ali,25,7,14,0,4,357.14,4,176.785,4,24,96.0,59.16049382716049,57,14.25
Asif Ali,5,4,14,0,0,125.0,4,176.785,0,0,0.0,59.16049382716049,57,14.25
Asif Ali,0,1,7,0,0,0.0,4,176.785,0,0,,59.16049382716049,57,14.25
Asif Ali,27,12,23,1,3,225.0,4,176.785,4,22,81.48148148148148,59.16049382716049,57,14.25
Assad Vala (c),56,43,65,4,3,130.23,3,120.17333333333333,7,34,60.71428571428571,49.86772486772486,80,26.666666666666668
Assad Vala (c),18,11,16,4,0,163.63,3,120.17333333333333,4,16,88.88888888888889,49.86772486772486,80,26.666666666666668
Assad Vala (c),6,9,21,0,0,66.66,3,120.17333333333333,0,0,0.0,49.86772486772486,80,26.666666666666668
Avishka Fernando,2,4,9,0,0,50.0,7,52.44714285714286,0,0,0.0,14.153846153846155,52,7.428571428571429
Avishka Fernando,4,7,13,0,0,57.14,7,52.44714285714286,0,0,0.0,14.153846153846155,52,7.428571428571429
Avishka Fernando,0,1,2,0,0,0.0,7,52.44714285714286,0,0,,14.153846153846155,52,7.428571428571429
Avishka Fernando,13,14,25,1,0,92.85,7,52.44714285714286,1,4,30.76923076923077,14.153846153846155,52,7.428571428571429
Avishka Fernando,30,28,53,0,2,107.14,7,52.44714285714286,2,12,40.0,14.153846153846155,52,7.428571428571429
Avishka Fernando,0,3,2,0,0,0.0,7,52.44714285714286,0,0,,14.153846153846155,52,7.428571428571429
Avishka Fernando,3,5,12,0,0,60.0,7,52.44714285714286,0,0,0.0,14.153846153846155,52,7.428571428571429
Ayaan Khan,9,13,27,0,0,69.23,1,69.23,0,0,0.0,0.0,9,9.0
Babar Azam (c),66,47,82,5,3,140.42,6,119.84166666666665,8,38,57.57575757575758,46.26932979874156,303,50.5
Babar Azam (c),70,49,72,7,0,142.85,6,119.84166666666665,7,28,40.0,46.26932979874156,303,50.5
Babar Azam (c),39,34,45,5,0,114.7,6,119.84166666666665,5,20,51.28205128205128,46.26932979874156,303,50.5
Babar Azam (c),68,52,87,6,2,130.76,6,119.84166666666665,8,36,52.94117647058824,46.26932979874156,303,50.5
Babar Azam (c),9,11,23,1,0,81.81,6,119.84166666666665,1,4,44.44444444444444,46.26932979874156,303,50.5
Babar Azam (c),51,47,85,4,0,108.51,6,119.84166666666665,4,16,31.372549019607842,46.26932979874156,303,50.5
Bas de Leede,7,11,19,1,0,63.63,2,31.815,1,4,57.14285714285714,57.14285714285714,7,3.5
Bas de Leede,0,3,12,0,0,0.0,2,31.815,0,0,,57.14285714285714,7,3.5
Ben Cooper,9,8,11,2,0,112.5,2,56.25,2,8,88.88888888888889,88.88888888888889,9,4.5
Ben Cooper,0,1,5,0,0,0.0,2,56.25,0,0,,88.88888888888889,9,4.5
Bernard Scholtz,0,2,4,0,0,0.0,2,27.27,0,0,,0.0,6,3.0
Bernard Scholtz,6,11,13,0,0,54.54,2,27.27,0,0,0.0,0.0,6,3.0
Bhanuka Rajapaksa,33,26,50,4,1,126.92,6,105.2,5,22,66.66666666666666,53.372036768263186,155,25.833333333333332
Bhanuka Rajapaksa,1,3,11,0,0,33.33,6,105.2,0,0,0.0,53.372036768263186,155,25.833333333333332
Bhanuka Rajapaksa,26,18,32,2,2,144.44,6,105.2,4,20,76.92307692307693,53.372036768263186,155,25.833333333333332
Bhanuka Rajapaksa,42,27,42,4,2,155.55,6,105.2,6,28,66.66666666666666,53.372036768263186,155,25.833333333333332
Bhanuka Rajapaksa,53,31,45,3,3,170.96,6,105.2,6,30,56.60377358490566,53.372036768263186,155,25.833333333333332
Bhanuka Rajapaksa,0,3,4,0,0,0.0,6,105.2,0,0,,53.372036768263186,155,25.833333333333332
Bhuvneshwar Kumar,5,4,3,0,0,125.0,1,125.0,0,0,0.0,0.0,5,5.0
Bilal Khan,0,1,8,0,0,0.0,2,50.0,0,0,,0.0,1,0.5
Bilal Khan,1,1,2,0,0,100.0,2,50.0,0,0,0.0,0.0,1,0.5
Brad Wheal,0,1,2,0,0,0.0,3,50.0,0,0,,0.0,3,1.0
Brad Wheal,2,4,6,0,0,50.0,3,50.0,0,0,0.0,0.0,3,1.0
Brad Wheal,1,1,3,0,0,100.0,3,50.0,0,0,0.0,0.0,3,1.0
Brandon Glover,0,2,2,0,0,0.0,2,0.0,0,0,,,0,0.0
Brandon Glover,0,1,2,0,0,0.0,2,0.0,0,0,,,0,0.0
Calum MacLeod,5,14,18,0,0,35.71,6,43.958333333333336,0,0,0.0,10.0,43,7.166666666666667
Calum MacLeod,16,28,46,0,0,57.14,6,43.958333333333336,0,0,0.0,10.0,43,7.166666666666667
Calum MacLeod,10,11,19,1,0,90.9,6,43.958333333333336,1,4,40.0,10.0,43,7.166666666666667
Calum MacLeod,0,2,4,0,0,0.0,6,43.958333333333336,0,0,,10.0,43,7.166666666666667
Calum MacLeod,12,15,16,0,0,80.0,6,43.958333333333336,0,0,0.0,10.0,43,7.166666666666667
Calum MacLeod,0,1,3,0,0,0.0,6,43.958333333333336,0,0,,10.0,43,7.166666666666667
