Full Name,Born,Age,Batting Style,Bowling Style,Role,Country
Timm van der Gugten,"February 25, 1991, Hornsby, Upper North Shore, Sydney",33y 256d,Right hand Bat,Right arm Fast medium,Bowler,Netherlands
Roelof Erasmus van der Merwe,"December 31, 1984, Johannesburg, Transvaal (now Gauteng)",39y 312d,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,Netherlands
Michael van Lingen,"October 24, 1997",27y 14d,Left hand Bat,"Left arm Medium, Slow Left arm Orthodox",Bowling Allrounder,Namibia
Paul Adriaan van Meekeren,"January 15, 1993, Amsterdam, Netherlands",31y 297d,Right hand Bat,Right arm Fast medium,Bowler,Netherlands
Norman Vanua,"December 02, 1993, Port Moresby",30y 341d,Right hand Bat,Right arm Medium,Bowler,Papua New Guinea
Varun Chakravarthy Vinod,"August 29, 1991, Bidar, Karnataka",33y 70d,Right hand Bat,Legbreak Googly,Bowler,India
Matthew Scott Wade,"December 26, 1987, Hobart, Tasmania",36y 317d,Left hand Bat,Right arm Medium,Wicketkeeper Batter,Australia
Craig Donald Wallace,"June 27, 1990, Dundee, Angus",34y 133d,Right hand Bat,,Wicketkeeper Batter,Scotland
Hayden Rashidi Walsh,"April 23, 1992, St. Croix, US Virgin Islands",32y 198d,Left hand Bat,Legbreak Googly,Bowler,West Indies
David Warner,"October 27, 1986, Paddington, New South Wales",38y 11d,Left hand Bat,Legbreak,Opening Batter,Australia
Mark Robert James Watt,"July 29, 1996, Eastern General Hospital, Edinburgh",28y 101d,Left hand Bat,Slow Left arm Orthodox,Bowler,Scotland
Bradley Thomas James Wheal,"August 28, 1996, Durban, KwaZulu-Natal",28y 71d,Right hand Bat,Right arm Fast medium,Bowler,Scotland
Benjamin Charlie White,"August 29, 1998, Dublin, Ireland",26y 70d,Right hand Bat,Legbreak,Bowler,Ireland
David Wiese,"May 18, 1985, Roodepoort",39y 173d,Right hand Bat,Right arm Medium fast,Allrounder,Namibia
Craig George Williams,"February 25, 1984, Oshakati, Namibia",40y 256d,Right hand Bat,Right arm Medium,Top order Batter,Namibia
Kane Stuart Williamson,"August 08, 1990, Tauranga",34y 91d,Right hand Bat,Right arm Offbreak,Top order Batter,New Zealand
Christopher Roger Woakes,"March 02, 1989, Birmingham, Warwickshire",35y 250d,Right hand Bat,Right arm Fast medium,Allrounder,England
Mark Andrew Wood,"January 11, 1990, Ashington, Northumberland",34y 301d,Right hand Bat,Right arm Fast,Bowler,England
Suryakumar Ashok Yadav,"September 14, 1990, Mumbai, Maharashtra",34y 54d,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,India
Helao Nafidi Ya France,"April 23, 1990, Windhoek",34y 198d,Right hand Bat,Right arm Offbreak,Middle order Batter,Namibia
Craig Alexander Young,"April 04, 1990, Londonderry, Ireland",34y 217d,Right hand Bat,Right arm Fast medium,Bowler,Ireland
Adam Zampa,"March 31, 1992, Shellharbour, New South Wales",32y 221d,Right hand Bat,Legbreak Googly,Bowler,Australia
Zeeshan Maqsood,"October 24, 1987",37y 14d,Left hand Bat,Slow Left arm Orthodox,Opening Batter,Oman
