batsmanName,inning_batted,Average_SR,Average_Boundary_Percentage,total_runs,batting_average
Aaron Finch (c),7,86.26857142857145,65.45891345891346,135,19.285714285714285
Adam Zampa,1,25.0,0.0,1,1.0
Adil Rashid,1,100.0,0.0,2,2.0
Afif Hossain,8,77.49875,39.78835978835979,54,6.75
Aiden Markram,5,122.05199999999999,52.84720568389299,162,32.4
Akeal Hosein,3,48.71666666666667,0.0,7,2.3333333333333335
Alasdair Evans,2,0.0,,0,0.0
Andre Russell,5,86.428,56.2962962962963,25,5.0
Andy Balbirnie (c),3,104.48333333333335,62.29190863337205,70,23.333333333333332
Anrich Nortje,1,66.66,0.0,2,2.0
Aqib Ilyas,3,107.32666666666667,61.17717717717718,93,31.0
Asghar Afghan,2,138.815,79.03225806451613,41,20.5
Ashton Agar,1,100.0,60.0,20,20.0
Asif Ali,4,176.785,59.16049382716049,57,14.25
Assad Vala (c),3,120.17333333333333,49.86772486772486,80,26.666666666666668
Avishka Fernando,7,52.44714285714286,14.153846153846155,52,7.428571428571429
Ayaan Khan,1,69.23,0.0,9,9.0
Babar Azam (c),6,119.84166666666665,46.26932979874156,303,50.5
Bas de Leede,2,31.815,57.14285714285714,7,3.5
Ben Cooper,2,56.25,88.88888888888889,9,4.5
Bernard Scholtz,2,27.27,0.0,6,3.0
Bhanuka Rajapaksa,6,105.2,53.372036768263186,155,25.833333333333332
Bhuvneshwar Kumar,1,125.0,0.0,5,5.0
Bilal Khan,2,50.0,0.0,1,0.5
Brad Wheal,3,50.0,0.0,3,1.0
Brandon Glover,2,0.0,,0,0.0
Calum MacLeod,6,43.958333333333336,10.0,43,7.166666666666667
Chad Soper,2,118.55499999999999,58.522727272727266,27,13.5
Chamika Karunaratne,5,83.332,11.11111111111111,19,3.8
Charith Asalanka,6,133.33,66.71451914098972,231,38.5
Charles Amini,3,75.21,19.81981981981982,39,13.0
Chris Gayle,5,85.332,44.46153846153847,45,9.0
Chris Greaves,7,76.15714285714286,18.22222222222222,97,13.857142857142858
Chris Jordan,1,0.0,,0,0.0
Chris Woakes,1,233.33,85.71428571428571,7,7.0
Colin Ackermann,3,100.11333333333334,51.94805194805195,57,19.0
Craig Wallace,1,30.76,0.0,4,4.0
Craig Williams,8,59.95625,41.47165053836718,119,14.875
Craig Young,2,58.33,0.0,2,1.0
Curtis Campher,3,88.57,30.158730158730155,35,11.666666666666666
Damien Ravu,2,62.5,40.0,6,3.0
Daryl Mitchell,7,136.02714285714288,54.60153624050762,208,29.714285714285715
Dasun Shanaka (c),6,121.38,47.095571095571096,96,16.0
David Miller,3,171.9333333333333,44.05797101449275,44,14.666666666666666
David Warner,7,126.91142857142857,58.10151106409104,289,41.285714285714285
David Wiese,8,123.5575,43.02403023333256,227,28.375
Dawid Malan,5,110.11600000000001,53.54556013092598,116,23.2
Devon Conway,1,112.5,44.44444444444444,27,27.0
Devon Conway †,5,82.264,24.89911906791702,102,20.4
Dinesh Chandimal,2,70.83,33.33333333333333,11,5.5
Dushmantha Chameera,3,91.66666666666667,33.333333333333336,8,2.6666666666666665
Dwaine Pretorius,2,25.0,0.0,1,0.5
Dwayne Bravo,5,88.664,38.0,26,5.2
Dylan Budge,1,0.0,,0,0.0
Eoin Morgan (c),4,138.1925,45.6827731092437,68,17.0
Evin Lewis,5,118.304,84.26929392446634,105,21.0
Fakhar Zaman,5,103.62,33.33333333333333,109,21.8
Fayyaz Butt,2,58.33,57.14285714285714,7,3.5
Fred Klaassen,2,8.33,0.0,1,0.5
Gareth Delany,3,83.90666666666667,24.242424242424246,55,18.333333333333332
George Munsey,8,102.9475,74.3454685949615,152,19.0
Gerhard Erasmus (c),8,99.53,34.50569968553459,151,18.875
Glenn Maxwell,7,65.89285714285714,36.15873015873016,64,9.142857142857142
Glenn Phillips,5,103.48600000000002,32.183372183372185,105,21.0
Gulbadin Naib,4,103.3325,39.047619047619044,69,17.25
Hardik Pandya,3,167.52,56.70619235836627,69,23.0
Harry Tector,2,91.665,25.0,11,5.5
Hayden Walsh,1,0.0,,0,0.0
Hazratullah Zazai,5,81.10799999999999,57.48834498834499,92,18.4
Heinrich Klaasen,1,100.0,61.53846153846154,13,13.0
Hiri Hiri,1,53.33,50.0,8,8.0
Imad Wasim,1,91.66,36.36363636363637,11,11.0
Ish Sodhi,1,100.0,0.0,2,2.0
Ishan Kishan,1,50.0,100.0,4,4.0
JJ Smit,7,83.86714285714285,34.75529100529101,78,11.142857142857142
James Neesham,5,159.998,42.66992266992267,86,17.2
Jan Frylinck,4,60.7125,0.0,25,6.25
Jan Nicol Loftie-Eaton,5,67.5,10.714285714285714,29,5.8
Jason Holder,3,186.66666666666666,51.666666666666664,24,8.0
Jason Roy,5,132.77,57.34790528233151,123,24.6
Jatinder Singh,3,98.33666666666666,63.11643835616438,113,37.666666666666664
Jonny Bairstow,6,100.875,55.08547008547009,47,7.833333333333333
Jos Buttler †,6,145.97666666666666,59.964535730792534,269,44.833333333333336
Josh Davey,4,79.285,25.0,17,4.25
Josh Hazlewood,1,0.0,,0,0.0
Josh Little,1,33.33,0.0,1,1.0
KL Rahul,5,141.38,50.93848631239935,194,38.8
Kabua Morea,3,245.23666666666668,33.333333333333336,15,5.0
Kagiso Rabada,2,134.155,64.77732793522267,32,16.0
Kaleemullah,1,100.0,80.0,5,5.0
Kane Williamson (c),7,90.33714285714287,40.09982174688057,216,30.857142857142858
Karim Janat,3,126.37666666666667,41.269841269841265,59,19.666666666666668
Kashyap Prajapati,2,77.08,38.095238095238095,24,12.0
Keshav Maharaj,1,0.0,,0,0.0
Kevin O'Brien,3,120.27333333333333,66.96296296296296,39,13.0
Khawar Ali,1,0.0,,0,0.0
Kieron Pollard (c),5,78.51,36.675824175824175,90,18.0
Kiplin Doriga †,3,99.63999999999999,49.51690821256039,64,21.333333333333332
Kusal Perera †,8,91.77374999999999,44.818629646215854,123,15.375
Kyle Coetzer (c),7,87.76285714285713,58.10723205271268,84,12.0
Lahiru Kumara,2,25.0,0.0,1,0.5
Lega Siaka,3,39.74333333333333,22.22222222222222,14,4.666666666666667
Lendl Simmons,2,44.28,0.0,19,9.5
Liam Livingstone,3,128.23333333333332,45.79831932773109,46,15.333333333333334
Litton Das,5,99.142,34.67432950191571,65,13.0
Litton Das †,3,56.32666666666666,26.515151515151516,68,22.666666666666668
Logan van Beek,2,145.82999999999998,0.0,13,6.5
Mahedi Hasan,6,90.77666666666666,50.375550375550375,53,8.833333333333334
Maheesh Theekshana,2,166.66500000000002,28.57142857142857,9,4.5
Mahmudullah (c),8,122.955,44.814464022857244,169,21.125
Marcus Stoinis,4,126.9,62.5,80,20.0
Mark Adair,2,83.33,0.0,7,3.5
Mark Watt,6,64.515,18.701298701298704,42,7.0
Mark Wood,1,100.0,0.0,1,1.0
Martin Guptill,7,114.82428571428571,65.30164754073672,208,29.714285714285715
Matthew Cross †,8,62.42125,25.133540923014607,135,16.875
Matthew Wade †,3,163.72333333333333,58.60885275519422,74,24.666666666666668
