bowlerName,inningbowled,avg_bowling_economy,avg_bowling_strike,average_bowling_avg,average_dot_ball_%
Shakib Al Hasan,6,5.69,8.75,7.15,43.29
Sharafuddin Ashraf,1,12.5,0.0,0.0,8.33
Shardul Thakur,2,10.83,0.0,0.0,24.79
Shoriful Islam,4,6.49,12.2,15.0,41.4
Simi Singh,3,9.14,0.0,0.0,19.91
Simon Atai,3,7.22,12.0,13.0,12.96
Soumya Sarkar,1,7.0,0.0,0.0,33.33
Tabraiz Shamsi,5,6.67,14.0,12.54,44.44
Taskin Ahmed,6,6.68,14.78,19.75,57.68
Tim Southee,7,6.53,20.0,19.75,51.11
Timm van der Gugten,1,10.66,18.0,32.0,27.78
Trent Boult,7,6.27,12.07,12.47,51.86
Tymal Mills,4,8.73,10.67,13.33,38.7
Varun Chakravarthy,3,6.33,0.0,0.0,39.35
Wanindu Hasaranga,8,5.27,11.71,8.74,44.1
Zeeshan Maqsood,3,6.61,9.0,11.0,37.5
