batsmanName,runs,balls,minutes,4s,6s,SR,player_link,inning_batted,Average_SR,boundaries,boundary_runs,boundary_percentage,Average_Boundary_Percentage,total_runs,batting_average
Abdul Samad,19,18,30,1,1,105.55,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,12,150.1975,2,10,52.63157894736842,56.33887586288181,182,15.166666666666666
Abdul Samad,13,8,12,1,1,162.5,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,12,150.1975,2,10,76.92307692307693,56.33887586288181,182,15.166666666666666
Abdul Samad,0,1,1,0,0,0.0,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,12,150.1975,0,0,,56.33887586288181,182,15.166666666666666
Abdul Samad,25,12,-,5,0,208.33,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,12,150.1975,5,20,80.0,56.33887586288181,182,15.166666666666666
Abdul Samad,15,11,20,1,1,136.36,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,12,150.1975,2,10,66.66666666666666,56.33887586288181,182,15.166666666666666
Abdul Samad,16,12,16,0,2,133.33,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,12,150.1975,2,12,75.0,56.33887586288181,182,15.166666666666666
Abdul Samad,29,14,28,3,1,207.14,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,12,150.1975,4,18,62.06896551724138,56.33887586288181,182,15.166666666666666
Abdul Samad,3,4,11,0,0,75.0,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,12,150.1975,0,0,0.0,56.33887586288181,182,15.166666666666666
Abdul Samad,10,6,7,0,1,166.66,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,12,150.1975,1,6,60.0,56.33887586288181,182,15.166666666666666
Abdul Samad,37,10,16,4,3,370.0,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,12,150.1975,7,34,91.8918918918919,56.33887586288181,182,15.166666666666666
Abdul Samad,11,8,11,0,1,137.5,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,12,150.1975,1,6,54.54545454545454,56.33887586288181,182,15.166666666666666
