Player Name
Jasprit Bumrah
Abhishek Sharma
Sunil Narine
Sanju Samson (c)†
Will Jacks
KL Rahul (c)†
Riyan Parag
Sai Sudharsan
Shubman Gill (c)
Virat Kohli
