Player Name,Country,Role
Jasprit Bumrah,India,Bowler
Abhishek Sharma,India,Allrounder
Sunil Narine,West Indies,Bowling Allrounder
Sanju Samson,India,Wicketkeeper Batter
Will Jacks,England,Batting Allrounder
KL Rahul,India,Wicketkeeper Batter
Riyan Parag,India,Top order Batter
Sai Sudharsan,India,Top order Batter
Shubman Gill,India,Opening Batter
Virat Kohli,India,Top order Batter
Arshdeep Singh,India,Bowler

