batsmanName,inning_batted,Average_SR,Average_Boundary_Percentage,total_runs,batting_average,balls_avg
Abhishek Sharma,16,189.463125,68.05829777981789,484,30.25,14.8125
Abishek Porel,11,155.18727272727273,62.94197240475626,325,29.545454545454547,18.363636363636363
Dinesh Karthik †,9,171.09555555555556,69.53361120705972,236,26.22222222222222,13.555555555555555
Faf du Plessis (c),15,149.5,67.96988402513551,438,29.2,18.066666666666666
Heinrich Klaasen †,15,159.08933333333334,55.197611150596224,479,31.933333333333334,18.666666666666668
Jake Fraser-McGurk,9,208.61777777777777,89.65519625302234,330,36.666666666666664,15.666666666666666
Jonny Bairstow,9,146.8122222222222,71.29961624526842,257,28.555555555555557,17.444444444444443
KL Rahul (c)†,12,133.205,55.033912455689936,500,41.666666666666664,30.833333333333332
Nicholas Pooran,13,157.3153846153846,65.04170601352847,457,35.15384615384615,19.923076923076923
Phil Salt †,12,164.01000000000002,77.87587540974852,435,36.25,19.916666666666668
Rahul Tripathi,6,139.155,57.326872326872326,165,27.5,19.166666666666668
Rajat Patidar,13,150.96615384615384,58.48285959145307,395,30.384615384615383,17.153846153846153
Rilee Rossouw,8,138.83249999999998,68.24986055809151,211,26.375,14.5
Rishabh Pant (c)†,13,142.45923076923077,56.409786441325544,446,34.30769230769231,22.076923076923077
Riyan Parag,14,141.67000000000002,59.16056860421744,573,40.92857142857143,27.428571428571427
Sai Sudharsan,12,133.02166666666668,49.23880964595026,527,43.916666666666664,31.083333333333332
Sanju Samson (c)†,15,131.002,59.30371573318159,531,35.4,23.066666666666666
Shashank Singh,14,131.05714285714285,52.47398260263532,354,25.285714285714285,15.357142857142858
Shreyas Iyer (c),14,147.63285714285715,63.61068283413684,351,25.071428571428573,17.071428571428573
Sunil Narine,14,149.19142857142856,75.12865426472466,488,34.857142857142854,19.285714285714285
Tilak Varma,13,140.72846153846154,56.65135762092411,416,32.0,21.384615384615383
Travis Head,15,141.2686666666667,68.31243859630773,567,37.8,19.733333333333334
Tristan Stubbs,13,160.9746153846154,46.071469995416976,378,29.076923076923077,15.23076923076923
Venkatesh Iyer,13,155.91076923076923,57.4539141100227,370,28.46153846153846,17.923076923076923
Virat Kohli,15,155.59666666666666,60.86423026489316,741,49.4,31.933333333333334
Will Jacks,8,142.11,57.83114243480097,230,28.75,16.375
Yashasvi Jaiswal,15,143.54800000000003,77.91862864750307,435,29.0,18.6
