bowlerName,inningbowled,avg_bowling_economy,avg_bowling_strike,average_bowling_avg,average_dot_ball_%
Suyash Sharma,2,12.75,0.0,0.0,20.83
Swapnil Singh,7,8.05,10.5,16.5,34.52
T Natarajan,14,9.14,16.55,24.17,36.9
Tilak Varma,1,12.0,0.0,0.0,0.0
Travis Head,1,19.2,0.0,0.0,23.81
Trent Boult,15,8.28,17.8,24.08,43.22
Tristan Stubbs,2,7.5,4.5,4.75,50.0
Tushar Deshpande,13,8.93,13.56,19.41,40.71
Umesh Yadav,7,10.08,16.0,26.08,44.64
Umran Malik,1,15.0,0.0,0.0,33.33
Vaibhav Arora,10,9.4,14.0,22.5,42.92
Varun Chakravarthy,14,8.15,14.0,18.8,41.17
Venkatesh Iyer,1,28.0,0.0,0.0,0.0
Vidwath Kaverappa,1,9.0,12.0,18.0,45.83
Vijayakanth Viyaskanth,3,9.0,24.0,37.0,27.78
Vijaykumar Vyshak,4,9.75,17.3,22.17,29.29
Washington Sundar,2,16.0,12.0,46.0,11.11
Will Jacks,5,11.03,12.0,23.5,17.22
Yash Dayal,14,9.18,17.42,24.22,40.92
Yash Thakur,10,11.65,21.17,37.57,31.94
Yudhvir Singh,2,13.0,12.0,24.0,20.83
Yuzvendra Chahal,15,9.34,17.92,28.18,28.98
