bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,bowler_link,match_id
Mitchell Starc,3,0,14,2,4.66,11,2,0,0,0,https://www.espncricinfo.com/cricketers/mitchell-starc-311592,scorecard
Vaibhav Arora,3,0,24,1,8.00,9,2,1,4,0,https://www.espncricinfo.com/cricketers/vaibhav-arora-1209292,scorecard
Harshit Rana,4,1,24,2,6.00,13,2,1,1,0,https://www.espncricinfo.com/cricketers/harshit-rana-1312645,scorecard
Sunil Narine,4,0,16,1,4.00,9,0,0,0,0,https://www.espncricinfo.com/cricketers/sunil-narine-230558,scorecard
Andre Russell,2.3,0,19,3,7.60,7,1,1,1,0,https://www.espncricinfo.com/cricketers/andre-russell-276298,scorecard
Varun Chakravarthy,2,0,9,1,4.50,7,1,0,0,0,https://www.espncricinfo.com/cricketers/varun-chakravarthy-1108375,scorecard
Bhuvneshwar Kumar,2,0,25,0,12.50,5,2,2,1,0,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,scorecard
Pat Cummins,2,0,18,1,9.00,7,2,1,1,0,https://www.espncricinfo.com/cricketers/pat-cummins-489889,scorecard
T Natarajan,2,0,29,0,14.50,2,4,1,2,0,https://www.espncricinfo.com/cricketers/t-natarajan-802575,scorecard
Shahbaz Ahmed,2.3,0,22,1,8.80,7,1,2,0,0,https://www.espncricinfo.com/cricketers/shahbaz-ahmed-1159711,scorecard
Jaydev Unadkat,1,0,9,0,9.00,1,1,0,0,0,https://www.espncricinfo.com/cricketers/jaydev-unadkat-390484,scorecard
Aiden Markram,1,0,5,0,5.00,2,0,0,0,0,https://www.espncricinfo.com/cricketers/aiden-markram-600498,scorecard
Trent Boult,4,0,45,3,11.25,7,3,3,2,0,https://www.espncricinfo.com/cricketers/trent-boult-277912,scorecard
Ravichandran Ashwin,4,0,43,0,10.75,4,3,2,0,0,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421,scorecard
Sandeep Sharma,4,0,25,2,6.25,10,3,0,1,0,https://www.espncricinfo.com/cricketers/sandeep-sharma-438362,scorecard
Avesh Khan,4,0,27,3,6.75,11,2,1,2,0,https://www.espncricinfo.com/cricketers/avesh-khan-694211,scorecard
Yuzvendra Chahal,4,0,34,0,8.50,9,0,3,2,0,https://www.espncricinfo.com/cricketers/yuzvendra-chahal-430246,scorecard
Bhuvneshwar Kumar,3,0,33,0,11.00,7,4,2,0,0,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,scorecard
Pat Cummins,4,0,30,1,7.50,10,3,1,1,0,https://www.espncricinfo.com/cricketers/pat-cummins-489889,scorecard
T Natarajan,3,0,13,1,4.33,13,2,0,1,0,https://www.espncricinfo.com/cricketers/t-natarajan-802575,scorecard
Jaydev Unadkat,1,0,5,0,5.00,2,0,0,1,0,https://www.espncricinfo.com/cricketers/jaydev-unadkat-390484,scorecard
