batsmanName,runs,balls,minutes,4s,6s,SR,player_link,match_id
Nitish Kumar Reddy,14,8,10,1,1,175.00,https://www.espncricinfo.com/cricketers/nitish-kumar-reddy-1175496,scorecard
Wriddhiman Saha †,11,13,14,2,0,84.61,https://www.espncricinfo.com/cricketers/wriddhiman-saha-279810,scorecard
Shubman Gill (c),89,48,96,6,4,185.41,https://www.espncricinfo.com/cricketers/shubman-gill-1070173,scorecard
Kane Williamson,26,22,23,4,0,118.18,https://www.espncricinfo.com/cricketers/kane-williamson-277906,scorecard
Sai Sudharsan,33,19,21,6,0,173.68,https://www.espncricinfo.com/cricketers/sai-sudharsan-1151288,scorecard
Vijay Shankar,8,10,17,0,0,80.00,https://www.espncricinfo.com/cricketers/vijay-shankar-477021,scorecard
Rahul Tewatia,23,8,16,3,1,287.50,https://www.espncricinfo.com/cricketers/rahul-tewatia-423838,scorecard
Shikhar Dhawan (c),1,2,6,0,0,50.00,https://www.espncricinfo.com/cricketers/shikhar-dhawan-28235,scorecard
Jonny Bairstow,22,13,25,4,0,169.23,https://www.espncricinfo.com/cricketers/jonny-bairstow-297433,scorecard
Prabhsimran Singh,35,24,27,5,1,145.83,https://www.espncricinfo.com/cricketers/prabhsimran-singh-1161024,scorecard
Sam Curran,5,8,14,0,0,62.50,https://www.espncricinfo.com/cricketers/sam-curran-662973,scorecard
Sikandar Raza,15,16,23,0,0,93.75,https://www.espncricinfo.com/cricketers/sikandar-raza-299572,scorecard
Shashank Singh,61,29,58,6,4,210.34,https://www.espncricinfo.com/cricketers/shashank-singh-377534,scorecard
Jitesh Sharma †,16,8,13,0,2,200.00,https://www.espncricinfo.com/cricketers/jitesh-sharma-721867,scorecard
Ashutosh Sharma,31,17,19,3,1,182.35,https://www.espncricinfo.com/cricketers/ashutosh-sharma-1131978,scorecard
Harpreet Brar,1,2,7,0,0,50.00,https://www.espncricinfo.com/cricketers/harpreet-brar-1168641,scorecard
Phil Salt †,18,12,24,4,0,150.00,https://www.espncricinfo.com/cricketers/phil-salt-669365,scorecard
Sunil Narine,85,39,62,7,7,217.94,https://www.espncricinfo.com/cricketers/sunil-narine-230558,scorecard
Angkrish Raghuvanshi,54,27,43,5,3,200.00,https://www.espncricinfo.com/cricketers/angkrish-raghuvanshi-1292495,scorecard
Andre Russell,41,19,43,4,3,215.78,https://www.espncricinfo.com/cricketers/andre-russell-276298,scorecard
Shreyas Iyer (c),18,11,23,0,2,163.63,https://www.espncricinfo.com/cricketers/shreyas-iyer-642519,scorecard
Rinku Singh,26,8,12,1,3,325.00,https://www.espncricinfo.com/cricketers/rinku-singh-723105,scorecard
Venkatesh Iyer,5,2,7,1,0,250.00,https://www.espncricinfo.com/cricketers/venkatesh-iyer-851403,scorecard
Ramandeep Singh,2,2,2,0,0,100.00,https://www.espncricinfo.com/cricketers/ramandeep-singh-1079470,scorecard
Mitchell Starc,1,1,3,0,0,100.00,https://www.espncricinfo.com/cricketers/mitchell-starc-311592,scorecard
David Warner,18,13,27,2,1,138.46,https://www.espncricinfo.com/cricketers/david-warner-219889,scorecard
Prithvi Shaw,10,7,12,2,0,142.85,https://www.espncricinfo.com/cricketers/prithvi-shaw-1070168,scorecard
Mitchell Marsh,0,2,4,0,0,0.00,https://www.espncricinfo.com/cricketers/mitchell-marsh-272450,scorecard
Abishek Porel,0,5,5,0,0,0.00,https://www.espncricinfo.com/cricketers/abishek-porel-1277545,scorecard
Rishabh Pant (c)†,55,25,39,4,5,220.00,https://www.espncricinfo.com/cricketers/rishabh-pant-931581,scorecard
Tristan Stubbs,54,32,49,4,4,168.75,https://www.espncricinfo.com/cricketers/tristan-stubbs-595978,scorecard
Axar Patel,0,1,1,0,0,0.00,https://www.espncricinfo.com/cricketers/axar-patel-554691,scorecard
Sumit Kumar,7,6,12,0,1,116.66,https://www.espncricinfo.com/cricketers/sumit-kumar-1159734,scorecard
Rasikh Salam,1,5,5,0,0,20.00,https://www.espncricinfo.com/cricketers/rasikh-salam-1161489,scorecard
Anrich Nortje,4,6,9,0,0,66.66,https://www.espncricinfo.com/cricketers/anrich-nortje-481979,scorecard
Ishant Sharma,1,3,5,0,0,33.33,https://www.espncricinfo.com/cricketers/ishant-sharma-236779,scorecard
Quinton de Kock,81,56,76,8,5,144.64,https://www.espncricinfo.com/cricketers/quinton-de-kock-379143,scorecard
KL Rahul (c)†,20,14,26,0,2,142.85,https://www.espncricinfo.com/cricketers/kl-rahul-422108,scorecard
Devdutt Padikkal,6,11,14,0,0,54.54,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026,scorecard
Marcus Stoinis,24,15,20,1,2,160.00,https://www.espncricinfo.com/cricketers/marcus-stoinis-325012,scorecard
Nicholas Pooran,40,21,31,1,5,190.47,https://www.espncricinfo.com/cricketers/nicholas-pooran-604302,scorecard
Ayush Badoni,0,3,5,0,0,0.00,https://www.espncricinfo.com/cricketers/ayush-badoni-1151270,scorecard
Krunal Pandya,0,0,8,0,0,-,https://www.espncricinfo.com/cricketers/krunal-pandya-471342,scorecard
Virat Kohli,22,16,16,2,1,137.50,https://www.espncricinfo.com/cricketers/virat-kohli-253802,scorecard
Faf du Plessis (c),19,13,20,3,0,146.15,https://www.espncricinfo.com/cricketers/faf-du-plessis-44828,scorecard
Rajat Patidar,29,21,50,2,2,138.09,https://www.espncricinfo.com/cricketers/rajat-patidar-823703,scorecard
Glenn Maxwell,0,2,2,0,0,0.00,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,scorecard
Cameron Green,9,9,7,1,0,100.00,https://www.espncricinfo.com/cricketers/cameron-green-1076713,scorecard
Anuj Rawat †,11,21,29,0,0,52.38,https://www.espncricinfo.com/cricketers/anuj-rawat-1123073,scorecard
Mahipal Lomror,33,13,29,3,3,253.84,https://www.espncricinfo.com/cricketers/mahipal-lomror-853265,scorecard
Dinesh Karthik,4,8,13,0,0,50.00,https://www.espncricinfo.com/cricketers/dinesh-karthik-30045,scorecard
Mayank Dagar,0,1,2,0,0,0.00,https://www.espncricinfo.com/cricketers/mayank-dagar-942367,scorecard
Reece Topley,3,6,12,0,0,50.00,https://www.espncricinfo.com/cricketers/reece-topley-461632,scorecard
Mohammed Siraj,12,8,8,0,2,150.00,https://www.espncricinfo.com/cricketers/mohammed-siraj-940973,scorecard
Ishan Kishan †,16,14,22,2,1,114.28,https://www.espncricinfo.com/cricketers/ishan-kishan-720471,scorecard
Rohit Sharma,0,1,4,0,0,0.00,https://www.espncricinfo.com/cricketers/rohit-sharma-34102,scorecard
Naman Dhir,0,1,2,0,0,0.00,https://www.espncricinfo.com/cricketers/naman-dhir-1287032,scorecard
Dewald Brevis,0,1,8,0,0,0.00,https://www.espncricinfo.com/cricketers/dewald-brevis-1070665,scorecard
Tilak Varma,32,29,55,0,2,110.34,https://www.espncricinfo.com/cricketers/tilak-varma-1170265,scorecard
Hardik Pandya (c),34,21,27,6,0,161.90,https://www.espncricinfo.com/cricketers/hardik-pandya-625371,scorecard
Piyush Chawla,3,6,9,0,0,50.00,https://www.espncricinfo.com/cricketers/piyush-chawla-32966,scorecard
Tim David,17,24,35,1,0,70.83,https://www.espncricinfo.com/cricketers/tim-david-892749,scorecard
Gerald Coetzee,4,9,14,0,0,44.44,https://www.espncricinfo.com/cricketers/gerald-coetzee-596010,scorecard
Jasprit Bumrah,8,9,17,1,0,88.88,https://www.espncricinfo.com/cricketers/jasprit-bumrah-625383,scorecard
Akash Madhwal,4,5,6,0,0,80.00,https://www.espncricinfo.com/cricketers/akash-madhwal-1206039,scorecard
Yashasvi Jaiswal,10,6,4,2,0,166.66,https://www.espncricinfo.com/cricketers/yashasvi-jaiswal-1151278,scorecard
Jos Buttler,13,16,37,2,0,81.25,https://www.espncricinfo.com/cricketers/jos-buttler-308967,scorecard
Sanju Samson (c)†,12,10,19,3,0,120.00,https://www.espncricinfo.com/cricketers/sanju-samson-425943,scorecard
Riyan Parag,54,39,54,5,3,138.46,https://www.espncricinfo.com/cricketers/riyan-parag-1079434,scorecard
Ravichandran Ashwin,16,16,26,1,0,100.00,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421,scorecard
Shubham Dubey,8,6,15,1,0,133.33,https://www.espncricinfo.com/cricketers/shubham-dubey-1252585,scorecard
Prithvi Shaw,43,27,53,4,2,159.25,https://www.espncricinfo.com/cricketers/prithvi-shaw-1070168,scorecard
David Warner,52,35,47,5,3,148.57,https://www.espncricinfo.com/cricketers/david-warner-219889,scorecard
Rishabh Pant (c)†,51,32,44,4,3,159.37,https://www.espncricinfo.com/cricketers/rishabh-pant-931581,scorecard
Mitchell Marsh,18,12,17,2,1,150.00,https://www.espncricinfo.com/cricketers/mitchell-marsh-272450,scorecard
Tristan Stubbs,0,2,1,0,0,0.00,https://www.espncricinfo.com/cricketers/tristan-stubbs-595978,scorecard
Axar Patel,7,8,27,0,0,87.50,https://www.espncricinfo.com/cricketers/axar-patel-554691,scorecard
Abishek Porel,9,6,7,1,0,150.00,https://www.espncricinfo.com/cricketers/abishek-porel-1277545,scorecard
Ruturaj Gaikwad (c),1,2,5,0,0,50.00,https://www.espncricinfo.com/cricketers/ruturaj-gaikwad-1060380,scorecard
Rachin Ravindra,2,12,15,0,0,16.66,https://www.espncricinfo.com/cricketers/rachin-ravindra-959767,scorecard
Ajinkya Rahane,45,30,64,5,2,150.00,https://www.espncricinfo.com/cricketers/ajinkya-rahane-277916,scorecard
Daryl Mitchell,34,26,36,1,2,130.76,https://www.espncricinfo.com/cricketers/daryl-mitchell-381743,scorecard
Shivam Dube,18,17,34,1,0,105.88,https://www.espncricinfo.com/cricketers/shivam-dube-714451,scorecard
Sameer Rizvi,0,1,1,0,0,0.00,https://www.espncricinfo.com/cricketers/sameer-rizvi-1175489,scorecard
Ravindra Jadeja,21,17,37,2,0,123.52,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675,scorecard
MS Dhoni †,37,16,22,4,3,231.25,https://www.espncricinfo.com/cricketers/ms-dhoni-28081,scorecard
Travis Head,19,14,19,3,0,135.71,https://www.espncricinfo.com/cricketers/travis-head-530011,scorecard
