Player Name,Country,Role,batsmanName,inning_batted,Average_SR,Average_Boundary_Percentage,total_runs,batting_average,bowlerName,inningbowled,avg_bowling_economy,avg_bowling_strike,average_bowling_avg,average_dot_ball_%
Jasprit Bumrah,India,Bowler,Jasprit Bumrah,4.0,122.22,12.5,12.0,3.0,Jasprit Bumrah,13.0,6.48,12.48,13.8,48.44
Abhishek Sharma,India,Allrounder,Abhishek Sharma,16.0,189.463125,68.05829777981789,484.0,30.25,Abhishek Sharma,4.0,8.25,12.0,12.0,25.0
Sunil Narine,West Indies,Bowling Allrounder,Sunil Narine,14.0,149.19142857142856,75.12865426472466,488.0,34.857142857142854,Sunil Narine,14.0,6.7,21.0,23.21,38.79
Sanju Samson,India,Wicketkeeper Batter,,,,,,,,,,,,
Will Jacks,England,Batting Allrounder,Will Jacks,8.0,142.11,57.83114243480097,230.0,28.75,Will Jacks,5.0,11.03,12.0,23.5,17.22
KL Rahul,India,Wicketkeeper Batter,KL Rahul,1.0,166.66,66.66666666666666,15.0,15.0,,,,,,
Riyan Parag,India,Top order Batter,Riyan Parag,14.0,141.67000000000002,59.16056860421744,573.0,40.92857142857143,Riyan Parag,2.0,9.25,0.0,0.0,25.0
Sai Sudharsan,India,Top order Batter,Sai Sudharsan,12.0,133.02166666666668,49.23880964595026,527.0,43.91666666666666,,,,,,
Shubman Gill,India,Opening Batter,,,,,,,,,,,,
Virat Kohli,India,Top order Batter,Virat Kohli,15.0,155.59666666666666,60.86423026489316,741.0,49.4,,,,,,
Arshdeep Singh,India,Bowler,Arshdeep Singh,1.0,133.33,100.0,4.0,4.0,Arshdeep Singh,14.0,10.08,14.78,25.84,37.14
