batsmanName,runs,balls,minutes,4s,6s,SR,inning_batted,Average_SR,boundaries,boundary_runs,boundary_percentage,Average_Boundary_Percentage,total_runs,batting_average
Brandon McMullen,19,17,25,2,0,111.76,3,161.66666666666666,2,8,42.10526315789473,64.709040360464,140,46.666666666666664
Brandon McMullen,61,31,42,9,2,196.77,3,161.66666666666666,11,48,78.68852459016394,64.709040360464,140,46.666666666666664
Brandon McMullen,60,34,44,2,6,176.47,3,161.66666666666666,8,44,73.33333333333333,64.709040360464,140,46.666666666666664
Brian Masaba (c),0,1,1,0,0,0.0,4,10.0,0,0,,0.0,4,1.0
Brian Masaba (c),1,4,8,0,0,25.0,4,10.0,0,0,0.0,0.0,4,1.0
Brian Masaba (c),0,1,3,0,0,0.0,4,10.0,0,0,,0.0,4,1.0
Brian Masaba (c),3,20,33,0,0,15.0,4,10.0,0,0,0.0,0.0,4,1.0
Chad Soper,9,26,27,0,0,34.61,4,49.685,0,0,0.0,10.0,24,6.0
Chad Soper,1,6,4,0,0,16.66,4,49.685,0,0,0.0,10.0,24,6.0
Chad Soper,10,9,10,1,0,111.11,4,49.685,1,4,40.0,10.0,24,6.0
Chad Soper,4,11,15,0,0,36.36,4,49.685,0,0,0.0,10.0,24,6.0
Charith Asalanka,46,21,31,1,5,219.04,3,125.38999999999999,6,34,73.91304347826086,35.163996948893974,71,23.666666666666668
Charith Asalanka,6,9,11,0,0,66.66,3,125.38999999999999,0,0,0.0,35.163996948893974,71,23.666666666666668
Charith Asalanka,19,21,23,0,1,90.47,3,125.38999999999999,1,6,31.57894736842105,35.163996948893974,71,23.666666666666668
Charles Amini,17,25,40,2,0,68.0,3,63.13999999999999,2,8,47.05882352941176,15.686274509803921,34,11.333333333333334
Charles Amini,5,14,10,0,0,35.71,3,63.13999999999999,0,0,0.0,15.686274509803921,34,11.333333333333334
Charles Amini,12,14,22,0,0,85.71,3,63.13999999999999,0,0,0.0,15.686274509803921,34,11.333333333333334
Chris Greaves,9,10,15,0,0,90.0,2,111.665,0,0,0.0,0.0,13,6.5
Chris Greaves,4,3,4,0,0,133.33,2,111.665,0,0,0.0,0.0,13,6.5
Chris Jordan,1,5,6,0,0,20.0,2,26.665,0,0,0.0,0.0,2,1.0
Chris Jordan,1,3,5,0,0,33.33,2,26.665,0,0,0.0,0.0,2,1.0
Corey Anderson,7,15,23,0,0,46.66,5,87.046,0,0,0.0,27.471264367816094,66,13.2
Corey Anderson,12,12,10,0,1,100.0,5,87.046,1,6,50.0,27.471264367816094,66,13.2
Corey Anderson,15,12,25,1,1,125.0,5,87.046,2,10,66.66666666666666,27.471264367816094,66,13.2
Corey Anderson,3,5,8,0,0,60.0,5,87.046,0,0,0.0,27.471264367816094,66,13.2
Corey Anderson,29,28,43,0,1,103.57,5,87.046,1,6,20.689655172413794,27.471264367816094,66,13.2
Cosmas Kyewuta,1,6,10,0,0,16.66,3,44.44,0,0,0.0,0.0,4,1.3333333333333333
Cosmas Kyewuta,2,2,15,0,0,100.0,3,44.44,0,0,0.0,0.0,4,1.3333333333333333
Cosmas Kyewuta,1,6,4,0,0,16.66,3,44.44,0,0,0.0,0.0,4,1.3333333333333333
Curtis Campher,4,7,16,0,0,57.14,3,85.71333333333332,0,0,0.0,46.82539682539683,23,7.666666666666667
Curtis Campher,12,8,-,1,1,150.0,3,85.71333333333332,2,10,83.33333333333334,46.82539682539683,23,7.666666666666667
Curtis Campher,7,14,26,1,0,50.0,3,85.71333333333332,1,4,57.14285714285714,46.82539682539683,23,7.666666666666667
Daryl Mitchell,19,12,13,3,0,158.33,3,116.87666666666667,3,12,63.1578947368421,58.83040935672514,36,12.0
Daryl Mitchell,12,13,18,1,0,92.3,3,116.87666666666667,1,4,33.33333333333333,58.83040935672514,36,12.0
Daryl Mitchell,5,5,10,1,0,100.0,3,116.87666666666667,1,4,80.0,58.83040935672514,36,12.0
Dasun Shanaka,9,10,13,0,1,90.0,3,44.28333333333333,1,6,66.66666666666666,33.33333333333333,12,4.0
Dasun Shanaka,3,7,8,0,0,42.85,3,44.28333333333333,0,0,0.0,33.33333333333333,12,4.0
Dasun Shanaka,0,1,1,0,0,0.0,3,44.28333333333333,0,0,,33.33333333333333,12,4.0
David Miller,59,51,67,3,4,115.68,8,83.45625,7,36,61.016949152542374,39.27167158981625,169,21.125
David Miller,29,38,62,1,1,76.31,8,83.45625,2,10,34.48275862068966,39.27167158981625,169,21.125
