Player,Batsman Link,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
PW Hasaranga,https://www.espncricinfo.com/cricketers/wanindu-hasaranga-784379,2022-2022,8,6,1,25,9,5.00,73.52,-,-,-
Aayan Afzal Khan,https://www.espncricinfo.com/cricketers/aayan-afzal-khan-1241265,2022-2022,3,2,-,24,19,12.00,85.71,-,-,-
CN Ackermann,https://www.espncricinfo.com/cricketers/colin-ackermann-379774,2022-2022,8,8,1,165,62,23.57,110.73,-,1,2
MR Adair,https://www.espncricinfo.com/cricketers/mark-adair-526441,2022-2022,7,5,-,28,11,5.60,90.32,-,-,1
Afif Hossain,https://www.espncricinfo.com/cricketers/afif-hossain-935995,2022-2022,5,5,1,95,38,23.75,125.00,-,-,-
AC Agar,https://www.espncricinfo.com/cricketers/ashton-agar-505120,2022-2022,1,-,-,-,-,0.00,0.00,-,-,-
Ahmed Raza,https://www.espncricinfo.com/cricketers/ahmed-raza-245490,2022-2022,1,-,-,-,-,0.00,0.00,-,-,-
MM Ali,https://www.espncricinfo.com/cricketers/moeen-ali-8917,2022-2022,6,5,2,57,24*,19.00,123.91,-,-,-
FH Allen,https://www.espncricinfo.com/cricketers/finn-allen-959759,2022-2022,5,5,-,95,42,19.00,186.27,-,-,-
V Aravind,https://www.espncricinfo.com/cricketers/vriitya-aravind-1178586,2022-2022,3,3,-,48,21,16.00,67.60,-,-,-
Arshdeep Singh,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976,2022-2022,6,1,1,2,2*,0.00,200.00,-,-,-
Aryan Lakra,https://www.espncricinfo.com/cricketers/aryan-lakra-1058989,2022-2022,1,1,-,1,1,1.00,33.33,-,-,-
KIC Asalanka,https://www.espncricinfo.com/cricketers/charith-asalanka-784367,2022-2022,7,7,2,131,38*,26.20,115.92,-,-,1
R Ashwin,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421,2022-2022,6,4,3,21,13*,21.00,116.66,-,-,-
Asif Ali,https://www.espncricinfo.com/cricketers/asif-ali-494230,2022-2022,1,1,-,2,2,2.00,66.66,-,-,-
Azmatullah Omarzai,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429,2022-2022,2,2,1,11,8,11.00,110.00,-,-,-
