bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,match_id
Marco Jansen,4,0,49,1,12.25,4,5,2,1,1,scorecard
Keshav Maharaj,3,0,23,2,7.66,10,3,1,0,0,scorecard
Kagiso Rabada,4,0,36,1,9.00,8,2,2,2,0,scorecard
Aiden Markram,2,0,16,0,8.00,1,0,1,0,0,scorecard
Anrich Nortje,4,0,26,2,6.50,7,2,0,2,0,scorecard
Tabraiz Shamsi,3,0,26,0,8.66,4,1,1,1,0,scorecard
Arshdeep Singh,4,0,20,2,5.00,12,2,0,0,0,scorecard
Jasprit Bumrah,4,0,18,2,4.50,14,2,0,0,0,scorecard
Axar Patel,4,0,49,1,12.25,8,5,3,2,0,scorecard
Kuldeep Yadav,4,0,45,0,11.25,6,3,3,0,0,scorecard
Hardik Pandya,3,0,20,3,6.66,9,1,1,1,1,scorecard
Ravindra Jadeja,1,0,12,0,12.00,0,0,1,0,0,scorecard
Reece Topley,3,0,25,1,8.33,8,3,1,0,0,scorecard
Jofra Archer,4,0,33,1,8.25,7,4,0,0,0,scorecard
Sam Curran,2,0,25,1,12.50,3,2,2,0,0,scorecard
Adil Rashid,4,0,25,1,6.25,9,3,0,0,0,scorecard
Chris Jordan,3,0,37,3,12.33,4,0,4,0,0,scorecard
Liam Livingstone,4,0,24,0,6.00,9,1,1,1,0,scorecard
Arshdeep Singh,2,0,17,0,8.50,5,3,0,0,0,scorecard
Jasprit Bumrah,2.4,0,12,2,4.50,8,1,0,0,0,scorecard
Axar Patel,4,0,23,3,5.75,10,0,1,0,0,scorecard
Kuldeep Yadav,4,0,19,3,4.75,12,2,0,0,0,scorecard
Ravindra Jadeja,3,0,16,0,5.33,6,1,0,0,0,scorecard
Hardik Pandya,1,0,14,0,14.00,1,1,1,0,0,scorecard
Marco Jansen,3,0,16,3,5.33,13,2,0,4,0,scorecard
Keshav Maharaj,1,0,6,0,6.00,3,1,0,0,0,scorecard
Kagiso Rabada,3,1,14,2,4.66,13,3,0,0,0,scorecard
Anrich Nortje,3,0,7,2,2.33,14,0,0,1,0,scorecard
Tabraiz Shamsi,1.5,0,6,3,3.27,9,1,0,1,0,scorecard
Naveen-ul-Haq,3,0,15,0,5.00,12,2,0,1,0,scorecard
Fazalhaq Farooqi,2,0,11,1,5.50,9,2,0,1,0,scorecard
Rashid Khan,1,0,8,0,8.00,2,1,0,0,0,scorecard
Azmatullah Omarzai,1.5,0,18,0,9.81,6,2,1,0,1,scorecard
Gulbadin Naib,1,0,8,0,8.00,2,1,0,0,0,scorecard
Tanzim Hasan Sakib,4,0,36,0,9.00,9,1,2,1,0,scorecard
Taskin Ahmed,4,1,12,1,3.00,19,0,1,0,0,scorecard
Shakib Al Hasan,4,0,19,0,4.75,11,0,1,0,0,scorecard
Mustafizur Rahman,4,0,17,1,4.25,14,2,0,0,0,scorecard
Rishad Hossain,4,0,26,3,6.50,13,3,0,1,0,scorecard
