Player Name
Arshdeep Singh
Fazalhaq Farooqi
Kagiso Rabada
Taskin Ahmed
Axar Patel
Gareth Delany
Marcus Stoinis
Harry Brook
Jos Buttler (c)†
Rohit Sharma (c)
Travis Head
