bowlerName,inningbowled,avg_bowling_economy,avg_bowling_strike,average_bowling_avg,average_dot_ball_%
Abbas Afridi,1,10.33,0.0,0.0,27.78
Abinash Bohara,2,7.12,20.4,29.0,34.48
Adam Zampa,7,6.68,13.0,14.17,39.29
Adil Rashid,8,7.53,19.0,19.38,40.62
Aiden Markram,5,7.2,18.0,18.0,30.83
Akeal Hosein,7,5.67,14.7,10.68,52.98
Alei Nao,4,5.58,16.0,14.33,62.5
Ali Khan,6,9.55,22.4,30.67,34.72
Alpesh Ramjani,3,5.94,18.0,19.17,55.09
Alzarri Joseph,7,7.44,11.5,13.79,43.74
Andre Russell,7,6.92,11.89,14.48,47.88
Angelo Mathews,2,7.66,0.0,0.0,59.72
Anrich Nortje,9,5.65,15.38,16.91,52.62
Aqib Ilyas,3,7.47,21.0,29.0,45.83
Arshdeep Singh,8,7.25,11.71,14.3,52.08
Aryan Dutt,2,5.96,15.0,15.75,38.89
Ashton Agar,2,7.0,24.0,39.0,43.75
Assad Vala,3,5.33,12.0,12.0,43.06
Axar Patel,8,7.48,14.86,18.81,41.32
Ayaan Khan,2,13.0,12.0,12.0,33.33
Azmatullah Omarzai,6,9.22,9.6,25.5,58.8
Barry McCarthy,3,5.82,10.0,8.5,50.13
Bas de Leede,4,8.84,16.5,22.5,40.67
Ben Shikongo,1,19.0,0.0,0.0,16.67
Ben White,2,5.75,9.0,8.5,45.83
Bernard Scholtz,3,7.33,20.0,21.33,36.11
Bilal Hassan,1,17.0,0.0,0.0,25.0
Bilal Khan,4,9.7,18.15,27.25,42.96
Brad Currie,1,4.0,12.0,8.0,50.0
Brad Wheal,3,6.88,17.47,19.33,47.39
Brian Masaba,3,5.75,16.0,14.33,40.28
Chad Soper,4,8.09,21.0,16.0,43.95
Charles Amini,3,6.0,0.0,0.0,41.67
Chris Greaves,3,4.67,12.0,13.0,42.59
Chris Jordan,5,9.67,8.44,13.96,35.11
Chris Sole,3,9.64,21.0,32.0,30.09
Corey Anderson,4,9.58,18.0,29.0,29.17
Cosmas Kyewuta,4,7.15,15.1,21.0,49.6
Craig Young,1,8.0,12.0,16.0,54.17
Curtis Campher,3,5.17,12.0,12.0,44.44
Daryl Mitchell,2,17.5,0.0,0.0,16.67
Dasun Shanaka,3,7.67,12.0,8.0,38.89
David Wiese,4,8.55,8.27,10.11,57.36
Dhananjaya de Silva,1,5.5,12.0,11.0,25.0
Dilon Heyliger,3,5.11,14.0,12.33,47.22
Dinesh Nakrani,2,9.5,18.0,20.0,19.44
Dipendra Singh Airee,2,4.12,10.0,6.5,47.92
Fayyaz Butt,1,24.0,0.0,0.0,0.0
Fazalhaq Farooqi,8,6.53,8.27,8.06,55.08
Frank Nsubuga,2,5.33,12.0,2.0,52.78
Gareth Delany,2,7.68,12.0,10.0,37.5
Gerhard Erasmus,4,7.81,12.0,12.25,43.75
Glenn Maxwell,5,8.1,12.0,18.0,36.67
Glenn Phillips,1,9.0,0.0,0.0,33.33
Gudakesh Motie,7,8.13,13.6,13.27,40.67
Gulbadin Naib,4,5.62,8.0,5.67,44.79
Gulsan Jha,1,8.5,0.0,0.0,16.67
Hardik Pandya,8,8.23,11.2,13.33,47.92
Haris Rauf,4,6.75,16.5,18.5,54.51
Harmeet Singh,5,9.65,16.0,19.0,35.0
Henry Ssenyondo,1,9.5,0.0,0.0,33.33
Iftikhar Ahmed,2,8.5,0.0,0.0,41.67
Imad Wasim,3,4.14,8.0,2.67,56.94
Ish Sodhi,1,7.9,10.2,14.5,44.12
Jack Brassell,2,18.5,0.0,0.0,29.17
James Neesham,1,6.75,24.0,27.0,37.5
Jasdeep Singh,4,11.08,18.0,37.0,30.9
Jasprit Bumrah,8,4.12,11.46,8.64,62.33
Jeremy Gordon,3,7.84,15.9,12.5,50.93
Jofra Archer,8,7.02,16.4,21.22,52.47
John Kariko,3,4.58,24.0,17.0,48.61
Josh Hazlewood,6,6.04,20.0,17.0,50.69
Josh Little,3,8.47,0.0,0.0,45.37
Juma Miyagi,3,6.42,12.0,5.5,51.01
Junaid Siddiqui,2,8.04,24.0,27.0,27.08
Kabua Morea,2,5.86,6.6,2.0,61.11
Kagiso Rabada,9,6.32,12.71,13.71,52.47
Kaleem Sana,3,8.33,24.0,34.0,42.59
Kaleemullah,4,8.38,12.0,20.0,53.47
Karan KC,2,7.33,0.0,0.0,52.78
Karim Janat,1,5.0,0.0,0.0,58.33
Keshav Maharaj,8,6.27,14.83,15.33,41.32
Kuldeep Yadav,5,6.95,10.0,10.17,40.83
Kushal Bhurtel,1,4.75,6.0,4.75,50.0
Kushal Malla,1,8.5,0.0,0.0,50.0
Liam Livingstone,4,9.88,14.0,19.67,32.29
Lockie Ferguson,4,4.0,17.0,16.83,69.79
Logan van Beek,4,8.16,10.13,13.0,49.48
Mahedi Hasan,2,6.25,0.0,0.0,50.0
Maheesh Theekshana,3,5.86,18.0,25.0,40.74
Mahmudullah,4,4.92,6.0,6.0,42.36
Marco Jansen,9,6.94,13.5,20.33,53.95
Marcus Stoinis,6,8.8,11.5,17.64,42.59
Mark Adair,3,6.17,24.0,24.67,51.39
Mark Watt,3,8.17,18.0,21.0,36.11
Mark Wood,5,8.63,6.0,4.0,47.22
Matheesha Pathirana,3,4.92,16.5,16.5,48.61
