bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,match_id,inningbowled,avg_bowling_economy,bowling SR,avg_bowling_strike,bowling_avg,average_bowling_avg,dot_ball_percentage,average_dot_ball_%
Abbas Afridi,3.0,0,31,0,10.33,5,1,2,2,0,scorecard,1,10.33,0.0,0.0,0.0,0.0,27.78,27.78
Abinash Bohara,3.4,0,29,1,7.9,5,2,1,0,0,scorecard,2,7.12,20.4,20.4,29.0,29.0,24.51,34.48
Abinash Bohara,3.0,0,19,0,6.33,8,3,0,0,0,scorecard,2,7.12,0.0,20.4,0.0,29.0,44.44,34.48
Adam Zampa,4.0,0,24,2,6.0,11,0,2,0,0,scorecard,7,6.68,12.0,13.0,12.0,14.17,45.83,39.29
Adam Zampa,4.0,0,30,1,7.5,8,1,2,0,0,scorecard,7,6.68,24.0,13.0,30.0,14.17,33.33,39.29
Adam Zampa,4.0,0,28,2,7.0,9,0,2,0,0,scorecard,7,6.68,12.0,13.0,14.0,14.17,37.5,39.29
Adam Zampa,4.0,0,28,2,7.0,9,2,1,1,0,scorecard,7,6.68,12.0,13.0,14.0,14.17,37.5,39.29
Adam Zampa,4.0,0,24,2,6.0,10,3,0,0,0,scorecard,7,6.68,12.0,13.0,12.0,14.17,41.67,39.29
Adam Zampa,4.0,0,41,0,10.25,2,1,3,0,0,scorecard,7,6.68,0.0,13.0,0.0,14.17,8.33,39.29
Adam Zampa,4.0,0,12,4,3.0,17,0,1,0,0,scorecard,7,6.68,6.0,13.0,3.0,14.17,70.83,39.29
Adil Rashid,4.0,0,25,1,6.25,9,3,0,0,0,scorecard,8,7.53,24.0,19.0,25.0,19.38,37.5,40.62
Adil Rashid,4.0,0,21,1,5.25,10,0,1,1,0,scorecard,8,7.53,24.0,19.0,21.0,19.38,41.67,40.62
Adil Rashid,4.0,0,41,1,10.25,7,4,2,1,0,scorecard,8,7.53,24.0,19.0,41.0,19.38,29.17,40.62
Adil Rashid,4.0,0,20,1,5.0,9,1,0,0,0,scorecard,8,7.53,24.0,19.0,20.0,19.38,37.5,40.62
Adil Rashid,2.0,0,26,0,13.0,2,2,2,0,0,scorecard,8,7.53,0.0,19.0,0.0,19.38,16.67,40.62
Adil Rashid,4.0,0,11,4,2.75,20,1,0,3,0,scorecard,8,7.53,6.0,19.0,2.75,19.38,83.33,40.62
Adil Rashid,4.0,0,13,2,3.25,13,0,0,1,0,scorecard,8,7.53,12.0,19.0,6.5,19.38,54.17,40.62
Adil Rashid,2.0,0,29,0,14.5,3,1,3,1,0,scorecard,8,7.53,0.0,19.0,0.0,19.38,25.0,40.62
Aiden Markram,4.0,0,28,1,7.0,11,1,2,2,0,scorecard,5,7.2,24.0,18.0,28.0,18.0,45.83,30.83
Aiden Markram,2.0,0,8,1,4.0,4,0,0,0,0,scorecard,5,7.2,12.0,18.0,8.0,18.0,33.33,30.83
Aiden Markram,1.0,0,4,0,4.0,2,0,0,0,0,scorecard,5,7.2,0.0,18.0,0.0,18.0,33.33,30.83
Aiden Markram,2.0,0,16,0,8.0,1,0,1,0,0,scorecard,5,7.2,0.0,18.0,0.0,18.0,8.33,30.83
Aiden Markram,1.0,0,13,0,13.0,2,1,1,0,0,scorecard,5,7.2,0.0,18.0,0.0,18.0,33.33,30.83
Akeal Hosein,4.0,0,21,1,5.25,11,1,1,0,0,scorecard,7,5.67,24.0,14.7,21.0,10.68,45.83,52.98
Akeal Hosein,4.0,0,35,0,8.75,9,4,1,1,0,scorecard,7,5.67,0.0,14.7,0.0,10.68,37.5,52.98
Akeal Hosein,3.0,0,31,0,10.33,6,6,0,0,0,scorecard,7,5.67,0.0,14.7,0.0,10.68,33.33,52.98
Akeal Hosein,3.0,0,9,1,3.0,13,1,0,0,0,scorecard,7,5.67,18.0,14.7,9.0,10.68,72.22,52.98
Akeal Hosein,4.0,0,11,5,2.75,19,2,0,0,0,scorecard,7,5.67,4.8,14.7,2.2,10.68,79.17,52.98
Akeal Hosein,4.0,1,21,2,5.25,14,3,0,1,0,scorecard,7,5.67,12.0,14.7,10.5,10.68,58.33,52.98
Akeal Hosein,3.0,0,13,0,4.33,8,1,0,0,0,scorecard,7,5.67,0.0,14.7,0.0,10.68,44.44,52.98
Alei Nao,3.0,0,22,0,7.33,9,1,2,0,0,scorecard,4,5.58,0.0,16.0,0.0,14.33,50.0,62.5
Alei Nao,4.0,0,26,1,6.5,14,0,2,3,0,scorecard,4,5.58,24.0,16.0,26.0,14.33,58.33,62.5
Alei Nao,4.0,0,16,2,4.0,16,0,0,3,0,scorecard,4,5.58,12.0,16.0,8.0,14.33,66.67,62.5
Alei Nao,2.0,1,9,1,4.5,9,2,0,0,0,scorecard,4,5.58,12.0,16.0,9.0,14.33,75.0,62.5
Ali Khan,2.0,0,26,0,13.0,2,2,0,2,0,scorecard,6,9.55,0.0,22.4,0.0,30.67,16.67,34.72
Ali Khan,4.0,0,30,1,7.5,8,2,1,2,0,scorecard,6,9.55,24.0,22.4,30.0,30.67,33.33,34.72
Ali Khan,2.0,0,18,0,9.0,5,1,1,2,0,scorecard,6,9.55,0.0,22.4,0.0,30.67,41.67,34.72
Ali Khan,4.0,0,41,1,10.25,11,5,2,2,0,scorecard,6,9.55,24.0,22.4,41.0,30.67,45.83,34.72
Ali Khan,4.0,0,45,0,11.25,7,1,4,2,0,scorecard,6,9.55,0.0,22.4,0.0,30.67,29.17,34.72
Ali Khan,3.2,0,21,1,6.3,8,2,0,1,0,scorecard,6,9.55,19.2,22.4,21.0,30.67,41.67,34.72
Alpesh Ramjani,4.0,0,33,1,8.25,9,0,2,0,0,scorecard,3,5.94,24.0,18.0,33.0,19.17,37.5,55.09
