Player Name,Role,Country,batsmanName,inning_batted,Average_SR,Average_Boundary_Percentage,total_runs,batting_average,bowlerName,inningbowled,avg_bowling_economy,avg_bowling_strike,average_bowling_avg,average_dot_ball_%
Arshdeep Singh,Bowler,India,Arshdeep Singh,3.0,89.74333333333334,14.814814814814817,12.0,4.0,Arshdeep Singh,8.0,7.25,11.71,14.3,52.08
Fazalhaq Farooqi,Bowler,Afghanistan,Fazalhaq Farooqi,3.0,166.66666666666666,50.0,6.0,2.0,Fazalhaq Farooqi,8.0,6.53,8.27,8.06,55.08
Kagiso Rabada,Bowler,South Africa,Kagiso Rabada,3.0,99.99666666666668,90.0,9.0,3.0,Kagiso Rabada,9.0,6.32,12.71,13.71,52.47
Taskin Ahmed,Bowler,Bangladesh,Taskin Ahmed,4.0,76.9825,10.256410256410255,16.0,4.0,Taskin Ahmed,5.0,7.6,15.0,12.25,53.89
Axar Patel,Allrounder,India,Axar Patel,5.0,137.876,51.24822695035461,92.0,18.4,Axar Patel,8.0,7.48,14.86,18.81,41.32
Gareth Delany,Batting Allrounder,Ireland,Gareth Delany,3.0,130.57000000000002,49.296939619520266,60.0,20.0,Gareth Delany,2.0,7.68,12.0,10.0,37.5
Marcus Stoinis,Batting Allrounder,Australia,Marcus Stoinis,5.0,136.144,50.01157540494753,169.0,33.8,Marcus Stoinis,6.0,8.8,11.5,17.64,42.59
Harry Brook,Batter,England,Harry Brook,4.0,158.7025,50.10116419108792,145.0,36.25,,,,,,
Jos Buttler,Wicketkeeper Batter,England,,,,,,,,,,,,
Rohit Sharma,Top order Batter,India,,,,,,,,,,,,
Travis Head,Batter,Australia,Travis Head,7.0,138.85714285714286,76.38791792891463,255.0,36.42857142857143,,,,,,
Glenn Phillips,New Zealand,Allrounder,Glenn Phillips,2.0,110.605,52.22222222222222,58.0,29.0,Glenn Phillips,1.0,9.0,0.0,0.0,33.33
