bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,bowler_link,match_id
Deepak Chahar,4,0,38,1,9.50,5,3,1,0,0,https://www.espncricinfo.com/cricketers/deepak-chahar-447261,scorecard
Tushar Deshpande,4,0,56,0,14.00,4,7,3,0,0,https://www.espncricinfo.com/cricketers/tushar-deshpande-822553,scorecard
Maheesh Theekshana,4,0,36,0,9.00,8,3,2,0,0,https://www.espncricinfo.com/cricketers/maheesh-theekshana-1138316,scorecard
Ravindra Jadeja,4,0,38,1,9.50,3,3,1,0,0,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675,scorecard
Matheesha Pathirana,4,0,44,2,11.00,7,4,2,2,0,https://www.espncricinfo.com/cricketers/matheesha-pathirana-1194795,scorecard
Mohammed Shami,3,0,29,0,9.66,5,4,0,0,0,https://www.espncricinfo.com/cricketers/mohammed-shami-481896,scorecard
Hardik Pandya,1,0,14,0,14.00,1,1,1,1,0,https://www.espncricinfo.com/cricketers/hardik-pandya-625371,scorecard
Rashid Khan,3,0,44,0,14.66,2,4,3,0,0,https://www.espncricinfo.com/cricketers/rashid-khan-793463,scorecard
Noor Ahmad,3,0,17,2,5.66,6,0,0,3,0,https://www.espncricinfo.com/cricketers/noor-ahmad-1182529,scorecard
Josh Little,2,0,30,0,15.00,1,0,3,0,0,https://www.espncricinfo.com/cricketers/josh-little-928067,scorecard
Mohit Sharma,3,0,36,3,12.00,4,2,3,0,0,https://www.espncricinfo.com/cricketers/mohit-sharma-537119,scorecard
Jason Behrendorff,4,0,28,0,7.00,8,4,0,0,0,https://www.espncricinfo.com/cricketers/jason-behrendorff-272477,scorecard
Cameron Green,3,0,35,0,11.66,4,3,2,0,0,https://www.espncricinfo.com/cricketers/cameron-green-1076713,scorecard
Akash Madhwal,4,0,52,1,13.00,7,3,4,0,2,https://www.espncricinfo.com/cricketers/akash-madhwal-1206039,scorecard
Chris Jordan,4,0,56,0,14.00,6,6,3,4,0,https://www.espncricinfo.com/cricketers/chris-jordan-288992,scorecard
Piyush Chawla,3,0,45,1,15.00,0,2,3,1,0,https://www.espncricinfo.com/cricketers/piyush-chawla-32966,scorecard
Kumar Kartikeya,2,0,15,0,7.50,2,0,1,0,0,https://www.espncricinfo.com/cricketers/kumar-kartikeya-1159843,scorecard
Mohammed Shami,3,0,41,2,13.66,6,6,2,0,0,https://www.espncricinfo.com/cricketers/mohammed-shami-481896,scorecard
Hardik Pandya,2,0,24,0,12.00,4,3,1,1,0,https://www.espncricinfo.com/cricketers/hardik-pandya-625371,scorecard
Rashid Khan,4,0,33,2,8.25,8,5,0,1,0,https://www.espncricinfo.com/cricketers/rashid-khan-793463,scorecard
Noor Ahmad,4,0,35,0,8.75,8,1,2,1,1,https://www.espncricinfo.com/cricketers/noor-ahmad-1182529,scorecard
Josh Little,3,0,26,1,8.66,6,2,1,1,0,https://www.espncricinfo.com/cricketers/josh-little-928067,scorecard
Mohit Sharma,2.2,0,10,5,4.28,9,0,1,0,0,https://www.espncricinfo.com/cricketers/mohit-sharma-537119,scorecard
Krunal Pandya,4,0,38,0,9.50,7,5,1,0,0,https://www.espncricinfo.com/cricketers/krunal-pandya-471342,scorecard
Krishnappa Gowtham,1,0,8,0,8.00,4,2,0,0,0,https://www.espncricinfo.com/cricketers/krishnappa-gowtham-424377,scorecard
Naveen-ul-Haq,4,0,38,4,9.50,10,3,2,3,0,https://www.espncricinfo.com/cricketers/naveen-ul-haq-793447,scorecard
Yash Thakur,4,0,34,3,8.50,12,3,2,2,0,https://www.espncricinfo.com/cricketers/yash-thakur-1070196,scorecard
Mohsin Khan,3,0,24,1,8.00,9,1,2,0,0,https://www.espncricinfo.com/cricketers/mohsin-khan-1132005,scorecard
Ravi Bishnoi,4,0,30,0,7.50,4,1,1,1,0,https://www.espncricinfo.com/cricketers/ravi-bishnoi-1175441,scorecard
Jason Behrendorff,3,0,21,0,7.00,7,3,0,0,0,https://www.espncricinfo.com/cricketers/jason-behrendorff-272477,scorecard
Akash Madhwal,3.3,0,5,5,1.42,17,0,0,0,0,https://www.espncricinfo.com/cricketers/akash-madhwal-1206039,scorecard
Chris Jordan,2,1,7,1,3.50,9,1,0,0,0,https://www.espncricinfo.com/cricketers/chris-jordan-288992,scorecard
Cameron Green,3,0,15,0,5.00,7,1,0,0,0,https://www.espncricinfo.com/cricketers/cameron-green-1076713,scorecard
Hrithik Shokeen,1,0,18,0,18.00,1,2,1,1,0,https://www.espncricinfo.com/cricketers/hrithik-shokeen-1175423,scorecard
Piyush Chawla,4,0,28,1,7.00,9,2,1,2,0,https://www.espncricinfo.com/cricketers/piyush-chawla-32966,scorecard
Mohammed Shami,4,0,28,2,7.00,10,2,1,0,1,https://www.espncricinfo.com/cricketers/mohammed-shami-481896,scorecard
Darshan Nalkande,4,0,44,1,11.00,9,4,2,0,1,https://www.espncricinfo.com/cricketers/darshan-nalkande-1111917,scorecard
Rashid Khan,4,0,37,1,9.25,5,2,1,0,0,https://www.espncricinfo.com/cricketers/rashid-khan-793463,scorecard
Noor Ahmad,4,0,29,1,7.25,6,3,0,0,0,https://www.espncricinfo.com/cricketers/noor-ahmad-1182529,scorecard
Mohit Sharma,4,0,31,2,7.75,4,3,0,0,0,https://www.espncricinfo.com/cricketers/mohit-sharma-537119,scorecard
Deepak Chahar,4,0,29,2,7.25,10,2,1,3,0,https://www.espncricinfo.com/cricketers/deepak-chahar-447261,scorecard
Tushar Deshpande,4,0,43,1,10.75,11,6,2,2,0,https://www.espncricinfo.com/cricketers/tushar-deshpande-822553,scorecard
Maheesh Theekshana,4,0,28,2,7.00,8,1,1,0,0,https://www.espncricinfo.com/cricketers/maheesh-theekshana-1138316,scorecard
Ravindra Jadeja,4,0,18,2,4.50,12,2,0,0,0,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675,scorecard
Matheesha Pathirana,4,0,37,2,9.25,9,2,1,7,0,https://www.espncricinfo.com/cricketers/matheesha-pathirana-1194795,scorecard
Mohammed Shami,4,0,39,1,9.75,9,7,0,1,0,https://www.espncricinfo.com/cricketers/mohammed-shami-481896,scorecard
Yash Dayal,4,0,39,1,9.75,7,5,1,0,0,https://www.espncricinfo.com/cricketers/yash-dayal-1159720,scorecard
Rashid Khan,4,0,24,1,6.00,5,1,0,0,0,https://www.espncricinfo.com/cricketers/rashid-khan-793463,scorecard
Noor Ahmad,4,0,39,2,9.75,6,4,1,2,0,https://www.espncricinfo.com/cricketers/noor-ahmad-1182529,scorecard
Mohit Sharma,4,0,54,0,13.50,2,8,1,2,0,https://www.espncricinfo.com/cricketers/mohit-sharma-537119,scorecard
Mohammed Siraj,4,0,32,2,8.00,11,2,2,2,0,https://www.espncricinfo.com/cricketers/mohammed-siraj-940973,scorecard
Wayne Parnell,3.1,0,42,0,13.26,7,6,2,1,1,https://www.espncricinfo.com/cricketers/wayne-parnell-265564,scorecard
Vijaykumar Vyshak,4,0,40,1,10.00,6,2,2,2,0,https://www.espncricinfo.com/cricketers/vijaykumar-vyshak-777815,scorecard
Himanshu Sharma,3,0,28,0,9.33,4,3,1,0,0,https://www.espncricinfo.com/cricketers/himanshu-sharma-1350761,scorecard
Harshal Patel,4,0,29,1,7.25,11,2,1,2,0,https://www.espncricinfo.com/cricketers/harshal-patel-390481,scorecard
Michael Bracewell,1,0,16,0,16.00,2,0,2,0,0,https://www.espncricinfo.com/cricketers/michael-bracewell-326968,scorecard
Jason Behrendorff,3,0,36,0,12.00,7,4,2,3,0,https://www.espncricinfo.com/cricketers/jason-behrendorff-272477,scorecard
Cameron Green,1,0,2,0,2.00,4,0,0,0,0,https://www.espncricinfo.com/cricketers/cameron-green-1076713,scorecard
Chris Jordan,4,0,42,1,10.50,6,5,1,1,0,https://www.espncricinfo.com/cricketers/chris-jordan-288992,scorecard
Akash Madhwal,4,0,37,4,9.25,7,4,1,0,1,https://www.espncricinfo.com/cricketers/akash-madhwal-1206039,scorecard
Piyush Chawla,4,0,39,0,9.75,4,3,2,0,0,https://www.espncricinfo.com/cricketers/piyush-chawla-32966,scorecard
Kumar Kartikeya,4,0,39,0,9.75,6,4,1,1,0,https://www.espncricinfo.com/cricketers/kumar-kartikeya-1159843,scorecard
