bowlerName,inningbowled,avg_bowling_economy,avg_bowling_strike,average_bowling_avg,average_dot_ball_%
Abhishek Sharma,5,10.5,18.0,34.0,32.78
Adam Zampa,6,8.69,18.0,24.17,30.09
Adil Rashid,2,7.96,9.0,11.5,34.72
Aiden Markram,6,8.67,18.0,24.0,17.13
Akash Deep,2,12.33,18.0,29.0,36.11
Akash Madhwal,8,8.34,9.59,15.32,33.3
Akash Singh,6,10.37,18.0,25.25,39.35
Akeal Hosein,1,10.0,24.0,40.0,25.0
Alzarri Joseph,7,9.13,15.0,19.12,41.47
Amit Mishra,7,7.89,13.8,17.8,25.79
Andre Russell,9,13.23,10.05,16.46,32.69
Anrich Nortje,10,9.1,16.0,24.33,40.0
Anukul Roy,3,11.14,15.0,17.75,34.72
Arjun Tendulkar,4,8.84,15.0,25.0,47.64
Arshad Khan,6,13.66,14.4,29.67,31.09
Arshdeep Singh,14,9.59,18.27,31.19,37.97
Avesh Khan,9,10.25,14.8,25.17,32.41
Axar Patel,13,7.23,17.62,22.06,37.29
Ayush Badoni,1,0.0,0.0,0.0,166.67
Ben Stokes,1,18.0,0.0,0.0,0.0
Bhuvneshwar Kumar,14,8.32,20.07,29.05,42.86
Cameron Green,16,9.6,14.4,22.9,41.49
Chetan Sakariya,2,11.12,18.0,31.25,35.42
Chris Jordan,6,10.17,20.0,32.33,36.81
Darshan Nalkande,1,11.0,24.0,44.0,37.5
David Wiese,1,12.66,0.0,0.0,16.67
David Willey,4,7.21,18.0,17.0,40.28
Deepak Chahar,10,8.78,11.33,15.31,40.42
Deepak Hooda,1,8.0,0.0,0.0,16.67
Duan Jansen,1,13.25,24.0,53.0,25.0
Dwaine Pretorius,1,7.0,0.0,0.0,37.5
Fazalhaq Farooqi,4,8.63,16.0,21.5,42.71
Glenn Maxwell,7,8.34,8.8,11.33,33.39
Glenn Phillips,2,7.5,12.0,10.0,29.17
Gurnoor Brar,1,14.0,0.0,0.0,38.89
Hardik Pandya,11,9.45,16.0,18.67,40.15
Harpreet Brar,11,7.78,11.4,11.4,36.11
Harshal Patel,13,9.94,18.67,29.42,31.76
Harshit Rana,6,8.93,17.25,22.38,48.38
Himanshu Sharma,1,9.33,0.0,0.0,22.22
Hrithik Shokeen,8,11.3,18.0,30.0,28.3
Ishant Sharma,8,8.62,13.0,16.92,44.97
Jason Behrendorff,12,9.33,15.25,24.02,36.92
Jason Holder,8,9.96,18.0,22.83,27.53
Jayant Yadav,1,6.5,0.0,0.0,33.33
Jaydev Unadkat,3,11.72,0.0,0.0,30.56
Joe Root,1,7.0,0.0,0.0,16.67
Jofra Archer,5,9.5,24.0,38.5,40.83
Josh Hazlewood,3,8.44,13.5,18.25,53.7
Josh Little,10,8.99,21.0,29.92,34.17
KM Asif,4,9.5,15.0,24.0,33.68
Kagiso Rabada,6,10.17,15.0,24.75,44.91
Karn Sharma,7,10.9,12.15,21.58,32.37
Kartik Tyagi,3,15.07,12.0,30.0,27.41
Khaleel Ahmed,9,9.41,19.71,29.57,44.75
Krishnappa Gowtham,6,8.83,20.0,22.33,43.06
Krunal Pandya,12,7.99,14.8,17.6,37.5
Kuldeep Sen,2,12.0,0.0,0.0,33.33
Kuldeep Yadav,14,7.54,20.62,22.75,28.57
Kuldip Yadav,2,9.25,21.0,34.0,21.53
Kulwant Khejroliya,2,14.83,9.0,22.0,27.78
Kumar Kartikeya,8,8.64,20.25,29.12,28.99
Kyle Mayers,6,8.5,0.0,0.0,37.5
Lalit Yadav,4,10.08,21.0,31.5,28.12
Liam Livingstone,5,13.8,9.0,21.0,10.0
Lockie Ferguson,3,13.3,8.4,19.0,38.1
Maheesh Theekshana,13,7.99,17.14,21.71,28.85
Mahipal Lomror,2,8.5,0.0,0.0,25.0
Marco Jansen,8,9.99,15.0,23.83,42.53
Marcus Stoinis,5,11.22,10.0,15.0,28.06
Mark Wood,4,8.12,12.2,17.16,50.0
Matheesha Pathirana,12,7.98,14.56,18.18,37.99
Matthew Short,3,6.67,0.0,0.0,41.67
Mayank Dagar,3,7.5,24.0,37.0,32.87
Mayank Markande,10,8.05,14.0,17.79,32.36
Michael Bracewell,5,9.43,11.25,16.12,39.44
Mitchell Marsh,8,9.73,9.12,11.25,26.3
Mitchell Santner,3,6.75,18.0,17.5,30.56
Moeen Ali,11,9.32,8.4,13.4,33.33
Mohammed Shami,17,8.11,14.54,20.38,48.94
Mohammed Siraj,14,7.7,17.67,21.51,54.17
Mohit Rathee,1,14.5,0.0,0.0,25.0
Mohit Sharma,14,8.0,10.16,13.98,31.36
Mohsin Khan,4,11.42,18.0,30.67,37.5
Mukesh Kumar,10,10.55,13.2,20.0,35.56
Murugan Ashwin,2,12.5,0.0,0.0,8.33
Mustafizur Rahman,2,11.58,24.0,38.0,28.47
Nathan Ellis,10,8.93,18.0,26.56,30.14
Navdeep Saini,2,13.5,8.0,13.33,31.25
Naveen-ul-Haq,7,7.82,11.5,12.12,40.48
Nitish Kumar Reddy,2,10.58,0.0,0.0,31.94
Nitish Rana,6,10.84,9.0,7.75,29.17
Noor Ahmad,13,8.04,13.69,17.37,35.77
Obed McCoy,1,13.0,0.0,0.0,33.33
Piyush Chawla,16,8.18,15.15,20.49,32.99
