bowlerName,inningbowled,avg_bowling_economy,avg_bowling_strike,average_bowling_avg,average_dot_ball_%
Praveen Dubey,1,6.33,18.0,19.0,44.44
Raghav Goyal,1,8.25,0.0,0.0,29.17
Rahul Chahar,14,7.79,16.4,20.42,32.5
Rahul Tewatia,2,7.0,0.0,0.0,56.06
Rajvardhan Hangargekar,2,10.5,8.0,12.0,37.5
Rashid Khan,17,8.33,15.86,20.2,33.01
Ravi Bishnoi,14,7.96,12.36,13.17,31.3
Ravichandran Ashwin,13,7.54,17.33,21.17,29.81
Ravindra Jadeja,16,7.91,17.85,22.96,31.6
Reece Topley,1,7.0,12.0,14.0,58.33
Riley Meredith,5,10.5,18.84,34.7,36.47
Rishi Dhawan,4,9.79,18.0,20.0,42.36
Rovman Powell,1,9.0,12.0,18.0,33.33
Sam Curran,14,10.36,17.86,31.62,29.46
Sandeep Sharma,12,8.59,20.25,27.75,34.72
Shahbaz Ahmed,5,13.93,18.0,38.0,21.11
Shardul Thakur,9,11.38,11.4,16.0,23.75
Sikandar Raza,6,10.03,16.0,25.0,29.63
Sisanda Magala,2,8.12,24.0,37.0,16.67
Sunil Narine,14,8.15,14.33,17.42,29.27
Suyash Sharma,11,8.5,17.33,21.42,35.35
Swapnil Singh,2,9.0,0.0,0.0,16.67
T Natarajan,12,9.01,19.88,31.69,28.01
Tilak Varma,1,7.0,0.0,0.0,50.0
Tim Southee,2,13.0,12.0,27.0,35.42
Trent Boult,10,8.16,17.12,23.52,47.5
Tristan Stubbs,1,7.0,12.0,14.0,25.0
Tushar Deshpande,16,9.46,13.84,23.94,42.69
Umesh Yadav,8,10.43,24.0,27.0,35.24
Umran Malik,8,12.04,13.5,26.5,32.29
Vaibhav Arora,5,9.46,15.0,20.33,33.89
Varun Chakravarthy,14,8.33,17.19,23.58,38.88
Vijaykumar Vyshak,7,10.68,15.4,29.53,28.77
Vivrant Sharma,2,14.0,0.0,0.0,25.0
Wanindu Hasaranga,8,9.1,15.0,22.67,29.86
Washington Sundar,7,8.42,8.0,9.33,31.75
Wayne Parnell,7,9.32,16.0,25.0,38.71
Yash Dayal,5,12.15,24.0,35.0,25.0
Yash Thakur,9,8.9,12.71,17.85,38.1
Yudhvir Singh,3,9.28,13.5,16.75,51.85
Yuzvendra Chahal,14,8.3,14.56,19.58,30.56
