bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,bowler_link,inningbowled,avg_bowling_economy,bowling SR,avg_bowling_strike,bowling_avg,average_bowling_avg,dot_ball_percentage,average_dot_ball_%
Abhishek Sharma,3.0,0,42,1,14.0,6,1,5,1,0,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,5,10.5,18.0,18.0,42.0,34.0,33.33,32.78
Abhishek Sharma,2.0,0,15,0,7.5,5,1,1,0,0,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,5,10.5,0.0,18.0,0.0,34.0,41.67,32.78
Abhishek Sharma,3.0,0,26,1,8.66,5,2,1,0,0,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,5,10.5,18.0,18.0,26.0,34.0,27.78,32.78
Abhishek Sharma,3.0,0,28,0,9.33,5,3,1,1,0,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,5,10.5,0.0,18.0,0.0,34.0,27.78,32.78
Abhishek Sharma,1.0,0,13,0,13.0,2,1,1,1,0,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,5,10.5,0.0,18.0,0.0,34.0,33.33,32.78
Adam Zampa,3.0,0,22,3,7.33,7,2,1,0,0,https://www.espncricinfo.com/cricketers/adam-zampa-379504,6,8.69,6.0,18.0,7.33,24.17,38.89,30.09
Adam Zampa,4.0,0,43,1,10.75,5,4,1,1,0,https://www.espncricinfo.com/cricketers/adam-zampa-379504,6,8.69,24.0,18.0,43.0,24.17,20.83,30.09
Adam Zampa,4.0,0,32,1,8.0,9,2,2,0,0,https://www.espncricinfo.com/cricketers/adam-zampa-379504,6,8.69,24.0,18.0,32.0,24.17,37.5,30.09
Adam Zampa,4.0,0,26,1,6.5,6,2,0,0,0,https://www.espncricinfo.com/cricketers/adam-zampa-379504,6,8.69,24.0,18.0,26.0,24.17,25.0,30.09
Adam Zampa,3.0,0,40,0,13.33,3,3,3,0,0,https://www.espncricinfo.com/cricketers/adam-zampa-379504,6,8.69,0.0,18.0,0.0,24.17,16.67,30.09
Adam Zampa,4.0,0,25,2,6.25,10,2,1,0,0,https://www.espncricinfo.com/cricketers/adam-zampa-379504,6,8.69,12.0,18.0,12.5,24.17,41.67,30.09
Adil Rashid,4.0,0,33,0,8.25,6,1,2,0,0,https://www.espncricinfo.com/cricketers/adil-rashid-244497,2,7.96,0.0,9.0,0.0,11.5,25.0,34.72
Adil Rashid,3.0,0,23,2,7.66,8,2,1,0,0,https://www.espncricinfo.com/cricketers/adil-rashid-244497,2,7.96,9.0,9.0,11.5,11.5,44.44,34.72
Aiden Markram,1.0,0,7,0,7.0,0,0,0,0,0,https://www.espncricinfo.com/cricketers/aiden-markram-600498,6,8.67,0.0,18.0,0.0,24.0,0.0,17.13
Aiden Markram,0.1,0,1,0,6.0,0,0,0,0,0,https://www.espncricinfo.com/cricketers/aiden-markram-600498,6,8.67,0.0,18.0,0.0,24.0,0.0,17.13
Aiden Markram,2.0,0,14,0,7.0,5,2,0,0,0,https://www.espncricinfo.com/cricketers/aiden-markram-600498,6,8.67,0.0,18.0,0.0,24.0,41.67,17.13
Aiden Markram,1.0,0,11,0,11.0,2,2,0,0,0,https://www.espncricinfo.com/cricketers/aiden-markram-600498,6,8.67,0.0,18.0,0.0,24.0,33.33,17.13
Aiden Markram,1.0,0,13,0,13.0,0,2,0,0,0,https://www.espncricinfo.com/cricketers/aiden-markram-600498,6,8.67,0.0,18.0,0.0,24.0,0.0,17.13
Aiden Markram,3.0,0,24,1,8.0,5,2,1,0,0,https://www.espncricinfo.com/cricketers/aiden-markram-600498,6,8.67,18.0,18.0,24.0,24.0,27.78,17.13
Akash Deep,3.0,0,29,1,9.66,7,2,2,0,0,https://www.espncricinfo.com/cricketers/akash-deep-1176959,2,12.33,18.0,18.0,29.0,29.0,38.89,36.11
Akash Deep,2.0,0,30,0,15.0,4,2,2,1,2,https://www.espncricinfo.com/cricketers/akash-deep-1176959,2,12.33,0.0,18.0,0.0,29.0,33.33,36.11
Akash Madhwal,4.0,0,52,1,13.0,7,3,4,0,2,https://www.espncricinfo.com/cricketers/akash-madhwal-1206039,8,8.34,24.0,9.59,52.0,15.32,29.17,33.3
Akash Madhwal,2.0,0,23,0,11.5,1,1,1,0,1,https://www.espncricinfo.com/cricketers/akash-madhwal-1206039,8,8.34,0.0,9.59,0.0,15.32,8.33,33.3
Akash Madhwal,1.0,0,4,1,4.0,2,0,0,0,0,https://www.espncricinfo.com/cricketers/akash-madhwal-1206039,8,8.34,6.0,9.59,4.0,15.32,33.33,33.3
Akash Madhwal,3.0,0,37,0,12.33,1,3,1,0,1,https://www.espncricinfo.com/cricketers/akash-madhwal-1206039,8,8.34,0.0,9.59,0.0,15.32,5.56,33.3
Akash Madhwal,3.3,0,5,5,1.42,17,0,0,0,0,https://www.espncricinfo.com/cricketers/akash-madhwal-1206039,8,8.34,3.96,9.59,1.0,15.32,85.86,33.3
Akash Madhwal,4.0,0,30,0,7.5,7,1,1,2,0,https://www.espncricinfo.com/cricketers/akash-madhwal-1206039,8,8.34,0.0,9.59,0.0,15.32,29.17,33.3
Akash Madhwal,4.0,0,31,3,7.75,11,4,1,0,0,https://www.espncricinfo.com/cricketers/akash-madhwal-1206039,8,8.34,8.0,9.59,10.33,15.32,45.83,33.3
Akash Madhwal,4.0,0,37,4,9.25,7,4,1,0,1,https://www.espncricinfo.com/cricketers/akash-madhwal-1206039,8,8.34,6.0,9.59,9.25,15.32,29.17,33.3
Akash Singh,3.0,0,35,0,11.66,4,3,2,1,0,https://www.espncricinfo.com/cricketers/akash-singh-1175458,6,10.37,0.0,18.0,0.0,25.25,22.22,39.35
Akash Singh,2.0,0,32,0,16.0,3,6,1,0,0,https://www.espncricinfo.com/cricketers/akash-singh-1175458,6,10.37,0.0,18.0,0.0,25.25,25.0,39.35
Akash Singh,3.0,0,17,1,5.66,10,1,1,0,0,https://www.espncricinfo.com/cricketers/akash-singh-1175458,6,10.37,18.0,18.0,17.0,25.25,55.56,39.35
Akash Singh,4.0,0,29,1,7.25,13,4,1,1,0,https://www.espncricinfo.com/cricketers/akash-singh-1175458,6,10.37,24.0,18.0,29.0,25.25,54.17,39.35
Akash Singh,3.0,0,35,1,11.66,9,3,3,0,0,https://www.espncricinfo.com/cricketers/akash-singh-1175458,6,10.37,18.0,18.0,35.0,25.25,50.0,39.35
Akash Singh,4.0,0,40,2,10.0,7,2,3,1,0,https://www.espncricinfo.com/cricketers/akash-singh-1175458,6,10.37,12.0,18.0,20.0,25.25,29.17,39.35
Akeal Hosein,4.0,0,40,1,10.0,6,4,2,0,0,https://www.espncricinfo.com/cricketers/akeal-hosein-530812,1,10.0,24.0,24.0,40.0,40.0,25.0,25.0
Alzarri Joseph,4.0,0,29,2,7.25,13,3,1,1,0,https://www.espncricinfo.com/cricketers/alzarri-joseph-670031,7,9.13,12.0,15.0,14.5,19.12,54.17,41.47
Alzarri Joseph,4.0,0,52,0,13.0,5,2,5,0,0,https://www.espncricinfo.com/cricketers/alzarri-joseph-670031,7,9.13,0.0,15.0,0.0,19.12,20.83,41.47
Alzarri Joseph,4.0,0,33,2,8.25,8,0,3,0,0,https://www.espncricinfo.com/cricketers/alzarri-joseph-670031,7,9.13,12.0,15.0,16.5,19.12,33.33,41.47
Alzarri Joseph,4.0,0,27,2,6.75,14,2,2,0,0,https://www.espncricinfo.com/cricketers/alzarri-joseph-670031,7,9.13,12.0,15.0,13.5,19.12,58.33,41.47
Alzarri Joseph,3.0,0,47,0,15.66,2,3,4,0,0,https://www.espncricinfo.com/cricketers/alzarri-joseph-670031,7,9.13,0.0,15.0,0.0,19.12,11.11,41.47
Alzarri Joseph,1.0,0,5,0,5.0,4,1,0,0,0,https://www.espncricinfo.com/cricketers/alzarri-joseph-670031,7,9.13,0.0,15.0,0.0,19.12,66.67,41.47
Alzarri Joseph,4.0,0,32,1,8.0,11,1,2,5,0,https://www.espncricinfo.com/cricketers/alzarri-joseph-670031,7,9.13,24.0,15.0,32.0,19.12,45.83,41.47
Amit Mishra,3.0,0,21,2,7.0,4,0,1,0,0,https://www.espncricinfo.com/cricketers/amit-mishra-31107,7,7.89,9.0,13.8,10.5,17.8,22.22,25.79
Amit Mishra,4.0,0,23,2,5.75,10,3,0,0,0,https://www.espncricinfo.com/cricketers/amit-mishra-31107,7,7.89,12.0,13.8,11.5,17.8,41.67,25.79
Amit Mishra,2.0,0,18,1,9.0,2,1,1,0,0,https://www.espncricinfo.com/cricketers/amit-mishra-31107,7,7.89,12.0,13.8,18.0,17.8,16.67,25.79
Amit Mishra,2.0,0,23,0,11.5,1,2,1,0,0,https://www.espncricinfo.com/cricketers/amit-mishra-31107,7,7.89,0.0,13.8,0.0,17.8,8.33,25.79
Amit Mishra,4.0,0,40,1,10.0,8,2,3,1,0,https://www.espncricinfo.com/cricketers/amit-mishra-31107,7,7.89,24.0,13.8,40.0,17.8,33.33,25.79
Amit Mishra,2.0,0,9,1,4.5,4,0,0,0,0,https://www.espncricinfo.com/cricketers/amit-mishra-31107,7,7.89,12.0,13.8,9.0,17.8,33.33,25.79
Amit Mishra,2.0,0,15,0,7.5,3,2,0,0,0,https://www.espncricinfo.com/cricketers/amit-mishra-31107,7,7.89,0.0,13.8,0.0,17.8,25.0,25.79
Andre Russell,3.0,0,29,1,9.66,6,3,1,1,0,https://www.espncricinfo.com/cricketers/andre-russell-276298,9,13.23,18.0,10.05,29.0,16.46,33.33,32.69
Andre Russell,1.0,0,12,0,12.0,3,2,0,0,1,https://www.espncricinfo.com/cricketers/andre-russell-276298,9,13.23,0.0,10.05,0.0,16.46,50.0,32.69
Andre Russell,1.0,0,12,0,12.0,2,1,1,0,0,https://www.espncricinfo.com/cricketers/andre-russell-276298,9,13.23,0.0,10.05,0.0,16.46,33.33,32.69
Andre Russell,1.0,0,17,0,17.0,1,2,1,0,0,https://www.espncricinfo.com/cricketers/andre-russell-276298,9,13.23,0.0,10.05,0.0,16.46,16.67,32.69
