batsmanName,inning_batted,Average_SR,Average_Boundary_Percentage,total_runs,batting_average
Abdul Basith,1,100.0,0.0,1,1.0
Abdul Samad,8,144.89625,65.61681823630353,169,21.125
Abhinav Manohar,6,131.355,41.147741147741144,114,19.0
Abhishek Sharma,11,111.40272727272728,52.10345838923539,226,20.545454545454547
Abishek Porel †,4,88.85249999999999,29.285714285714285,33,8.25
Adam Zampa,3,70.36666666666666,0.0,10,3.3333333333333335
Adil Rashid,2,135.895,77.77777777777777,22,11.0
Aiden Markram (c),13,112.12615384615385,38.458137226429905,248,19.076923076923077
Ajinkya Rahane,11,161.4481818181818,47.18861879241881,326,29.636363636363637
Akash Deep,1,212.5,82.35294117647058,17,17.0
Akeal Hosein,1,160.0,62.5,16,16.0
Alzarri Joseph,2,29.165,57.14285714285714,7,3.5
Aman Khan,9,101.02333333333334,51.127742763772176,110,12.222222222222221
Ambati Rayudu,12,127.42333333333333,48.76903695856448,158,13.166666666666666
Amit Mishra,1,63.33,42.10526315789473,19,19.0
Andre Russell,14,114.07142857142857,50.37820796334727,227,16.214285714285715
Anmolpreet Singh,3,130.11,74.81481481481482,74,24.666666666666668
Anmolpreet Singh †,1,119.23,58.06451612903226,31,31.0
Anrich Nortje,7,97.27714285714286,49.91304347826087,37,5.285714285714286
Anuj Rawat,6,141.71333333333334,41.848659003831415,68,11.333333333333334
Anuj Rawat †,1,153.33,43.47826086956522,23,23.0
Anukul Roy,4,91.42750000000001,53.84615384615385,23,5.75
Arjun Tendulkar,1,144.44,46.15384615384615,13,13.0
Arshad Khan,3,88.88666666666666,13.333333333333334,18,6.0
Arshdeep Singh,2,50.0,0.0,2,1.0
Atharva Taide,7,131.38000000000002,63.6090487451649,186,26.571428571428573
Avesh Khan,1,0.0,,0,0.0
Axar Patel,13,143.92846153846153,50.809178356685564,283,21.76923076923077
Ayush Badoni,12,122.5075,33.2014523673964,238,19.833333333333332
Ben Stokes,2,108.33,53.57142857142857,15,7.5
Bhanuka Rajapaksa,4,83.2925,28.0,71,17.75
Bhuvneshwar Kumar,5,88.768,31.11111111111111,36,7.2
Bhuvneshwar Kumar (c),1,60.0,0.0,6,6.0
Cameron Green,16,140.25,47.83403315769063,452,28.25
Chetan Sakariya,2,50.0,100.0,4,2.0
Chris Jordan,2,48.57,0.0,6,3.0
Darshan Nalkande,1,0.0,,0,0.0
Dasun Shanaka,3,78.27333333333333,51.63398692810458,26,8.666666666666666
David Miller,13,120.77692307692307,44.25446205289719,259,19.923076923076923
David Warner (c),14,114.495,62.32433688169956,516,36.857142857142854
David Wiese,3,194.44333333333336,58.333333333333336,21,7.0
David Willey,3,136.66666666666666,58.78787878787879,35,11.666666666666666
Deepak Chahar,1,50.0,0.0,1,1.0
Deepak Hooda,12,86.83833333333332,20.24050024050024,84,7.0
Devdutt Padikkal,11,115.94,50.67659665182885,261,23.727272727272727
Devon Conway,15,117.23266666666667,52.321989117158175,672,44.8
Dhruv Jurel,11,146.29545454545453,46.16339869281046,152,13.818181818181818
Dinesh Karthik,1,0.0,,0,0.0
Dinesh Karthik †,12,102.67666666666666,50.18959435626102,140,11.666666666666666
Faf du Plessis,3,183.93999999999997,74.8697328393723,163,54.333333333333336
Faf du Plessis (c),11,153.73545454545453,62.737769609178535,567,51.54545454545455
Fazalhaq Farooqi,1,20.0,0.0,1,1.0
Glenn Maxwell,14,156.69571428571427,73.43944711816972,400,28.571428571428573
Glenn Phillips,4,126.785,56.0,31,7.75
Glenn Phillips †,1,133.33,75.0,8,8.0
Hardik Pandya (c),15,138.79666666666665,56.28920533327313,346,23.066666666666666
Harpreet Brar,8,117.36,47.826976944624,52,6.5
Harpreet Singh,3,130.28666666666666,66.58707146512025,76,25.333333333333332
Harry Brook,11,79.15363636363635,49.56054131054131,190,17.272727272727273
Harshal Patel,2,75.0,100.0,6,3.0
Harshit Rana,1,0.0,,0,0.0
Heinrich Klaasen †,11,182.1727272727273,61.09700902357931,448,40.72727272727273
Hrithik Shokeen,3,101.70666666666666,73.33333333333333,23,7.666666666666667
Ishan Kishan †,15,128.02466666666666,64.38090751858145,454,30.266666666666666
Ishant Sharma,1,100.0,0.0,1,1.0
Jason Behrendorff,2,67.5,0.0,6,3.0
Jason Holder,3,74.07333333333334,27.27272727272727,12,4.0
Jason Roy,8,145.9075,72.20932521766991,285,35.625
Jaydev Unadkat,1,128.57,44.44444444444444,9,9.0
Jitesh Sharma †,14,148.3607142857143,67.67341743299932,309,22.071428571428573
Joe Root,1,66.66,40.0,10,10.0
Jofra Archer,2,100.0,0.0,4,2.0
Jos Buttler,14,95.19357142857143,66.98011708560233,392,28.0
Josh Hazlewood,1,50.0,0.0,1,1.0
KL Rahul (c),9,97.72,52.6362840701076,274,30.444444444444443
KM Asif,1,0.0,,0,0.0
Kagiso Rabada,2,0.0,,0,0.0
Karan Sharma,2,58.125,0.0,12,6.0
Karn Sharma,2,66.66499999999999,0.0,3,1.5
Kedar Jadhav,1,120.0,33.33333333333333,12,12.0
Krishnappa Gowtham,7,193.7785714285714,42.25263227820773,61,8.714285714285714
Krunal Pandya,9,127.3722222222222,67.80010554946617,122,13.555555555555555
Krunal Pandya (c),5,60.376,45.691609977324255,66,13.2
Kuldeep Yadav,10,51.166000000000004,26.19047619047619,31,3.1
Kumar Kartikeya,1,85.71,66.66666666666666,6,6.0
Kyle Mayers,13,116.13461538461539,65.21379114114472,379,29.153846153846153
Lalit Yadav,6,102.10166666666667,25.43859649122807,66,11.0
Liam Livingstone,9,130.13555555555556,61.93911645149959,279,31.0
Litton Das †,1,100.0,100.0,4,4.0
M Shahrukh Khan,13,141.46076923076924,57.592054463740574,156,12.0
MS Dhoni (c)†,12,150.86916666666664,37.49875124875125,104,8.666666666666666
Mahipal Lomror,10,92.228,32.86448482526914,135,13.5
Manan Vohra,1,90.9,40.0,10,10.0
Mandeep Singh,3,53.03,25.0,14,4.666666666666667
Manish Pandey,9,71.62888888888888,35.68671229175431,160,17.77777777777778
