Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
GT,CSK,CSK,5 wickets,Ahmedabad,"May 28-29, 2023",Twenty20
GT,MI,GT,62 runs,Ahmedabad,"May 26, 2023",Twenty20
LSG,MI,MI,81 runs,Chennai,"May 24, 2023",Twenty20
CSK,GT,CSK,15 runs,Chennai,"May 23, 2023",Twenty20
RCB,GT,GT,6 wickets,Bengaluru,"May 21, 2023",Twenty20
MI,SRH,MI,8 wickets,Wankhede,"May 21, 2023",Twenty20
KKR,LSG,LSG,1 run,Eden Gardens,"May 20, 2023",Twenty20
DC,CSK,CSK,77 runs,Delhi,"May 20, 2023",Twenty20
Punjab Kings,RR,RR,4 wickets,Dharamsala,"May 19, 2023",Twenty20
SRH,RCB,RCB,8 wickets,Hyderabad,"May 18, 2023",Twenty20
Punjab Kings,DC,DC,15 runs,Dharamsala,"May 17, 2023",Twenty20
LSG,MI,LSG,5 runs,Lucknow,"May 16, 2023",Twenty20
GT,SRH,GT,34 runs,Ahmedabad,"May 15, 2023",Twenty20
CSK,KKR,KKR,6 wickets,Chennai,"May 14, 2023",Twenty20
RR,RCB,RCB,112 runs,Jaipur,"May 14, 2023",Twenty20
DC,Punjab Kings,Punjab Kings,31 runs,Delhi,"May 13, 2023",Twenty20
SRH,LSG,LSG,7 wickets,Hyderabad,"May 13, 2023",Twenty20
MI,GT,MI,27 runs,Wankhede,"May 12, 2023",Twenty20
KKR,RR,RR,9 wickets,Eden Gardens,"May 11, 2023",Twenty20
CSK,DC,CSK,27 runs,Chennai,"May 10, 2023",Twenty20
MI,RCB,MI,6 wickets,Wankhede,"May 9, 2023",Twenty20
KKR,Punjab Kings,KKR,5 wickets,Eden Gardens,"May 8, 2023",Twenty20
RR,SRH,SRH,4 wickets,Jaipur,"May 7, 2023",Twenty20
GT,LSG,GT,56 runs,Ahmedabad,"May 7, 2023",Twenty20
DC,RCB,DC,7 wickets,Delhi,"May 6, 2023",Twenty20
CSK,MI,CSK,6 wickets,Chennai,"May 6, 2023",Twenty20
RR,GT,GT,9 wickets,Jaipur,"May 5, 2023",Twenty20
SRH,KKR,KKR,5 runs,Hyderabad,"May 4, 2023",Twenty20
Punjab Kings,MI,MI,6 wickets,Mohali,"May 3, 2023",Twenty20
LSG,CSK,no result,-,Lucknow,"May 3, 2023",Twenty20
GT,DC,DC,5 runs,Ahmedabad,"May 2, 2023",Twenty20
LSG,RCB,RCB,18 runs,Lucknow,"May 1, 2023",Twenty20
MI,RR,MI,6 wickets,Wankhede,"Apr 30, 2023",Twenty20
CSK,Punjab Kings,Punjab Kings,4 wickets,Chennai,"Apr 30, 2023",Twenty20
DC,SRH,SRH,9 runs,Delhi,"Apr 29, 2023",Twenty20
KKR,GT,GT,7 wickets,Eden Gardens,"Apr 29, 2023",Twenty20
Punjab Kings,LSG,LSG,56 runs,Mohali,"Apr 28, 2023",Twenty20
RR,CSK,RR,32 runs,Jaipur,"Apr 27, 2023",Twenty20
RCB,KKR,KKR,21 runs,Bengaluru,"Apr 26, 2023",Twenty20
GT,MI,GT,55 runs,Ahmedabad,"Apr 25, 2023",Twenty20
SRH,DC,DC,7 runs,Hyderabad,"Apr 24, 2023",Twenty20
KKR,CSK,CSK,49 runs,Eden Gardens,"Apr 23, 2023",Twenty20
RCB,RR,RCB,7 runs,Bengaluru,"Apr 23, 2023",Twenty20
MI,Punjab Kings,Punjab Kings,13 runs,Wankhede,"Apr 22, 2023",Twenty20
LSG,GT,GT,7 runs,Lucknow,"Apr 22, 2023",Twenty20
CSK,SRH,CSK,7 wickets,Chennai,"Apr 21, 2023",Twenty20
DC,KKR,DC,4 wickets,Delhi,"Apr 20, 2023",Twenty20
Punjab Kings,RCB,RCB,24 runs,Mohali,"Apr 20, 2023",Twenty20
RR,LSG,LSG,10 runs,Jaipur,"Apr 19, 2023",Twenty20
SRH,MI,MI,14 runs,Hyderabad,"Apr 18, 2023",Twenty20
RCB,CSK,CSK,8 runs,Bengaluru,"Apr 17, 2023",Twenty20
GT,RR,RR,3 wickets,Ahmedabad,"Apr 16, 2023",Twenty20
MI,KKR,MI,5 wickets,Wankhede,"Apr 16, 2023",Twenty20
LSG,Punjab Kings,Punjab Kings,2 wickets,Lucknow,"Apr 15, 2023",Twenty20
RCB,DC,RCB,23 runs,Bengaluru,"Apr 15, 2023",Twenty20
KKR,SRH,SRH,23 runs,Eden Gardens,"Apr 14, 2023",Twenty20
Punjab Kings,GT,GT,6 wickets,Mohali,"Apr 13, 2023",Twenty20
CSK,RR,RR,3 runs,Chennai,"Apr 12, 2023",Twenty20
DC,MI,MI,6 wickets,Delhi,"Apr 11, 2023",Twenty20
RCB,LSG,LSG,1 wicket,Bengaluru,"Apr 10, 2023",Twenty20
SRH,Punjab Kings,SRH,8 wickets,Hyderabad,"Apr 9, 2023",Twenty20
GT,KKR,KKR,3 wickets,Ahmedabad,"Apr 9, 2023",Twenty20
MI,CSK,CSK,7 wickets,Wankhede,"Apr 8, 2023",Twenty20
RR,DC,RR,57 runs,Guwahati,"Apr 8, 2023",Twenty20
LSG,SRH,LSG,5 wickets,Lucknow,"Apr 7, 2023",Twenty20
KKR,RCB,KKR,81 runs,Eden Gardens,"Apr 6, 2023",Twenty20
RR,Punjab Kings,Punjab Kings,5 runs,Guwahati,"Apr 5, 2023",Twenty20
DC,GT,GT,6 wickets,Delhi,"Apr 4, 2023",Twenty20
CSK,LSG,CSK,12 runs,Chennai,"Apr 3, 2023",Twenty20
RCB,MI,RCB,8 wickets,Bengaluru,"Apr 2, 2023",Twenty20
SRH,RR,RR,72 runs,Hyderabad,"Apr 2, 2023",Twenty20
LSG,DC,LSG,50 runs,Lucknow,"Apr 1, 2023",Twenty20
Punjab Kings,KKR,Punjab Kings,7 runs,Mohali,"Apr 1, 2023",Twenty20
GT,CSK,GT,5 wickets,Ahmedabad,"Mar 31, 2023",Twenty20
