batsmanName,runs,balls,minutes,4s,6s,SR,player_link,match_id
Wriddhiman Saha †,54,39,63,5,1,138.46,https://www.espncricinfo.com/cricketers/wriddhiman-saha-279810,scorecard
Shubman Gill,39,20,34,7,0,195.00,https://www.espncricinfo.com/cricketers/shubman-gill-1070173,scorecard
Sai Sudharsan,96,47,58,8,6,204.25,https://www.espncricinfo.com/cricketers/sai-sudharsan-1151288,scorecard
Hardik Pandya (c),21,12,32,0,2,175.00,https://www.espncricinfo.com/cricketers/hardik-pandya-625371,scorecard
Rashid Khan,0,2,2,0,0,0.00,https://www.espncricinfo.com/cricketers/rashid-khan-793463,scorecard
Ruturaj Gaikwad,26,16,30,3,1,162.50,https://www.espncricinfo.com/cricketers/ruturaj-gaikwad-1060380,scorecard
Devon Conway,47,25,34,4,2,188.00,https://www.espncricinfo.com/cricketers/devon-conway-379140,scorecard
Shivam Dube,32,21,49,0,2,152.38,https://www.espncricinfo.com/cricketers/shivam-dube-714451,scorecard
Ajinkya Rahane,27,13,20,2,2,207.69,https://www.espncricinfo.com/cricketers/ajinkya-rahane-277916,scorecard
Ambati Rayudu,19,8,8,1,2,237.50,https://www.espncricinfo.com/cricketers/ambati-rayudu-33141,scorecard
MS Dhoni (c)†,0,1,1,0,0,0.00,https://www.espncricinfo.com/cricketers/ms-dhoni-28081,scorecard
Ravindra Jadeja,15,6,14,1,1,250.00,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675,scorecard
Wriddhiman Saha †,18,16,31,3,0,112.50,https://www.espncricinfo.com/cricketers/wriddhiman-saha-279810,scorecard
Shubman Gill,129,60,86,7,10,215.00,https://www.espncricinfo.com/cricketers/shubman-gill-1070173,scorecard
Sai Sudharsan,43,31,68,5,1,138.70,https://www.espncricinfo.com/cricketers/sai-sudharsan-1151288,scorecard
Hardik Pandya (c),28,13,20,2,2,215.38,https://www.espncricinfo.com/cricketers/hardik-pandya-625371,scorecard
Rashid Khan,5,2,6,1,0,250.00,https://www.espncricinfo.com/cricketers/rashid-khan-793463,scorecard
Rohit Sharma (c),8,7,17,1,0,114.28,https://www.espncricinfo.com/cricketers/rohit-sharma-34102,scorecard
Nehal Wadhera,4,3,3,1,0,133.33,https://www.espncricinfo.com/cricketers/nehal-wadhera-1151273,scorecard
Cameron Green,30,20,54,2,2,150.00,https://www.espncricinfo.com/cricketers/cameron-green-1076713,scorecard
Suryakumar Yadav,61,38,61,7,2,160.52,https://www.espncricinfo.com/cricketers/suryakumar-yadav-446507,scorecard
Tilak Varma,43,14,17,5,3,307.14,https://www.espncricinfo.com/cricketers/tilak-varma-1170265,scorecard
Vishnu Vinod †,5,7,19,0,0,71.42,https://www.espncricinfo.com/cricketers/vishnu-vinod-732293,scorecard
Tim David,2,3,6,0,0,66.66,https://www.espncricinfo.com/cricketers/tim-david-892749,scorecard
Chris Jordan,2,5,7,0,0,40.00,https://www.espncricinfo.com/cricketers/chris-jordan-288992,scorecard
Piyush Chawla,0,2,5,0,0,0.00,https://www.espncricinfo.com/cricketers/piyush-chawla-32966,scorecard
Kumar Kartikeya,6,7,10,1,0,85.71,https://www.espncricinfo.com/cricketers/kumar-kartikeya-1159843,scorecard
Jason Behrendorff,3,5,8,0,0,60.00,https://www.espncricinfo.com/cricketers/jason-behrendorff-272477,scorecard
Ishan Kishan †,15,12,18,3,0,125.00,https://www.espncricinfo.com/cricketers/ishan-kishan-720471,scorecard
Rohit Sharma (c),11,10,11,1,1,110.00,https://www.espncricinfo.com/cricketers/rohit-sharma-34102,scorecard
Cameron Green,41,23,38,6,1,178.26,https://www.espncricinfo.com/cricketers/cameron-green-1076713,scorecard
Suryakumar Yadav,33,20,29,2,2,165.00,https://www.espncricinfo.com/cricketers/suryakumar-yadav-446507,scorecard
Tilak Varma,26,22,43,0,2,118.18,https://www.espncricinfo.com/cricketers/tilak-varma-1170265,scorecard
Tim David,13,13,29,1,0,100.00,https://www.espncricinfo.com/cricketers/tim-david-892749,scorecard
Nehal Wadhera,23,12,23,2,2,191.66,https://www.espncricinfo.com/cricketers/nehal-wadhera-1151273,scorecard
Chris Jordan,4,7,7,0,0,57.14,https://www.espncricinfo.com/cricketers/chris-jordan-288992,scorecard
Hrithik Shokeen,0,1,6,0,0,0.00,https://www.espncricinfo.com/cricketers/hrithik-shokeen-1175423,scorecard
Kyle Mayers,18,13,18,3,0,138.46,https://www.espncricinfo.com/cricketers/kyle-mayers-348056,scorecard
Prerak Mankad,3,6,9,0,0,50.00,https://www.espncricinfo.com/cricketers/prerak-mankad-956871,scorecard
Krunal Pandya (c),8,11,35,1,0,72.72,https://www.espncricinfo.com/cricketers/krunal-pandya-471342,scorecard
Marcus Stoinis,40,27,45,5,1,148.14,https://www.espncricinfo.com/cricketers/marcus-stoinis-325012,scorecard
Ayush Badoni,1,7,6,0,0,14.28,https://www.espncricinfo.com/cricketers/ayush-badoni-1151270,scorecard
Nicholas Pooran †,0,1,1,0,0,0.00,https://www.espncricinfo.com/cricketers/nicholas-pooran-604302,scorecard
Deepak Hooda,15,13,26,0,1,115.38,https://www.espncricinfo.com/cricketers/deepak-hooda-497121,scorecard
Krishnappa Gowtham,2,3,3,0,0,66.66,https://www.espncricinfo.com/cricketers/krishnappa-gowtham-424377,scorecard
Ravi Bishnoi,3,6,8,0,0,50.00,https://www.espncricinfo.com/cricketers/ravi-bishnoi-1175441,scorecard
Naveen-ul-Haq,1,5,10,0,0,20.00,https://www.espncricinfo.com/cricketers/naveen-ul-haq-793447,scorecard
Mohsin Khan,0,7,8,0,0,0.00,https://www.espncricinfo.com/cricketers/mohsin-khan-1132005,scorecard
Ruturaj Gaikwad,60,44,48,7,1,136.36,https://www.espncricinfo.com/cricketers/ruturaj-gaikwad-1060380,scorecard
Devon Conway,40,34,74,4,0,117.64,https://www.espncricinfo.com/cricketers/devon-conway-379140,scorecard
Shivam Dube,1,3,4,0,0,33.33,https://www.espncricinfo.com/cricketers/shivam-dube-714451,scorecard
Ajinkya Rahane,17,10,15,0,1,170.00,https://www.espncricinfo.com/cricketers/ajinkya-rahane-277916,scorecard
Ambati Rayudu,17,9,15,1,1,188.88,https://www.espncricinfo.com/cricketers/ambati-rayudu-33141,scorecard
Ravindra Jadeja,22,16,25,2,0,137.50,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675,scorecard
MS Dhoni (c)†,1,2,4,0,0,50.00,https://www.espncricinfo.com/cricketers/ms-dhoni-28081,scorecard
Moeen Ali,9,4,7,0,1,225.00,https://www.espncricinfo.com/cricketers/moeen-ali-8917,scorecard
Wriddhiman Saha †,12,11,14,2,0,109.09,https://www.espncricinfo.com/cricketers/wriddhiman-saha-279810,scorecard
Shubman Gill,42,38,58,4,1,110.52,https://www.espncricinfo.com/cricketers/shubman-gill-1070173,scorecard
Hardik Pandya (c),8,7,12,1,0,114.28,https://www.espncricinfo.com/cricketers/hardik-pandya-625371,scorecard
Dasun Shanaka,17,16,12,1,1,106.25,https://www.espncricinfo.com/cricketers/dasun-shanaka-437316,scorecard
David Miller,4,6,11,0,0,66.66,https://www.espncricinfo.com/cricketers/david-miller-321777,scorecard
Vijay Shankar,14,10,30,0,1,140.00,https://www.espncricinfo.com/cricketers/vijay-shankar-477021,scorecard
Rahul Tewatia,3,5,8,0,0,60.00,https://www.espncricinfo.com/cricketers/rahul-tewatia-423838,scorecard
Rashid Khan,30,16,26,3,2,187.50,https://www.espncricinfo.com/cricketers/rashid-khan-793463,scorecard
