Player Name
Naveen-ul-Haq
Cameron Green
Glenn Maxwell
Liam Livingstone
Faf du Plessis (c)
Heinrich Klaasen †
Jason Roy
Quinton de Kock †
Ruturaj Gaikwad
Sai Sudharsan
Shubman Gill
Suryakumar Yadav
Virat Kohli
Yashasvi Jaiswal
