batsmanName,inning_batted,Average_SR,Average_Boundary_Percentage,total_runs,batting_average,balls_avg,0
Faf du Plessis (c),11.0,153.73545454545453,62.737769609178535,567.0,51.54545454545455,33.90909090909091,
Heinrich Klaasen †,11.0,182.1727272727273,61.09700902357931,448.0,40.72727272727273,23.0,
Jason Roy,8.0,145.9075,72.20932521766991,285.0,35.625,23.5,
Quinton de Kock †,4.0,133.43,61.41009852216749,143.0,35.75,25.5,
Ruturaj Gaikwad,15.0,139.36666666666667,55.831800440244166,590.0,39.333333333333336,26.666666666666668,
Sai Sudharsan,8.0,133.975,52.777907967537516,362.0,45.25,32.0,
Shubman Gill,17.0,136.26176470588234,58.19041427907329,890.0,52.35294117647059,33.1764705882353,
Suryakumar Yadav,15.0,154.37199999999999,57.79444692129089,562.0,37.46666666666667,20.6,
Virat Kohli,11.0,126.05454545454545,49.26893012885303,526.0,47.81818181818182,33.81818181818182,
Yashasvi Jaiswal,14.0,136.93928571428572,70.93303029943877,625.0,44.642857142857146,27.285714285714285,
,,,,,,,Faf du Plessis (c)
,,,,,,,Heinrich Klaasen †
,,,,,,,Jason Roy
,,,,,,,Rinku Singh
,,,,,,,Suryakumar Yadav
,,,,,,,Tilak Varma
,,,,,,,Vijay Shankar
