bowlerName,inningbowled,avg_bowling_economy,avg_bowling_strike,average_bowling_avg,average_dot_ball_%
Kieron Pollard,6,8.5,14.0,21.0,25.69
Krishnappa Gowtham,4,9.06,15.0,21.0,41.67
Krunal Pandya,12,7.88,17.33,18.39,29.17
Kuldeep Sen,7,9.34,18.15,29.6,40.66
Kuldeep Yadav,14,8.48,14.57,20.38,32.16
Kumar Kartikeya,4,8.1,14.0,15.33,38.54
Lalit Yadav,8,8.64,12.0,11.5,38.02
Liam Livingstone,12,10.78,10.27,12.17,22.93
Lockie Ferguson,13,9.1,18.29,25.67,39.87
Maheesh Theekshana,9,7.47,16.33,20.88,32.25
Mahipal Lomror,2,9.0,0.0,0.0,25.0
Marco Jansen,8,8.56,20.8,24.27,43.23
Marcus Stoinis,5,12.2,8.0,10.33,30.0
Matheesha Pathirana,2,7.6,9.3,12.0,50.92
Mayank Markande,2,8.41,24.0,26.0,24.31
Mitchell Marsh,4,8.04,17.0,27.5,37.15
Mitchell Santner,6,6.68,19.5,24.5,39.35
Moeen Ali,10,7.71,13.0,13.47,36.39
Mohammed Shami,16,8.01,18.31,24.14,47.57
Mohammed Siraj,15,10.45,18.0,26.17,40.93
Mohsin Khan,9,6.03,16.0,13.52,53.7
Mukesh Choudhary,13,9.27,14.12,22.06,43.92
Murugan Ashwin,8,7.99,17.5,22.67,39.76
Mustafizur Rahman,8,7.62,16.0,21.17,39.58
Nathan Coulter-Nile,1,16.0,0.0,0.0,22.22
Nathan Ellis,2,8.75,8.0,13.33,43.75
Navdeep Saini,2,12.0,13.5,27.0,27.78
Nitish Rana,2,11.5,0.0,0.0,8.33
Obed McCoy,7,9.46,14.03,24.61,31.06
Odean Smith,6,11.53,9.5,20.17,41.44
Pat Cummins,5,10.69,16.25,30.46,31.79
Pradeep Sangwan,3,7.97,15.0,16.25,38.89
Prashant Solanki,2,7.25,6.0,10.0,37.5
Prasidh Krishna,17,8.28,18.33,26.6,50.44
Rahul Chahar,13,7.78,14.72,18.29,35.39
Rahul Tewatia,5,13.0,0.0,0.0,15.0
Ramandeep Singh,3,8.72,6.0,8.72,42.59
Rashid Khan,16,6.59,17.57,19.58,33.48
Rasikh Salam,2,8.0,0.0,0.0,33.33
Ravi Bishnoi,14,8.49,19.2,27.85,35.12
Ravichandran Ashwin,17,7.55,20.89,25.07,30.07
Ravindra Jadeja,10,7.68,16.67,24.0,31.25
Riley Meredith,8,8.3,16.2,22.9,46.18
Rishi Dhawan,6,8.1,16.5,22.12,29.63
Riyan Parag,4,14.75,6.0,12.0,12.5
Romario Shepherd,3,13.92,18.0,27.0,36.11
Rovman Powell,1,17.0,0.0,0.0,0.0
Sai Kishore,5,7.4,15.0,21.88,29.17
Sandeep Sharma,5,7.65,24.0,29.0,50.0
Sanjay Yadav,1,11.5,0.0,0.0,50.0
Sean Abbott,1,11.75,24.0,47.0,29.17
Shahbaz Ahmed,14,9.95,17.0,26.67,28.47
Shardul Thakur,14,9.9,12.37,18.76,37.68
Shashank Singh,2,10.0,0.0,0.0,8.33
Shivam Dube,2,18.0,0.0,0.0,8.33
Shivam Mavi,6,11.08,21.6,38.4,36.81
Shreyas Gopal,1,11.33,18.0,34.0,38.89
Shreyas Iyer,1,7.0,0.0,0.0,66.67
Siddarth Kaul,1,10.75,0.0,0.0,25.0
Simarjeet Singh,6,8.24,18.0,17.83,50.69
Sunil Narine,14,5.57,20.57,18.43,42.26
T Natarajan,11,9.3,13.56,20.46,32.7
Tilak Varma,2,6.5,0.0,0.0,41.67
Tim Southee,9,7.73,13.43,15.02,45.06
Trent Boult,16,7.93,19.5,24.04,47.48
Tushar Deshpande,2,8.83,24.0,40.0,43.75
Tymal Mills,5,11.46,11.67,18.89,28.89
Umesh Yadav,12,7.06,17.56,19.86,49.65
Umran Malik,14,9.28,12.16,15.52,46.88
Vaibhav Arora,5,9.83,18.0,26.75,35.24
Varun Aaron,2,9.12,12.0,22.5,27.08
Varun Chakravarthy,11,8.93,23.0,29.83,35.35
Venkatesh Iyer,4,11.5,0.0,0.0,12.5
Vijay Shankar,2,8.0,0.0,0.0,72.22
Wanindu Hasaranga,16,7.7,16.41,22.08,41.23
Washington Sundar,8,8.7,15.0,19.88,28.3
Yash Dayal,9,9.31,16.57,24.9,39.81
Yashasvi Jaiswal,1,36.0,0.0,0.0,0.0
Yuzvendra Chahal,17,7.75,15.91,20.49,33.58
