bowlerName,inningbowled,avg_bowling_economy,avg_bowling_strike,average_bowling_avg,average_dot_ball_%
Abdul Samad,1,8.0,0.0,0.0,16.67
Abhishek Sharma,3,10.5,0.0,0.0,16.67
Adam Milne,1,7.6,0.0,0.0,65.22
Aiden Markram,4,10.0,6.0,8.0,25.0
Akash Deep,5,10.98,16.33,24.33,35.63
Alzarri Joseph,9,8.84,21.0,30.17,39.51
Aman Khan,1,13.0,0.0,0.0,16.67
Andre Russell,13,9.39,8.96,15.45,45.62
Andrew Tye,3,9.69,12.0,20.0,37.04
Anrich Nortje,6,10.08,16.0,23.2,35.16
Anukul Roy,2,8.0,24.0,28.0,25.69
Arshdeep Singh,14,8.21,18.29,22.4,36.01
Avesh Khan,13,8.68,14.49,20.26,44.69
Axar Patel,13,7.79,18.0,17.25,33.65
Ayush Badoni,2,5.5,6.0,5.5,33.33
Basil Thampi,5,11.75,10.0,17.58,39.72
Bhuvneshwar Kumar,14,7.35,19.62,23.76,44.71
Chetan Sakariya,3,7.47,15.0,14.25,32.87
Chris Jordan,4,10.55,12.0,11.5,28.37
Daniel Sams,11,8.92,19.0,28.73,42.17
Darshan Nalkande,2,11.24,9.0,18.5,26.98
Daryl Mitchell,2,13.5,0.0,0.0,8.33
David Willey,4,6.02,24.0,29.0,44.44
Deepak Hooda,2,11.16,18.0,31.0,25.0
Dewald Brevis,1,16.0,1.8,8.0,55.56
Dushmantha Chameera,12,8.71,16.0,23.5,46.53
Dwaine Pretorius,6,10.04,16.5,28.12,29.4
Dwayne Bravo,10,8.8,14.18,22.59,34.31
Fabian Allen,1,11.5,24.0,46.0,25.0
Fazalhaq Farooqi,3,9.17,12.0,16.0,33.33
Glenn Maxwell,10,6.93,14.4,16.0,42.78
Hardik Pandya,10,7.26,17.63,20.44,39.98
Harpreet Brar,5,9.41,16.0,20.83,38.06
Harshal Patel,15,7.63,16.11,19.15,41.11
Harshit Rana,2,10.75,18.0,24.0,38.89
Hrithik Shokeen,5,8.28,9.0,23.5,48.33
Jagadeesha Suchith,5,7.73,17.4,23.8,45.83
James Neesham,1,9.66,0.0,0.0,27.78
Jason Holder,12,9.28,15.08,22.77,29.85
Jasprit Bumrah,14,7.22,15.83,17.0,43.65
Jaydev Unadkat,5,9.5,18.0,28.5,30.0
Josh Hazlewood,12,8.18,13.11,14.55,43.89
Kagiso Rabada,13,8.51,15.17,21.69,46.05
Kamlesh Nagarkoti,1,14.5,0.0,0.0,33.33
Kartik Tyagi,2,9.88,24.0,42.0,41.67
Khaleel Ahmed,10,8.03,14.0,19.54,47.16
