bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,bowler_link,match_id
Mohammed Shami,4,0,33,1,8.25,12,4,1,0,0,https://www.espncricinfo.com/cricketers/mohammed-shami-481896,scorecard
Yash Dayal,3,0,18,1,6.00,9,1,1,0,0,https://www.espncricinfo.com/cricketers/yash-dayal-1159720,scorecard
Lockie Ferguson,3,0,22,0,7.33,5,3,0,0,0,https://www.espncricinfo.com/cricketers/lockie-ferguson-493773,scorecard
Rashid Khan,4,0,18,1,4.50,9,1,0,0,0,https://www.espncricinfo.com/cricketers/rashid-khan-793463,scorecard
Hardik Pandya,4,0,17,3,4.25,14,2,0,0,0,https://www.espncricinfo.com/cricketers/hardik-pandya-625371,scorecard
Sai Kishore,2,0,20,2,10.00,3,0,2,0,0,https://www.espncricinfo.com/cricketers/sai-kishore-1048739,scorecard
Trent Boult,4,1,14,1,3.50,17,1,0,2,0,https://www.espncricinfo.com/cricketers/trent-boult-277912,scorecard
Prasidh Krishna,4,0,40,1,10.00,13,5,1,2,0,https://www.espncricinfo.com/cricketers/prasidh-krishna-917159,scorecard
Yuzvendra Chahal,4,0,20,1,5.00,10,1,0,0,0,https://www.espncricinfo.com/cricketers/yuzvendra-chahal-430246,scorecard
Obed McCoy,3.1,0,26,0,8.21,5,2,1,0,0,https://www.espncricinfo.com/cricketers/obed-mccoy-906783,scorecard
Ravichandran Ashwin,3,0,32,0,10.66,2,1,2,0,0,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421,scorecard
Trent Boult,4,0,28,1,7.00,13,3,1,0,0,https://www.espncricinfo.com/cricketers/trent-boult-277912,scorecard
Prasidh Krishna,4,0,22,3,5.50,17,3,1,1,0,https://www.espncricinfo.com/cricketers/prasidh-krishna-917159,scorecard
Obed McCoy,4,0,23,3,5.75,10,2,0,1,0,https://www.espncricinfo.com/cricketers/obed-mccoy-906783,scorecard
Ravichandran Ashwin,4,0,31,1,7.75,5,0,2,1,0,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421,scorecard
Yuzvendra Chahal,4,0,45,0,11.25,2,1,3,4,0,https://www.espncricinfo.com/cricketers/yuzvendra-chahal-430246,scorecard
Mohammed Siraj,2,0,31,0,15.50,5,3,3,0,0,https://www.espncricinfo.com/cricketers/mohammed-siraj-940973,scorecard
Josh Hazlewood,4,0,23,2,5.75,12,3,0,0,0,https://www.espncricinfo.com/cricketers/josh-hazlewood-288284,scorecard
Glenn Maxwell,3,0,17,0,5.66,5,0,0,0,0,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,scorecard
Shahbaz Ahmed,2,0,35,0,17.50,2,3,3,0,0,https://www.espncricinfo.com/cricketers/shahbaz-ahmed-1159711,scorecard
Harshal Patel,3.1,0,29,0,9.15,6,2,2,0,0,https://www.espncricinfo.com/cricketers/harshal-patel-390481,scorecard
Wanindu Hasaranga,4,0,26,1,6.50,11,1,2,0,0,https://www.espncricinfo.com/cricketers/wanindu-hasaranga-784379,scorecard
Mohsin Khan,4,0,25,1,6.25,13,1,1,1,0,https://www.espncricinfo.com/cricketers/mohsin-khan-1132005,scorecard
Dushmantha Chameera,4,0,54,0,13.50,7,8,2,0,1,https://www.espncricinfo.com/cricketers/dushmantha-chameera-552152,scorecard
Krunal Pandya,4,0,39,1,9.75,4,4,1,1,0,https://www.espncricinfo.com/cricketers/krunal-pandya-471342,scorecard
Avesh Khan,4,0,44,1,11.00,10,6,1,2,0,https://www.espncricinfo.com/cricketers/avesh-khan-694211,scorecard
Ravi Bishnoi,4,0,45,1,11.25,8,2,4,1,0,https://www.espncricinfo.com/cricketers/ravi-bishnoi-1175441,scorecard
