batsmanName,inning_batted,Average_SR,Average_Boundary_Percentage,total_runs,batting_average
Aaron Finch,5,109.426,39.40886699507389,86,17.2
Abdul Samad,2,33.33,0.0,4,2.0
Abhijeet Tomar,1,50.0,100.0,4,4.0
Abhinav Manohar,7,104.92999999999999,47.678110003691394,108,15.428571428571429
Abhishek Sharma,14,112.89285714285714,55.7778651031948,426,30.428571428571427
Aiden Markram,12,131.0625,46.1378274566138,381,31.75
Ajinkya Rahane,7,95.72714285714287,53.558853844568134,133,19.0
Akash Deep,1,0.0,,0,0.0
Alzarri Joseph,3,60.0,0.0,5,1.6666666666666667
Aman Khan,1,166.66,80.0,5,5.0
Ambati Rayudu,11,107.0490909090909,62.678118982466806,274,24.90909090909091
Andre Russell,12,143.6875,70.73444650587507,335,27.916666666666668
Anmolpreet Singh,2,106.94,40.0,13,6.5
Anrich Nortje,1,16.66,0.0,1,1.0
Anuj Rawat,8,63.052499999999995,65.64102564102564,129,16.125
Anukul Roy,1,0.0,,0,0.0
Arshdeep Singh,6,53.26666666666667,42.96296296296296,21,3.5
Avesh Khan,4,185.0,46.42857142857143,22,5.5
Axar Patel,10,137.301,49.29884202484821,182,18.2
Ayush Badoni,11,126.29181818181819,44.36743568322515,161,14.636363636363637
Baba Indrajith †,3,56.25,26.666666666666668,21,7.0
Bhanuka Rajapaksa,7,120.85714285714286,56.8291761148904,132,18.857142857142858
Bhanuka Rajapaksa †,2,269.945,85.59639909977494,74,37.0
Bhuvneshwar Kumar,5,93.25,39.33333333333333,23,4.6
Bhuvneshwar Kumar (c),1,100.0,0.0,1,1.0
Chris Jordan,2,150.0,0.0,11,5.5
Daniel Sams,10,136.25300000000001,43.673469387755105,38,3.8
Daryl Mitchell,2,75.83,11.76470588235294,33,16.5
David Miller,16,136.240625,46.50787419603667,481,30.0625
David Warner,12,125.51583333333333,60.03430050949549,432,36.0
David Willey,2,32.14,66.66666666666666,18,9.0
Deepak Hooda,14,134.70071428571427,51.47034415543522,451,32.214285714285715
Devdutt Padikkal,17,102.26,51.03999366277575,376,22.11764705882353
Devon Conway,7,98.68142857142857,43.222455648926235,252,36.0
Dewald Brevis,7,127.00999999999999,52.725245895662006,161,23.0
Dinesh Karthik †,16,172.53125,56.981330848977905,330,20.625
Dushmantha Chameera,8,95.505,44.60715754833402,43,5.375
Dwaine Pretorius,5,123.928,53.88986013986014,44,8.8
Dwayne Bravo,6,90.0,20.0,23,3.8333333333333335
Evin Lewis,5,88.40599999999999,31.272727272727273,73,14.6
